代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12137227.250000000000000
真實報酬,2137227.250000000000000

夏普值報酬,0.205022725000000
夏普值風險,0.046403030863019
夏普值,4.418304606119882

二次趨勢線,-72.883068774849392 x^2 + 25125.465575020381948 x + 10000000.000000000000000
二次平均預期報酬,15796.432771839658017
風險,171371.514025141485035
二次平均趨勢值,0.092176537400038
一次趨勢線,18156.129304408877942 x + 10000000.000000000000000
一次預期報酬,18156.129304408877942
一次風險,216753.474247360310983
一次趨勢值,0.083763959804810
找到最佳解世代,2097
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),KO[14](12),PG[21](2),VZ[26](10),
Stock#,AAPL[0](1),KO[14](12),PG[21](2),VZ[26](10),
張數,14425,50020,24084,44341,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,147.500000000000000,0.400000000372529,80.800000000279397,54.419999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2591454.500000000000000,2501000.400000000372529,2521193.920000000391155,2492905.439999999944121,10106554.259999999776483
FS( 3 ),2633287.000000000000000,2540016.000000000465661,2570566.120000000577420,2528821.649999999906868,10272690.770000001415610
FS( 4 ),2671946.000000000000000,2571028.400000000372529,2586220.720000000204891,2551435.560000000055879,10380630.680000001564622
FS( 5 ),2743061.250000000000000,2575530.200000000651926,2619697.479999999981374,2538133.260000000242144,10476422.190000001341105
FS( 6 ),2778114.000000000000000,2570028.000000000465661,2618493.280000000260770,2489801.569999999832362,10456436.849999999627471
FS( 7 ),2810281.750000000000000,2567527.000000000465661,2634388.720000000204891,2519953.449999999720603,10532150.919999999925494
FS( 8 ),2801338.250000000000000,2583033.200000000186265,2641613.920000000391155,2543454.179999999701977,10569439.550000000745058
FS( 9 ),2800761.250000000000000,2557523.000000000465661,2671237.240000000223517,2554982.839999999850988,10584504.330000000074506
FS( 10 ),2780422.000000000000000,2566526.600000000558794,2678221.600000000558794,2584247.899999999906868,10609418.100000001490116
FS( 11 ),2797010.750000000000000,2544517.800000000279397,2673163.959999999962747,2555426.250000000000000,10570118.760000001639128
FS( 12 ),2862788.750000000000000,2533013.200000000186265,2639687.200000000186265,2542123.949999999720603,10577613.099999999627471
FS( 13 ),2854422.250000000000000,2557022.800000000279397,2659436.080000000540167,2555426.250000000000000,10626307.380000000819564
FS( 14 ),2877358.000000000000000,2584033.600000000093132,2691226.959999999962747,2542567.359999999869615,10695185.919999999925494
FS( 15 ),2867549.000000000000000,2578531.400000000372529,2678221.600000000558794,2561633.990000000223517,10685935.990000002086163
FS( 16 ),2864664.000000000000000,2597038.800000000279397,2705436.520000000018626,2583804.490000000223517,10750943.810000000521541
FS( 17 ),2821244.750000000000000,2589035.600000000093132,2690745.280000000260770,2571832.419999999925494,10672858.050000000745058
FS( 18 ),2882262.500000000000000,2557022.800000000279397,2642818.120000000577420,2527048.010000000242144,10609151.430000001564622
FS( 19 ),2881397.000000000000000,2555022.000000000465661,2644022.320000000298023,2538576.669999999925494,10619017.990000000223517
FS( 20 ),2855143.500000000000000,2547018.800000000279397,2640891.400000000372529,2533255.750000000000000,10576309.450000001117587
FS( 21 ),2907506.250000000000000,2581032.400000000372529,2661121.959999999962747,2512415.479999999981374,10662076.089999999850988
FS( 22 ),2924527.750000000000000,2600040.000000000000000,2684965.120000000577420,2577596.750000000000000,10787129.620000001043081
FS( 23 ),2948761.750000000000000,2606042.400000000372529,2747583.520000000018626,2577596.750000000000000,10879984.419999999925494
FS( 24 ),2946165.250000000000000,2606542.600000000558794,2725185.400000000372529,2585578.129999999888241,10863471.380000000819564
FS( 25 ),2885436.000000000000000,2601040.400000000372529,2746861.000000000000000,2566954.910000000149012,10800292.310000000521541
FS( 26 ),2903034.500000000000000,2580532.200000000651926,2719405.240000000223517,2501330.229999999981374,10704302.170000001788139
FS( 27 ),2931740.250000000000000,2592036.800000000279397,2739635.800000000279397,2527491.419999999925494,10790904.270000001415610
FS( 28 ),2910391.250000000000000,2603041.200000000186265,2754808.720000000204891,2523944.140000000130385,10792185.310000000521541
FS( 29 ),2932750.000000000000000,2607042.800000000279397,2769499.959999999962747,2535916.209999999962747,10845208.970000000670552
FS( 30 ),2960301.750000000000000,2607543.000000000465661,2781301.120000000577420,2553209.199999999720603,10902355.070000000298023
FS( 31 ),2950060.000000000000000,2608043.200000000186265,2791175.560000000521541,2545671.229999999981374,10894949.990000000223517
FS( 32 ),2933471.250000000000000,2610044.000000000465661,2792379.760000000242144,2537246.439999999944121,10873141.449999999254942
FS( 33 ),2966793.000000000000000,2602541.000000000465661,2780337.760000000242144,2536803.029999999795109,10886474.789999999105930
FS( 34 ),2922508.250000000000000,2570528.200000000186265,2769981.640000000596046,2509311.609999999869615,10772329.700000001117587
FS( 35 ),2989296.000000000000000,2562024.800000000279397,2776966.000000000000000,2460979.919999999925494,10789266.720000000670552
FS( 36 ),3012664.500000000000000,2717587.000000000465661,2742044.200000000186265,2460093.099999999627471,10932388.799999998882413
FS( 37 ),3010212.250000000000000,2690076.000000000465661,2711939.200000000186265,2481820.189999999944121,10894047.639999998733401
