代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11694754.960000000894070
真實報酬,1694754.960000000894070

夏普值報酬,0.160775496000000
夏普值風險,0.049016169901510
夏普值,3.280050161468179

二次趨勢線,-19.736517911434209 x^2 + 16301.684118231623870 x + 10000000.000000000000000
二次平均預期報酬,13775.409825568043743
風險,109605.487425902145333
二次平均趨勢值,0.125681753250546
一次趨勢線,14414.408617241777392 x + 10000000.000000000000000
一次預期報酬,14414.408617241777392
一次風險,115347.328740708355326
一次趨勢值,0.124965257319866
找到最佳解世代,2023
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
KO[14](11),MCD[15](21),PFE[20](15),VZ[26](6),XOM[29](1),
Stock#,KO[14](11),MCD[15](21),PFE[20](15),VZ[26](6),XOM[29](1),
張數,70896,28469,129198,67658,32289,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,23.839999999850988,52.750000000000000,14.959999999962747,29.520000000018626,19.340000000083819,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1998582.079999999841675,2005693.800000000046566,2111110.279999999795109,1998646.839999999850988,2025185.420000000158325,10139218.419999999925494
FS( 3 ),2004962.719999999972060,2012526.359999999869615,2124030.080000000074506,1989174.719999999972060,2025185.420000000158325,10155879.300000000745058
FS( 4 ),1998582.079999999841675,2005693.800000000046566,2091730.580000000074506,1999323.420000000158325,2024862.530000000027940,10120192.410000000149012
FS( 5 ),2012052.319999999832362,2042418.809999999823049,2098190.479999999981374,1999323.420000000158325,2000968.670000000158325,10152953.699999999254942
FS( 6 ),2024813.599999999860302,2076012.229999999981374,2121446.120000000111759,2020297.399999999906868,2016467.390000000130385,10259036.740000000223517
FS( 7 ),2019850.879999999655411,2073734.710000000195578,2140825.819999999832362,2031122.679999999934807,1999677.110000000102445,10265211.199999999254942
FS( 8 ),1986529.759999999776483,2037579.079999999841675,2067182.959999999962747,2000000.000000000000000,1949952.050000000046566,10041243.849999999627471
FS( 9 ),1974477.439999999944121,2051528.890000000130385,2093022.559999999823049,2051420.080000000074506,1944785.810000000055879,10115234.779999999329448
FS( 10 ),1975895.359999999869615,2046689.159999999916181,2077518.799999999813735,2031799.260000000009313,1934453.330000000074506,10066355.910000000149012
FS( 11 ),1980858.079999999841675,2043842.260000000242144,2071058.900000000139698,2027063.200000000186265,1933484.660000000149012,10056307.100000001490116
FS( 12 ),1989365.599999999860302,2084552.929999999934807,2102066.419999999925494,2041271.380000000121072,1963836.320000000065193,10181092.649999998509884
FS( 13 ),1979440.159999999916181,2085407.000000000000000,2080102.760000000242144,2039918.219999999972060,1942202.689999999944121,10127070.830000000074506
FS( 14 ),1959589.279999999795109,2077435.679999999934807,2071058.900000000139698,2004059.479999999981374,1914434.150000000139698,10026577.490000000223517
FS( 15 ),1960298.239999999757856,2080567.270000000018626,2056847.119999999878928,1987144.979999999981374,1901518.550000000046566,9986376.160000000149012
FS( 16 ),1970932.639999999897555,2087969.210000000195578,2080102.760000000242144,1989851.300000000046566,1921214.840000000083819,10050070.750000000000000
FS( 17 ),1973059.519999999785796,2070318.429999999934807,2043927.320000000065193,1993910.780000000027940,1903133.000000000000000,9984349.050000000745058
FS( 18 ),1963843.039999999804422,2083698.859999999869615,2065890.979999999981374,2006765.800000000046566,1902164.330000000074506,10022363.009999997913837
FS( 19 ),1955335.519999999785796,2082844.789999999804422,2054263.159999999916181,1995940.520000000018626,1888280.060000000055879,9976664.050000000745058
FS( 20 ),1990783.519999999785796,2106474.060000000055879,2078810.780000000027940,2018944.239999999990687,1930901.540000000037253,10125914.140000000596046
FS( 21 ),1969514.719999999972060,2070887.809999999823049,2049095.239999999990687,1991881.040000000037253,1905070.340000000083819,9986449.150000000372529
FS( 22 ),1980858.079999999841675,2079997.890000000130385,2055555.139999999897555,1997970.260000000009313,1908622.130000000121072,10023003.500000000000000
FS( 23 ),2031903.199999999953434,2122132.010000000242144,2103358.399999999906868,2047360.600000000093132,1966742.330000000074506,10271496.539999999105930
FS( 24 ),2034030.079999999841675,2135797.129999999888241,2118862.159999999683350,2037211.899999999906868,1971585.680000000167638,10297486.949999999254942
FS( 25 ),2040410.719999999972060,2137789.959999999962747,2126614.040000000037253,2043301.119999999878928,1979980.820000000065193,10328096.660000000149012
FS( 26 ),2043246.559999999823049,2158002.949999999720603,2109818.299999999813735,2044654.280000000027940,1955118.290000000037253,10310840.379999998956919
FS( 27 ),2050336.159999999916181,2165974.270000000018626,2139533.839999999850988,2060892.200000000186265,1961576.090000000083819,10378312.559999998658895
FS( 28 ),2066642.239999999757856,2117292.280000000260770,2166665.419999999925494,2086602.239999999990687,1971262.790000000037253,10408464.969999998807907
