代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11826754.219999998807907
真實報酬,1826754.219999998807907

夏普值報酬,0.173975422000000
夏普值風險,0.054813651386534
夏普值,3.173943307902681

二次趨勢線,21.162407253887153 x^2 + 12673.936821582366974 x + 10000000.000000000000000
二次平均預期報酬,15382.724950079918926
風險,125066.297731753264088
二次平均趨勢值,0.122996564454745
一次趨勢線,14697.560894048167029 x + 10000000.000000000000000
一次預期報酬,14697.560894048167029
一次風險,130868.623941808647942
一次趨勢值,0.112307751478945
找到最佳解世代,1726
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](2),PG[21](1),
Stock#,KO[14](2),PG[21](1),
張數,107020,48243,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.600000000558794,95.479999999515712,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4983947.000000000931323,5005306.729999999515712,9989253.730000000447035
FS( 3 ),4942209.200000000186265,5002412.149999999441206,9944621.349999999627471
FS( 4 ),4974315.200000000186265,4989868.969999999739230,9964184.169999999925494
FS( 5 ),4973245.000000000000000,5000482.429999999701977,9973727.429999999701977
FS( 6 ),4981806.600000000558794,5064163.189999999478459,10045969.789999999105930
FS( 7 ),4994649.000000000931323,5049207.859999999403954,10043856.859999999403954
FS( 8 ),4991438.400000000372529,5048725.429999999701977,10040163.830000000074506
FS( 9 ),4998929.800000000745058,5053549.729999999515712,10052479.530000001192093
FS( 10 ),5002140.400000000372529,5068505.059999999590218,10070645.460000000894070
FS( 11 ),5029965.600000000558794,5100827.870000000111759,10130793.470000000670552
FS( 12 ),5024614.600000000558794,5134115.540000000037253,10158730.140000000596046
FS( 13 ),5059931.200000001117587,5106617.029999999329448,10166548.230000000447035
FS( 14 ),5081335.200000000186265,5116265.629999998956919,10197600.829999998211861
FS( 15 ),5072773.600000000558794,5114335.910000000149012,10187109.510000001639128
FS( 16 ),5159459.800000000745058,4976843.359999999403954,10136303.160000000149012
FS( 17 ),5134845.200000000186265,5002412.149999999441206,10137257.349999999627471
FS( 18 ),5119862.400000001303852,4982632.519999999552965,10102494.920000001788139
FS( 19 ),5164810.800000000745058,5107099.459999999031425,10271910.259999999776483
FS( 20 ),5181934.000000000931323,5054997.019999999552965,10236931.019999999552965
FS( 21 ),5250426.800000000745058,5137010.120000000111759,10387436.920000001788139
FS( 22 ),5200127.400000001303852,5062233.469999999739230,10262360.870000001043081
FS( 23 ),5178723.400000000372529,5092626.559999999590218,10271349.960000000894070
FS( 24 ),5214040.000000000000000,5117712.919999998994172,10331752.919999998062849
