代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11643034.049999998882413
真實報酬,1643034.049999998882413

夏普值報酬,0.155603405000000
夏普值風險,0.041419274339062
夏普值,3.756787328677411

二次趨勢線,-22.915592832733569 x^2 + 15799.782059199267678 x + 10000000.000000000000000
二次平均預期報酬,13004.079733605769434
風險,103309.440159867648617
二次平均趨勢值,0.125875038268356
一次趨勢線,13711.634025885616211 x + 10000000.000000000000000
一次預期報酬,13711.634025885616211
一次風險,110040.965095856605330
一次趨勢值,0.124604814342926
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](15),HD[9](8),JNJ[12](5),V[25](1),
Stock#,BA[2](15),HD[9](8),JNJ[12](5),V[25](1),
張數,35275,44021,37169,77808,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,60.750000000000000,47.410000000149012,13.059999999590218,28.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2537038.750000000000000,2488994.750000000000000,2500371.689999999478459,2482104.159999999683350,10008509.349999999627471
FS( 3 ),2568786.249999999534339,2537858.060000000055879,2521558.019999999552965,2519452.000000000000000,10147654.329999998211861
FS( 4 ),2571255.500000000000000,2520689.870000000111759,2523044.779999999329448,2523342.399999999906868,10138332.549999998882413
FS( 5 ),2507407.750000000000000,2522450.709999999962747,2534195.479999999981374,2503112.320000000298023,10067166.259999999776483
FS( 6 ),2514110.000000000000000,2496918.530000000260770,2534938.859999999869615,2557577.919999999925494,10103545.310000000521541
FS( 7 ),2503174.750000000000000,2511445.459999999962747,2533080.409999999683350,2596481.919999999925494,10144182.539999999105930
FS( 8 ),2525045.250000000000000,2566471.709999999962747,2564302.369999999180436,2625270.879999999888241,10281090.209999999031425
FS( 9 ),2514462.750000000000000,2617536.070000000298023,2544974.489999999757856,2611265.439999999944121,10288238.750000000000000
FS( 10 ),2466488.750000000000000,2593324.520000000018626,2536797.309999999590218,2604262.719999999739230,10200873.299999998882413
FS( 11 ),2485184.500000000000000,2591123.470000000204891,2547948.009999999310821,2600372.320000000298023,10224628.300000000745058
FS( 12 ),2465783.250000000000000,2617976.280000000260770,2549806.459999999497086,2622158.560000000055879,10255724.550000000745058
FS( 13 ),2464019.500000000000000,2609612.290000000037253,2560957.159999999683350,2618268.159999999683350,10252857.109999999403954
FS( 14 ),2468252.500000000000000,2615775.230000000447035,2566904.199999999720603,2626048.959999999962747,10276980.890000000596046
FS( 15 ),2470369.000000000000000,2614454.600000000093132,2564674.059999999590218,2601928.479999999981374,10251426.139999998733401
FS( 16 ),2447440.250000000000000,2628981.530000000260770,2576568.139999999199063,2617490.080000000074506,10270480.000000000000000
FS( 17 ),2478129.500000000000000,2604769.980000000447035,2564674.059999999590218,2577808.000000000000000,10225381.539999999105930
