代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11620806.879999998956919
真實報酬,1620806.879999998956919

夏普值報酬,0.153380688000000
夏普值風險,0.070279175107429
夏普值,2.182448609642067

二次趨勢線,243.068753569817233 x^2 + -14489.224483293441153 x + 10000000.000000000000000
二次平均預期報酬,16623.575973643164616
風險,221961.862180602882290
二次平均趨勢值,0.074893839015088
一次趨勢線,8753.867622770963862 x + 10000000.000000000000000
一次預期報酬,8753.867622770963862
一次風險,495155.046107839676552
一次趨勢值,0.017679043547230
找到最佳解世代,2146
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),KO[14](3),UNH[23](1),VZ[26](2),
Stock#,AAPL[0](5),KO[14](3),UNH[23](1),VZ[26](2),
張數,65703,93005,82617,91307,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.850000000093132,25.600000000093132,9.580000000074506,14.340000000316650,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2427726.700000000186265,2473028.550000000279397,2436384.910000000149012,2454346.500000000000000,9791486.660000000149012
FS( 3 ),2402759.560000000055879,2495349.750000000000000,2478519.580000000074506,2447955.010000000242144,9824583.900000000372529
FS( 4 ),2311432.390000000130385,2432106.350000000093132,2415730.660000000149012,2391344.670000000391155,9550614.070000000298023
FS( 5 ),2213534.919999999925494,2449777.300000000279397,2397554.919999999925494,2406866.860000000335276,9467734.000000000000000
FS( 6 ),2383705.689999999944121,2513020.700000000186265,2468605.540000000037253,2442476.590000000316650,9807808.520000001415610
FS( 7 ),2408015.799999999813735,2493489.649999999906868,2466127.030000000260770,2424215.190000000409782,9791847.669999999925494
FS( 8 ),2459921.169999999925494,2512090.650000000372529,2504957.020000000018626,2449781.150000000372529,9926749.990000000223517
FS( 9 ),2425098.580000000074506,2487909.350000000093132,2493390.640000000130385,2448868.080000000540167,9855266.650000000372529
FS( 10 ),2382391.629999999888241,2480468.950000000186265,2510740.209999999962747,2434258.960000000428408,9807859.750000000000000
FS( 11 ),2386333.810000000055879,2484189.150000000372529,2514871.060000000055879,2447041.940000000409782,9832435.960000000894070
FS( 12 ),2368594.000000000000000,2469308.350000000093132,2493390.640000000130385,2426041.330000000540167,9757334.320000000298023
FS( 13 ),2331143.290000000037253,2470238.399999999906868,2477693.410000000149012,2434258.960000000428408,9713334.060000000521541
FS( 14 ),2231931.760000000242144,2396764.450000000186265,2392597.900000000372529,2369430.990000000223517,9390725.100000001490116
FS( 15 ),2274638.709999999962747,2399554.600000000093132,2371117.479999999981374,2386779.320000000298023,9432090.110000001266599
FS( 16 ),2316031.600000000093132,2393044.250000000000000,2381857.689999999944121,2346604.240000000223517,9437537.779999999329448
FS( 17 ),2301576.939999999944121,2353982.149999999906868,2385162.370000000111759,2339299.680000000633299,9380021.140000000596046
FS( 18 ),2291064.459999999962747,2328870.799999999813735,2378553.009999999776483,2299124.600000000093132,9297612.869999999180436
FS( 19 ),2377792.419999999925494,2382813.700000000186265,2422340.020000000018626,2354821.870000000111759,9537768.010000001639128
FS( 20 ),2411300.950000000186265,2390254.100000000093132,2401685.770000000018626,2349343.450000000186265,9552584.269999999552965
FS( 21 ),2448094.629999999888241,2385603.850000000093132,2394250.240000000223517,2322864.420000000391155,9550813.140000000596046
FS( 22 ),2477660.979999999981374,2437686.650000000372529,2471084.050000000279397,2354821.870000000111759,9741253.550000000745058
FS( 23 ),2469776.620000000111759,2453497.500000000000000,2516523.400000000372529,2359387.220000000204891,9799184.740000000223517
FS( 24 ),2402759.560000000055879,2384673.800000000279397,2506609.359999999869615,2322864.420000000391155,9616907.140000000596046
FS( 25 ),2355453.400000000372529,2362352.600000000093132,2516523.400000000372529,2311907.580000000540167,9546236.980000000447035
FS( 26 ),2340341.709999999962747,2397694.500000000000000,2552048.709999999962747,2363039.500000000000000,9653124.419999999925494
FS( 27 ),2282523.070000000298023,2388394.000000000000000,2522306.590000000316650,2371257.130000000353903,9564480.790000000968575
FS( 28 ),2351511.220000000204891,2439546.750000000000000,2536351.479999999981374,2419649.840000000316650,9747059.290000000968575
FS( 29 ),2379763.510000000242144,2402344.750000000000000,2533872.970000000204891,2437911.240000000223517,9753892.470000000670552
FS( 30 ),2386990.839999999850988,2395834.400000000372529,2527263.609999999869615,2444302.730000000447035,9754391.580000000074506
FS( 31 ),2437582.150000000372529,2426526.050000000279397,2576833.810000000055879,2485390.880000000353903,9926332.890000002458692
FS( 32 ),2508541.390000000130385,2436756.600000000093132,2593357.209999999962747,2490869.300000000279397,10029524.500000000000000
FS( 33 ),2551905.370000000111759,2434896.500000000000000,2602445.080000000074506,2483564.740000000223517,10072811.690000001341105
FS( 34 ),2572273.299999999813735,2433036.399999999906868,2588400.189999999944121,2486303.950000000186265,10080013.839999999850988
FS( 35 ),2536136.650000000372529,2440476.799999999813735,2573529.129999999888241,2480825.530000000260770,10030968.109999999403954
FS( 36 ),2570302.209999999962747,2439546.750000000000000,2531394.459999999962747,2480825.530000000260770,10022068.949999999254942
FS( 37 ),2543363.979999999981374,2429316.200000000186265,2495869.150000000372529,2503652.280000000260770,9972201.609999999403954
FS( 38 ),2524967.140000000130385,2408855.100000000093132,2458691.500000000000000,2472607.900000000372529,9865121.640000000596046
FS( 39 ),2503285.150000000372529,2337241.250000000000000,2468605.540000000037253,2436998.170000000391155,9746130.110000001266599
FS( 40 ),2518396.839999999850988,2375373.299999999813735,2411599.810000000055879,2450694.220000000204891,9756064.169999999925494
FS( 41 ),2404730.650000000372529,2340961.450000000186265,2365334.290000000037253,2443389.660000000614673,9554416.050000000745058
FS( 42 ),2360709.640000000130385,2330730.899999999906868,2346332.379999999888241,2392257.740000000223517,9430030.660000000149012
FS( 43 ),2332457.350000000093132,2327010.700000000186265,2300893.030000000260770,2401388.440000000409782,9361749.520000001415610
FS( 44 ),2318002.689999999944121,2327940.750000000000000,2338070.680000000167638,2447955.010000000242144,9431969.129999998956919
FS( 45 ),2333771.410000000149012,2345611.700000000186265,2386814.709999999962747,2429693.610000000335276,9495891.429999999701977
FS( 46 ),2427726.700000000186265,2393974.299999999813735,2412425.979999999981374,2421475.980000000447035,9655602.960000000894070
FS( 47 ),2422470.459999999962747,2437686.650000000372529,2452082.140000000130385,2445215.800000000279397,9757455.050000000745058
FS( 48 ),2436925.120000000111759,2436756.600000000093132,2476041.069999999832362,2433345.890000000130385,9783068.680000001564622
FS( 49 ),2415243.129999999888241,2439546.750000000000000,2481824.259999999776483,2418736.770000000018626,9755350.910000000149012
FS( 50 ),2363337.760000000242144,2451637.399999999906868,2490085.959999999962747,2455259.570000000298023,9760320.690000001341105
FS( 51 ),2371879.150000000372529,2456287.649999999906868,2504957.020000000018626,2450694.220000000204891,9783818.040000000968575
FS( 52 ),2360052.610000000335276,2458147.750000000000000,2551222.540000000037253,2447041.940000000409782,9816464.839999999850988
FS( 53 ),2345597.950000000186265,2435826.550000000279397,2506609.359999999869615,2436998.170000000391155,9725032.029999999329448
FS( 54 ),2304862.089999999850988,2431176.300000000279397,2546265.520000000018626,2439737.380000000353903,9722041.290000000968575
FS( 55 ),2363994.790000000037253,2475818.700000000186265,2547091.689999999944121,2435172.030000000260770,9822077.210000000894070
FS( 56 ),2386333.810000000055879,2514880.799999999813735,2536351.479999999981374,2421475.980000000447035,9859042.070000000298023
FS( 57 ),2431011.850000000093132,2523251.250000000000000,2561136.580000000074506,2465303.340000000316650,9980703.019999999552965
FS( 58 ),2439553.240000000223517,2546502.500000000000000,2554527.220000000204891,2558436.480000000447035,10099019.440000001341105
FS( 59 ),2433639.970000000204891,2554872.950000000186265,2599966.569999999832362,2582176.300000000279397,10170655.790000000968575
FS( 60 ),2478975.040000000037253,2560453.250000000000000,2542960.840000000316650,2610481.470000000204891,10192870.600000001490116
FS( 61 ),2449408.689999999944121,2552082.800000000279397,2505783.189999999944121,2639699.710000000428408,10146974.390000000596046
FS( 62 ),2422470.459999999962747,2557663.100000000093132,2514871.060000000055879,2636960.500000000000000,10131965.120000001043081
FS( 63 ),2414586.100000000093132,2563243.399999999906868,2515697.229999999981374,2653395.760000000242144,10146922.490000000223517
FS( 64 ),2457950.080000000074506,2623696.650000000372529,2597488.060000000055879,2699049.260000000242144,10378184.050000000745058
FS( 65 ),2458607.110000000335276,2621836.550000000279397,2678452.720000000204891,2697223.120000000111759,10456119.500000000000000
FS( 66 ),2468462.560000000055879,2630207.000000000000000,2718935.049999999813735,2684440.140000000130385,10502044.750000000000000
FS( 67 ),2456636.020000000018626,2621836.550000000279397,2761069.720000000204891,2698136.190000000409782,10537678.480000000447035
FS( 68 ),2441524.330000000074506,2639507.500000000000000,2763548.230000000447035,2698136.190000000409782,10542716.250000000000000
FS( 69 ),2456636.020000000018626,2656248.399999999906868,2766852.910000000149012,2726441.360000000335276,10606178.690000001341105
FS( 70 ),2434954.030000000260770,2649738.049999999813735,2753634.189999999944121,2741050.480000000447035,10579376.750000000000000
FS( 71 ),2348226.070000000298023,2606025.700000000186265,2642927.410000000149012,2699049.260000000242144,10296228.440000001341105
FS( 72 ),2363337.760000000242144,2590214.850000000093132,2654493.790000000502914,2768442.580000000540167,10376488.980000000447035
FS( 73 ),2338370.620000000111759,2592074.950000000186265,2646232.090000000316650,2741963.550000000279397,10318641.210000000894070
FS( 74 ),2324572.990000000223517,2598585.300000000279397,2635491.879999999888241,2735572.060000000521541,10294222.230000000447035
FS( 75 ),2365308.850000000093132,2609745.899999999906868,2672669.530000000260770,2754746.530000000260770,10402470.810000000521541
FS( 76 ),2375164.299999999813735,2596725.200000000186265,2688366.759999999776483,2752920.390000000130385,10413176.650000000372529
FS( 77 ),2345597.950000000186265,2570683.800000000279397,2626404.009999999776483,2704527.680000000633299,10247213.440000001341105
FS( 78 ),2342969.830000000074506,2571613.850000000093132,2611532.950000000186265,2681700.930000000633299,10207817.560000000521541
FS( 79 ),2306833.180000000167638,2585564.600000000093132,2602445.080000000074506,2685353.210000000428408,10180196.070000000298023
FS( 80 ),2252299.689999999944121,2588354.750000000000000,2564441.259999999776483,2690831.630000000353903,10095927.330000000074506
FS( 81 ),2279894.950000000186265,2576264.100000000093132,2640448.900000000372529,2708179.960000000428408,10204787.910000002011657
FS( 82 ),2255584.839999999850988,2565103.500000000000000,2631361.030000000260770,2693570.840000000316650,10145620.210000000894070
FS( 83 ),2268068.410000000149012,2611606.000000000000000,2674321.869999999646097,2724615.220000000204891,10278611.500000000000000
FS( 84 ),2275952.770000000018626,2583704.500000000000000,2636318.050000000279397,2688092.420000000391155,10184067.740000000223517
FS( 85 ),2281866.040000000037253,2598585.300000000279397,2620620.819999999832362,2696310.050000000279397,10197382.210000000894070
FS( 86 ),2349540.129999999888241,2665548.899999999906868,2692497.610000000335276,2762964.160000000614673,10470550.800000000745058
FS( 87 ),2366622.910000000149012,2668339.050000000279397,2714804.200000000186265,2749268.110000000335276,10499034.270000001415610
FS( 88 ),2429040.760000000242144,2676709.500000000000000,2801552.049999999813735,2757485.740000000223517,10664788.050000000745058
FS( 89 ),2419842.339999999850988,2680429.700000000186265,2790811.840000000316650,2759311.880000000353903,10650395.760000001639128
FS( 90 ),2467805.530000000260770,2689730.200000000186265,2796595.030000000260770,2781225.560000000521541,10735356.320000000298023
FS( 91 ),2469119.589999999850988,2711121.350000000093132,2810639.920000000391155,2815922.220000000204891,10806803.080000000074506
FS( 92 ),2472404.740000000223517,2721351.900000000372529,2849469.910000000149012,2814096.080000000540167,10857322.630000000819564
FS( 93 ),2506570.299999999813735,2699030.700000000186265,2868471.819999999832362,2821400.640000000130385,10895473.460000000894070
FS( 94 ),2515768.720000000204891,2678569.600000000093132,2859383.950000000186265,2822313.710000000428408,10876035.980000000447035
FS( 95 ),2536136.650000000372529,2670199.150000000372529,2831294.170000000391155,2847879.670000000391155,10885509.640000000596046
FS( 96 ),2595926.379999999888241,2674849.400000000372529,2828815.660000000149012,2868880.280000000260770,10968471.720000000670552
FS( 97 ),2584756.870000000111759,2676709.500000000000000,2819727.790000000502914,2892620.100000000093132,10973814.259999999776483
FS( 98 ),2658344.229999999981374,2696240.549999999813735,2885821.390000000130385,2930055.970000000670552,11170462.140000000596046
FS( 99 ),2663600.470000000204891,2702750.899999999906868,2913085.000000000000000,2951056.580000000540167,11230492.950000001117587
FS( 100 ),2701051.180000000167638,2708331.200000000186265,2947784.140000000130385,2957448.070000000298023,11314614.590000001713634
FS( 101 ),2711563.660000000149012,2691590.300000000279397,2927956.060000000055879,2937360.530000000260770,11268470.550000000745058
FS( 102 ),2743758.129999999888241,2726002.149999999906868,2951914.989999999757856,2980274.820000000298023,11401950.089999999850988
FS( 103 ),2732588.620000000111759,2725072.100000000093132,2920520.530000000260770,3000362.360000000335276,11378543.610000001266599
FS( 104 ),2692509.790000000037253,2748323.350000000093132,2894909.259999999776483,2987579.380000000353903,11323321.780000001192093
FS( 105 ),2697109.000000000000000,2732512.500000000000000,2908127.980000000447035,2982100.959999999962747,11319850.440000001341105
FS( 106 ),2663600.470000000204891,2721351.900000000372529,2900692.450000000186265,2975709.470000000670552,11261354.290000002831221
FS( 107 ),2651773.930000000167638,2749253.399999999906868,2927129.890000000130385,3003101.570000000298023,11331258.790000000968575
FS( 108 ),2615637.280000000260770,2738092.800000000279397,2853600.759999999776483,3015884.550000000279397,11223215.390000000596046
FS( 109 ),2712220.689999999944121,2774364.750000000000000,2897387.770000000018626,3065190.330000000540167,11449163.539999999105930
FS( 110 ),2705650.390000000130385,2779015.000000000000000,2813118.429999999701977,3035972.090000000316650,11333755.910000000149012
FS( 111 ),2714848.810000000055879,2764134.200000000186265,2837077.360000000335276,3006753.850000000093132,11322814.220000000670552
FS( 112 ),2760183.879999999888241,2763204.150000000372529,2837903.530000000260770,2997623.150000000372529,11358914.710000000894070
FS( 113 ),2772010.419999999925494,2769714.500000000000000,2862688.629999999888241,3015884.550000000279397,11420298.100000001490116
FS( 114 ),2802233.799999999813735,2771574.600000000093132,2893256.920000000391155,2971144.120000000111759,11438209.440000001341105
FS( 115 ),2817345.490000000223517,2787385.450000000186265,2918042.020000000018626,2941012.810000000521541,11463785.770000001415610
FS( 116 ),2837713.419999999925494,2786455.400000000372529,2956045.840000000316650,2962013.419999999925494,11542228.080000000074506
FS( 117 ),2954007.729999999981374,2787385.450000000186265,2972569.239999999757856,2961100.350000000093132,11675062.769999999552965
FS( 118 ),2984888.140000000130385,2790175.600000000093132,2994875.830000000074506,2975709.470000000670552,11745649.040000000968575
FS( 119 ),2904730.479999999981374,2805986.450000000186265,2916389.679999999701977,2936447.459999999962747,11563554.070000000298023
FS( 120 ),2914585.930000000167638,2844118.500000000000000,3034531.989999999757856,2980274.820000000298023,11773511.240000000223517
FS( 121 ),2905387.510000000242144,2858999.299999999813735,3014703.910000000149012,2969317.980000000447035,11748408.700000001117587
FS( 122 ),2885676.610000000335276,2865509.649999999906868,3078319.000000000000000,2930055.970000000670552,11759561.230000000447035
FS( 123 ),2898817.209999999962747,2837608.150000000372529,3103104.100000000093132,2953795.790000000502914,11793325.250000001862645
FS( 124 ),2891589.879999999888241,2847838.700000000186265,3103930.270000000018626,2967491.840000000316650,11810850.689999999478459
FS( 125 ),2889618.790000000037253,2845978.600000000093132,2968438.390000000130385,2968404.910000000149012,11672440.690000001341105
FS( 126 ),2865308.680000000167638,2846908.649999999906868,2994875.830000000074506,2959274.209999999962747,11666367.370000001043081
FS( 127 ),2825229.850000000093132,2851558.899999999906868,2978352.429999999701977,2965665.700000000186265,11620806.879999998956919
