代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12098139.160000000149012
真實報酬,2098139.160000000149012

夏普值報酬,0.201113916000000
夏普值風險,0.062049460181060
夏普值,3.241187198295515

二次趨勢線,172.954099916729035 x^2 + -5611.976091409725996 x + 10000000.000000000000000
二次平均預期報酬,16526.148697931592324
風險,122089.260240316390991
二次平均趨勢值,0.135361199383157
一次趨勢線,10926.505368862897740 x + 10000000.000000000000000
一次預期報酬,10926.505368862897740
一次風險,337779.119963665958494
一次趨勢值,0.032348078146566
找到最佳解世代,1741
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](3),
Stock#,NKE[19](1),PG[21](3),
張數,130344,62220,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,4.160000000149012,0.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4924400.480000000447035,4973245.400000000372529,9897645.880000000819564
FS( 3 ),4962200.240000000223517,4968890.000000000000000,9931090.240000000223517
FS( 4 ),4945255.519999999552965,4984445.000000000000000,9929700.519999999552965
FS( 5 ),4968717.439999999478459,4979467.399999999441206,9948184.839999999850988
FS( 6 ),4997393.120000001043081,4983200.599999999627471,9980593.720000000670552
FS( 7 ),4973931.199999999254942,4986933.799999999813735,9960865.000000000000000
FS( 8 ),4897028.240000000223517,4981334.000000000000000,9878362.240000000223517
FS( 9 ),4873566.320000000298023,4962668.000000000000000,9836234.320000000298023
FS( 10 ),4863138.800000000745058,4955201.599999999627471,9818340.400000000372529
FS( 11 ),4859228.480000000447035,4958312.599999999627471,9817541.080000000074506
FS( 12 ),4894421.359999999403954,4951468.399999999441206,9845889.759999997913837
FS( 13 ),4966110.560000000521541,4964534.600000000558794,9930645.160000000149012
FS( 14 ),4929614.240000000223517,4992533.599999999627471,9922147.839999999850988
FS( 15 ),4894421.359999999403954,4973245.400000000372529,9867666.759999999776483
FS( 16 ),4917883.279999999329448,4947735.199999999254942,9865618.479999998584390
FS( 17 ),4886600.720000000670552,4916003.000000000000000,9802603.720000000670552
FS( 18 ),4984358.720000000670552,4935291.199999999254942,9919649.919999999925494
FS( 19 ),5009124.080000000074506,4891737.200000000186265,9900861.280000001192093
FS( 20 ),5062565.120000001043081,4916625.199999999254942,9979190.320000000298023
FS( 21 ),5054744.480000000447035,4889870.599999999627471,9944615.080000000074506
FS( 22 ),5083420.160000000149012,4932802.399999999441206,10016222.559999998658895
FS( 23 ),5070385.759999999776483,4950224.000000000000000,10020609.759999999776483
FS( 24 ),5113399.279999999329448,4976356.400000000372529,10089755.679999999701977
FS( 25 ),5126433.679999999701977,4989422.599999999627471,10115856.279999999329448
FS( 26 ),5062565.120000001043081,5012444.000000000000000,10075009.120000001043081
FS( 27 ),5129040.560000000521541,5081508.200000000186265,10210548.760000001639128
FS( 28 ),5050834.160000000149012,5077775.000000000000000,10128609.160000000149012
FS( 29 ),5037799.759999999776483,5049776.000000000000000,10087575.759999999776483
FS( 30 ),5080813.279999999329448,5059731.199999999254942,10140544.479999998584390
FS( 31 ),5086027.040000000968575,5055998.000000000000000,10142025.040000000968575
FS( 32 ),5013034.400000000372529,5036087.599999999627471,10049122.000000000000000
FS( 33 ),4988269.040000000968575,5002488.799999999813735,9990757.839999999850988
FS( 34 ),5052137.599999999627471,5011821.799999999813735,10063959.399999998509884
FS( 35 ),5006517.199999999254942,4995022.399999999441206,10001539.599999997764826
FS( 36 ),5020855.040000000968575,4983822.799999999813735,10004677.839999999850988
FS( 37 ),5043013.519999999552965,4976978.599999999627471,10019992.119999999180436
FS( 38 ),5122523.359999999403954,4993778.000000000000000,10116301.359999999403954
FS( 39 ),5065172.000000000000000,4950224.000000000000000,10015396.000000000000000
FS( 40 ),5109488.960000000894070,4931558.000000000000000,10041046.960000000894070
FS( 41 ),5089937.359999999403954,4893603.799999999813735,9983541.160000000149012
FS( 42 ),5188998.800000000745058,4863116.000000000000000,10052114.800000000745058
FS( 43 ),5027372.240000000223517,4810851.199999999254942,9838223.439999999478459
FS( 44 ),5003910.320000000298023,4955823.799999999813735,9959734.120000001043081
FS( 45 ),5028675.679999999701977,4929069.200000000186265,9957744.879999998956919
FS( 46 ),5013034.400000000372529,4940891.000000000000000,9953925.400000000372529
FS( 47 ),5027372.240000000223517,5045420.599999999627471,10072792.839999999850988
FS( 48 ),4975234.640000000596046,4986311.599999999627471,9961546.240000000223517
FS( 49 ),5022158.480000000447035,5036709.799999999813735,10058868.280000001192093
FS( 50 ),5022158.480000000447035,5069686.400000000372529,10091844.880000000819564
FS( 51 ),5001303.439999999478459,5065953.200000000186265,10067256.640000000596046
FS( 52 ),5035192.880000000819564,5069686.400000000372529,10104879.280000001192093
FS( 53 ),5037799.759999999776483,5098929.799999999813735,10136729.559999998658895
FS( 54 ),5027372.240000000223517,5088352.399999999441206,10115724.640000000596046
FS( 55 ),5119916.480000000447035,5129417.599999999627471,10249334.080000000074506
FS( 56 ),5117309.599999999627471,5144972.599999999627471,10262282.199999999254942
FS( 57 ),5143378.400000000372529,5152439.000000000000000,10295817.400000000372529
FS( 58 ),5144681.839999999850988,5181682.399999999441206,10326364.239999998360872
FS( 59 ),5168143.759999999776483,5188526.599999999627471,10356670.359999999403954
FS( 60 ),5215067.599999999627471,5197859.600000000558794,10412927.199999999254942
FS( 61 ),5179874.720000000670552,5187904.399999999441206,10367779.120000001043081
FS( 62 ),5195516.000000000000000,5183549.000000000000000,10379065.000000000000000
FS( 63 ),5136861.199999999254942,5166127.399999999441206,10302988.599999997764826
FS( 64 ),5119916.480000000447035,5171105.000000000000000,10291021.480000000447035
FS( 65 ),5166840.320000000298023,5163016.400000000372529,10329856.720000000670552
FS( 66 ),5136861.199999999254942,5158038.799999999813735,10294900.000000000000000
FS( 67 ),5208550.400000000372529,5207814.799999999813735,10416365.199999999254942
FS( 68 ),5346715.040000000968575,5212170.199999999254942,10558885.240000000223517
FS( 69 ),5370176.960000000894070,5184171.199999999254942,10554348.160000000149012
FS( 70 ),5333680.640000000596046,5163638.599999999627471,10497319.240000000223517
FS( 71 ),5375390.720000000670552,5204081.599999999627471,10579472.320000000298023
FS( 72 ),5332377.199999999254942,5194748.599999999627471,10527125.799999998882413
FS( 73 ),5333680.640000000596046,5180438.000000000000000,10514118.640000000596046
FS( 74 ),5319342.800000000745058,5218392.200000000186265,10537735.000000000000000
FS( 75 ),5291970.560000000521541,5231458.399999999441206,10523428.960000000894070
FS( 76 ),5312825.599999999627471,5236436.000000000000000,10549261.599999999627471
FS( 77 ),5342804.720000000670552,5238302.599999999627471,10581107.320000000298023
FS( 78 ),5332377.199999999254942,5255724.200000000186265,10588101.399999998509884
FS( 79 ),5259384.560000000521541,5276879.000000000000000,10536263.560000000521541
FS( 80 ),5221584.800000000745058,5253857.599999999627471,10475442.400000000372529
FS( 81 ),5268508.640000000596046,5303633.599999999627471,10572142.240000000223517
FS( 82 ),5198122.880000000819564,5247013.399999999441206,10445136.280000001192093
FS( 83 ),5832898.160000000149012,5262568.399999999441206,11095466.559999998658895
FS( 84 ),5808132.800000000745058,5253857.599999999627471,11061990.400000000372529
FS( 85 ),5813346.560000000521541,5210303.599999999627471,11023650.160000000149012
FS( 86 ),5715588.560000000521541,5172971.599999999627471,10888560.160000000149012
FS( 87 ),5819863.759999999776483,5167371.799999999813735,10987235.559999998658895
FS( 88 ),5885035.759999999776483,5213414.600000000558794,11098450.359999999403954
FS( 89 ),5814650.000000000000000,5199726.199999999254942,11014376.199999999254942
FS( 90 ),5740353.919999999925494,5174216.000000000000000,10914569.919999999925494
FS( 91 ),5789884.640000000596046,5237680.400000000372529,11027565.040000000968575
FS( 92 ),5685609.439999999478459,5205326.000000000000000,10890935.439999999478459
FS( 93 ),5683002.560000000521541,5269412.599999999627471,10952415.160000000149012
FS( 94 ),5565692.960000000894070,5187282.200000000186265,10752975.160000000149012
FS( 95 ),5546141.359999999403954,5198481.799999999813735,10744623.160000000149012
FS( 96 ),5551355.120000001043081,5161149.799999999813735,10712504.920000001788139
FS( 97 ),5672575.040000000968575,5116973.599999999627471,10789548.640000000596046
FS( 98 ),5681699.120000001043081,5181060.199999999254942,10862759.320000000298023
FS( 99 ),5793794.960000000894070,5237680.400000000372529,11031475.360000001266599
FS( 100 ),5907194.240000000223517,5264435.000000000000000,11171629.240000000223517
FS( 101 ),5856360.080000000074506,5240791.400000000372529,11097151.480000000447035
FS( 102 ),5890249.519999999552965,5178571.400000000372529,11068820.919999999925494
FS( 103 ),5924138.960000000894070,5298656.000000000000000,11222794.960000000894070
FS( 104 ),5972366.240000000223517,5347809.799999999813735,11320176.039999999105930
FS( 105 ),6025807.279999999329448,5380164.200000000186265,11405971.480000000447035
FS( 106 ),5993221.279999999329448,5384519.600000000558794,11377740.879999998956919
FS( 107 ),6061000.160000000149012,5409407.599999999627471,11470407.759999999776483
