代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12144371.070000000298023
真實報酬,2144371.070000000298023

夏普值報酬,0.205737107000000
夏普值風險,0.056671819827528
夏普值,3.630324694462391

二次趨勢線,62.817007461684369 x^2 + 7596.883601707633716 x + 10000000.000000000000000
二次平均預期報酬,15700.277564264921239
風險,253825.040776089444989
二次平均趨勢值,0.061854722907796
一次趨勢線,13650.781036769865750 x + 10000000.000000000000000
一次預期報酬,13650.781036769865750
一次風險,279153.325975979387295
一次趨勢值,0.048900656974241
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),NKE[19](1),
Stock#,HD[9](2),NKE[19](1),
張數,45641,99226,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.450000000186265,1.860000000335276,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5023276.910000000149012,5002976.780000000260770,10026253.690000001341105
FS( 3 ),4931994.910000000149012,4982139.320000000298023,9914134.230000000447035
FS( 4 ),4943405.160000000149012,4972216.720000000670552,9915621.880000000819564
FS( 5 ),5022364.090000000782311,5033736.839999999850988,10056100.929999999701977
FS( 6 ),5133271.719999999739230,5082357.580000000074506,10215629.300000000745058
FS( 7 ),5107256.350000000558794,5100218.259999999776483,10207474.609999999403954
FS( 8 ),5135553.769999999552965,5079380.799999999813735,10214934.570000000298023
FS( 9 ),5074851.240000000223517,5068465.940000000409782,10143317.179999999701977
FS( 10 ),5109081.990000000223517,5131970.580000000074506,10241052.570000000298023
FS( 11 ),5173435.799999999813735,5208374.600000000558794,10381810.400000000372529
FS( 12 ),5218163.980000000447035,5197459.740000000223517,10415623.720000000670552
FS( 13 ),5127338.390000000596046,5191506.180000000633299,10318844.570000000298023
FS( 14 ),5116384.549999999813735,5190513.920000000856817,10306898.470000000670552
FS( 15 ),5112276.860000000335276,5179599.060000000521541,10291875.920000001788139
FS( 16 ),5119123.009999999776483,5181583.580000000074506,10300706.589999999850988
FS( 17 ),5062984.580000000074506,5130978.320000000298023,10193962.900000000372529
FS( 18 ),5119123.009999999776483,5102202.780000000260770,10221325.789999999105930
FS( 19 ),5120492.240000000223517,5075411.759999999776483,10195904.000000000000000
FS( 20 ),5085348.669999999925494,5044651.700000001117587,10130000.370000001043081
FS( 21 ),5096758.919999999925494,5048620.740000000223517,10145379.660000000149012
FS( 22 ),5093107.640000000596046,5066481.420000000856817,10159589.060000002384186
FS( 23 ),5164764.009999999776483,5086326.620000000111759,10251090.629999998956919
FS( 24 ),5087174.309999999590218,5058543.339999999850988,10145717.649999998509884
FS( 25 ),5037425.620000000111759,5062512.380000000819564,10099938.000000000000000
FS( 26 ),5017343.580000000074506,5032744.580000000074506,10050088.160000000149012
FS( 27 ),4999087.180000000633299,5028775.540000000037253,10027862.720000000670552
FS( 28 ),5065266.630000000819564,5127009.280000000260770,10192275.910000000149012
FS( 29 ),5079415.340000000782311,5153800.299999999813735,10233215.640000000596046
FS( 30 ),5047923.049999999813735,5148839.000000000000000,10196762.050000000745058
FS( 31 ),5020994.860000000335276,5128001.540000000037253,10148996.400000000372529
FS( 32 ),5031035.880000000819564,5187537.140000000596046,10218573.020000001415610
FS( 33 ),5041989.719999999739230,5197459.740000000223517,10239449.460000000894070
FS( 34 ),5104974.299999999813735,5258979.860000000335276,10363954.160000000149012
FS( 35 ),5131446.080000000074506,5285770.880000000819564,10417216.960000000894070
FS( 36 ),5160656.320000000298023,5298670.259999999776483,10459326.580000000074506
