代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12057521.380000000819564
真實報酬,2057521.380000000819564

夏普值報酬,0.197052138000000
夏普值風險,0.061829090749608
夏普值,3.187045703098085

二次趨勢線,27.207082856256140 x^2 + 14480.836585855269732 x + 10000000.000000000000000
二次平均預期報酬,17990.550274312314286
風險,145304.016530303109903
二次平均趨勢值,0.123813165691537
一次趨勢線,17102.879497076068219 x + 10000000.000000000000000
一次預期報酬,17102.879497076068219
一次風險,153771.303241234796587
一次趨勢值,0.111222829855615
找到最佳解世代,2646
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](1),MCD[15](2),
Stock#,KO[14](1),MCD[15](2),
張數,194931,75346,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.850000000558794,39.440000000409782,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5109161.360000000335276,5106237.860000000335276,10215399.220000000670552
FS( 3 ),5142299.630000000819564,5112265.540000000037253,10254565.170000001788139
FS( 4 ),4998050.690000000409782,5025617.640000000596046,10023668.330000001937151
FS( 5 ),4951267.250000000000000,5029384.940000000409782,9980652.190000001341105
FS( 6 ),5025341.030000001192093,5152198.919999999925494,10177539.950000001117587
FS( 7 ),5005847.930000000633299,5143157.400000000372529,10149005.330000001937151
FS( 8 ),5113059.980000000447035,5226791.460000000894070,10339851.440000001341105
FS( 9 ),5035087.580000000074506,5239600.280000001192093,10274687.860000001266599
FS( 10 ),5021442.410000001080334,5221517.240000000223517,10242959.650000002235174
FS( 11 ),5085769.640000000596046,5304397.840000000782311,10390167.480000000447035
FS( 12 ),5107212.050000000745058,5296109.780000001192093,10403321.830000001937151
FS( 13 ),5103313.430000000633299,5278026.740000000223517,10381340.170000001788139
FS( 14 ),5099414.810000000521541,5265217.919999999925494,10364632.730000000447035
FS( 15 ),5115009.290000000037253,5268231.760000000707805,10383241.050000000745058
FS( 16 ),5113059.980000000447035,5171788.880000000819564,10284848.860000001266599
FS( 17 ),5091617.570000000298023,5171035.419999999925494,10262652.990000000223517
FS( 18 ),5048732.750000000000000,5103224.020000000484288,10151956.769999999552965
FS( 19 ),4898635.880000000819564,5079866.760000000707805,9978502.640000000596046
FS( 20 ),4978557.590000000782311,5073085.620000000111759,10051643.210000000894070
FS( 21 ),4906433.120000001043081,5007534.599999999627471,9913967.720000000670552
FS( 22 ),4884990.709999999962747,4963080.460000000894070,9848071.170000001788139
FS( 23 ),4877193.470000000670552,5026371.099999999627471,9903564.570000000298023
FS( 24 ),4879142.780000001192093,4983423.880000000819564,9862566.660000002011657
FS( 25 ),4916179.669999999925494,4981163.500000000000000,9897343.169999999925494
FS( 26 ),5017543.790000000037253,5071578.700000000186265,10089122.490000000223517
FS( 27 ),5109161.360000000335276,5200420.360000000335276,10309581.720000000670552
FS( 28 ),5107212.050000000745058,5215489.560000000521541,10322701.610000001266599
FS( 29 ),5113059.980000000447035,5269738.680000000633299,10382798.660000000149012
FS( 30 ),5138401.010000000707805,5337550.080000001005828,10475951.090000001713634
FS( 31 ),5148147.560000000521541,5342070.840000000782311,10490218.400000002235174
