代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11178066.029999999329448
真實報酬,1178066.029999999329448

夏普值報酬,0.109106603000000
夏普值風險,0.044487335566840
夏普值,2.452531751110891

二次趨勢線,33.623861966089905 x^2 + 7089.486199809039135 x + 10000000.000000000000000
二次平均預期報酬,11326.092807536368127
風險,143485.686184407066321
二次平均趨勢值,0.078935349641637
一次趨勢線,10254.281972513750588 x + 10000000.000000000000000
一次預期報酬,10254.281972513750588
一次風險,155265.716659140103729
一次趨勢值,0.066043439550956
找到最佳解世代,2594
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](4),WMT[28](1),XOM[29](5),
Stock#,MCD[15](4),WMT[28](1),XOM[29](5),
張數,29124,56506,40705,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,91.199999999720603,44.060000000055879,0.549999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3312072.479999999515712,3297169.160000000149012,3238083.299999999813735,9847325.939999999478459
FS( 3 ),3302461.559999999590218,3336158.299999999813735,3191679.599999999627471,9830300.459999999031425
FS( 4 ),3384300.000000000000000,3371192.020000000018626,3209996.849999999627471,9965489.869999999180436
FS( 5 ),3390707.279999999795109,3418657.060000000055879,3126144.549999999813735,9935509.890000000596046
FS( 6 ),3393910.919999999925494,3368366.720000000204891,3037814.699999999720603,9800093.339999999850988
FS( 7 ),3395367.119999999646097,3341243.840000000316650,3078519.699999999720603,9815131.660000000149012
FS( 8 ),3413424.000000000000000,3365541.420000000391155,3080961.999999999534339,9859928.419999999925494
FS( 9 ),3380805.119999999646097,3354240.220000000204891,3026010.250000000000000,9761056.589999999850988
FS( 10 ),3386047.439999999944121,3412441.399999999906868,3094801.699999999720603,9893291.539999999105930
FS( 11 ),3405560.520000000018626,3370061.899999999906868,3233198.700000000186265,10008822.120000001043081
FS( 12 ),3432063.359999999869615,3407355.859999999869615,3221801.299999999813735,10061221.519999999552965
FS( 13 ),3422161.199999999720603,3332767.939999999944121,3173362.349999999627471,9928292.489999998360872
FS( 14 ),3397697.039999999571592,3325422.160000000149012,3145682.949999999720603,9868803.149999998509884
FS( 15 ),3427694.759999999776483,3364976.359999999869615,3144868.850000000093132,9937540.969999998807907
FS( 16 ),3428568.479999999515712,3420917.299999999813735,3160743.799999999813735,10010230.579999998211861
FS( 17 ),3460022.399999999441206,3451995.600000000093132,3264134.499999999534339,10176153.500000000000000
FS( 18 ),3453323.879999999422580,3437304.040000000037253,3229128.199999999720603,10119757.119999999180436
FS( 19 ),3458566.199999999720603,3432783.560000000055879,3205112.249999999534339,10096463.009999999776483
FS( 20 ),3497009.879999999422580,3481378.720000000204891,3222208.349999999627471,10200597.949999999254942
FS( 21 ),3478370.520000000018626,3485334.140000000130385,3179468.099999999627471,10143173.759999999776483
FS( 22 ),3440800.559999999590218,3463861.859999999869615,3172955.299999999813735,10077618.719999998807907
FS( 23 ),3424491.119999999646097,3472902.820000000298023,3153009.849999999627471,10050404.789999999105930
FS( 24 ),3471672.000000000000000,3555401.580000000074506,3179875.149999999906868,10206949.730000000447035
FS( 25 ),3448372.799999999813735,3591000.359999999869615,3153416.899999999906868,10192791.060000000521541
FS( 26 ),3368573.039999999571592,3674629.240000000223517,3102942.700000000186265,10146145.980000000447035
FS( 27 ),3363330.719999999739230,3590435.299999999813735,3040256.999999999534339,9994024.019999999552965
FS( 28 ),3398570.759999999776483,3628859.379999999888241,2999551.999999999534339,10026983.139999998733401
FS( 29 ),3420413.759999999776483,3594955.779999999795109,3061016.549999999813735,10076387.089999999850988
FS( 30 ),3352846.080000000074506,3498895.580000000074506,3079333.799999999813735,9931076.460000000894070
FS( 31 ),3396532.080000000074506,3563312.420000000391155,3220580.149999999906868,10180425.650000000372529
FS( 32 ),3354593.520000000018626,3499460.640000000130385,3157894.449999999720603,10011949.609999999403954
FS( 33 ),3422161.199999999720603,3535059.420000000391155,3109862.549999999813735,10067084.169999999925494
FS( 34 ),3372067.919999999925494,3437869.100000000093132,2978792.450000000186265,9788730.469999998807907
FS( 35 ),3432063.359999999869615,3496635.340000000316650,3016241.049999999813735,9944940.750000000000000
FS( 36 ),3448372.799999999813735,3542405.199999999720603,3116782.399999999441206,10107561.399999998509884
FS( 37 ),3471672.000000000000000,3585349.760000000242144,3011356.450000000186265,10068379.210000000894070
FS( 38 ),3507494.520000000018626,3616428.060000000055879,3122074.049999999813735,10245997.629999998956919
FS( 39 ),3520309.080000000074506,3613602.760000000242144,3064680.000000000000000,10198592.839999999850988
FS( 40 ),3564286.319999999366701,3628859.379999999888241,3133878.499999999534339,10327025.199999999254942
FS( 41 ),3605059.919999999925494,3749782.220000000204891,3168884.799999999813735,10523727.940000001341105
FS( 42 ),3629232.839999999850988,3814199.060000000055879,3105385.000000000000000,10548817.900000000372529
FS( 43 ),3610011.000000000000000,3778035.220000000204891,3036186.500000000000000,10424233.720000000670552
FS( 44 ),3537783.479999999515712,3744696.679999999701977,3194528.950000000186265,10477010.109999999403954
FS( 45 ),3514193.039999999571592,3753172.580000000074506,3249480.699999999720603,10516847.319999998435378
FS( 46 ),3361000.799999999813735,3785946.060000000055879,3259656.949999999720603,10406604.809999998658895
FS( 47 ),3379931.399999999441206,3780295.460000000428408,3303618.349999999627471,10463846.209999999031425
FS( 48 ),3407890.439999999944121,3718703.920000000391155,3259656.949999999720603,10386252.310000000521541
FS( 49 ),3423326.159999999683350,3717573.800000000279397,3229942.299999999813735,10370843.259999999776483
FS( 50 ),3399735.719999999739230,3691015.979999999515712,3240118.549999999813735,10330871.250000000000000
FS( 51 ),3434684.520000000018626,3739611.140000000596046,3298326.699999999720603,10472623.359999999403954
FS( 52 ),3471089.520000000018626,3723789.460000000428408,3306060.649999999906868,10500940.630000000819564
FS( 53 ),3455362.559999999590218,3735655.720000000204891,3337810.549999999813735,10528829.829999998211861
FS( 54 ),3412550.279999999795109,3623208.780000000260770,3356127.799999999813735,10391887.859999999403954
FS( 55 ),3393910.919999999925494,3653722.020000000018626,3358163.049999999813735,10405796.989999998360872
FS( 56 ),3427112.279999999795109,3708532.839999999850988,3353685.500000000000000,10489331.619999999180436
FS( 57 ),3404686.799999999813735,3756562.940000000409782,3306467.700000000186265,10467718.440000001341105
FS( 58 ),3409346.639999999664724,3792726.780000000260770,3318272.149999999441206,10520346.570000000298023
FS( 59 ),3447499.080000000074506,3844712.300000000279397,3338217.600000000093132,10630429.980000000447035
FS( 60 ),3409346.639999999664724,3758258.120000000577420,3327634.299999999813735,10495240.059999998658895
FS( 61 ),3413132.759999999776483,3748652.100000000093132,3262506.299999999813735,10424292.160000000149012
FS( 62 ),3461478.599999999627471,3755432.819999999832362,3308502.949999999720603,10525415.369999999180436
FS( 63 ),3450702.719999999739230,3741306.319999999832362,3366304.049999999813735,10558314.089999999850988
