代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12267814.200000001117587
真實報酬,2267814.200000001117587

夏普值報酬,0.218081420000000
夏普值風險,0.055953625587336
夏普值,3.897538679769808

二次趨勢線,-125.616892104282527 x^2 + 33069.351967466653150 x + 10000000.000000000000000
二次平均預期報酬,17241.623562327058607
風險,104816.059217290006927
二次平均趨勢值,0.164494102249963
一次趨勢線,21245.849672790744080 x + 10000000.000000000000000
一次預期報酬,21245.849672790744080
一次風險,245165.827401939313859
一次趨勢值,0.086659098855401
找到最佳解世代,2857
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
CVX[5](2),PFE[20](1),TRV[22](4),WBA[27](14),
Stock#,CVX[5](2),PFE[20](1),TRV[22](4),WBA[27](14),
張數,30229,149700,45545,70086,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.699999999720603,10.000000000000000,34.950000000186265,32.379999999888241,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2554412.199999999720603,2498503.000000000000000,2510019.900000000372529,2530837.839999999850988,10093772.939999999478459
FS( 3 ),2566201.509999999776483,2502994.000000000000000,2498633.650000000372529,2583402.339999999850988,10151231.500000000000000
FS( 4 ),2568015.250000000000000,2516467.000000000000000,2505920.850000000558794,2547658.479999999981374,10138061.580000000074506
FS( 5 ),2608824.399999999441206,2510479.000000000000000,2497722.750000000465661,2538547.299999999813735,10155573.449999999254942
FS( 6 ),2603987.759999999776483,2502994.000000000000000,2507742.650000000372529,2556068.799999999813735,10170793.210000000894070
FS( 7 ),2619404.549999999813735,2508982.000000000465661,2488158.300000000279397,2549060.199999999720603,10165605.050000000745058
FS( 8 ),2630891.569999999832362,2547904.000000000000000,2494990.050000000279397,2553265.359999999869615,10227050.980000000447035
FS( 9 ),2671398.429999999701977,2573353.000000000000000,2518218.000000000000000,2553966.219999999739230,10316935.649999998509884
FS( 10 ),2671700.719999999739230,2561377.000000000000000,2520495.250000000465661,2575692.879999999888241,10329265.850000001490116
FS( 11 ),2660515.989999999757856,2556885.999999999534339,2511841.700000000186265,2602325.560000000055879,10331569.250000000000000
FS( 12 ),2692256.439999999944121,2577844.000000000000000,2521406.150000000372529,2643676.299999999813735,10435182.890000000596046
FS( 13 ),2675025.909999999683350,2549401.000000000000000,2513208.050000000279397,2633864.259999999776483,10371499.220000000670552
FS( 14 ),2684396.899999999441206,2570359.000000000465661,2525505.200000000186265,2612838.459999999962747,10393099.560000000521541
FS( 15 ),2697395.369999999646097,2601796.000000000000000,2544634.100000000093132,2581299.759999999776483,10425125.229999998584390
FS( 16 ),2718253.379999999888241,2628742.000000000000000,2543723.200000000186265,2722873.479999999981374,10613592.060000000521541
FS( 17 ),2741227.419999999925494,2636227.000000000000000,2526871.549999999813735,2746702.719999999739230,10651028.689999999478459
FS( 18 ),2724299.179999999701977,2618262.999999999534339,2540990.500000000000000,2730582.939999999944121,10614135.619999999180436
FS( 19 ),2756644.209999999497086,2633233.000000000000000,2535069.649999999906868,2766326.799999999813735,10691273.660000000149012
FS( 20 ),2762085.429999999701977,2634730.000000000000000,2531881.500000000465661,2767027.659999999683350,10695724.589999999850988
FS( 21 ),2769038.099999999627471,2618262.999999999534339,2529604.250000000000000,2750207.020000000018626,10667112.369999999180436
FS( 22 ),2758457.949999999720603,2621257.000000000465661,2537346.900000000372529,2730582.939999999944121,10647644.790000000968575
FS( 23 ),2779315.959999999497086,2646706.000000000000000,2542356.850000000093132,2755813.899999999906868,10724192.709999999031425
FS( 24 ),2769038.099999999627471,2693112.999999999534339,2530970.600000000093132,2778942.279999999795109,10772063.979999998584390
FS( 25 ),2764201.459999999497086,2711077.000000000000000,2515940.750000000465661,2817489.580000000074506,10808708.789999999105930
FS( 26 ),2741529.709999999497086,2721556.000000000000000,2477227.500000000000000,2825899.899999999906868,10766213.109999999403954
FS( 27 ),2756644.209999999497086,2745508.000000000000000,2428949.800000000279397,2809079.259999999776483,10740181.269999999552965
