代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11379067.360000001266599
真實報酬,1379067.360000001266599

夏普值報酬,0.129206736000000
夏普值風險,0.051138268028159
夏普值,2.526615409204971

二次趨勢線,-89.603314022856253 x^2 + 23977.350334257356735 x + 10000000.000000000000000
二次平均預期報酬,12597.729453354611906
風險,243367.132237817510031
二次平均趨勢值,0.051764300863126
一次趨勢線,15476.368727575070807 x + 10000000.000000000000000
一次預期報酬,15476.368727575070807
一次風險,291591.189622201491147
一次趨勢值,0.053075570450626
找到最佳解世代,2382
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),MRK[17](1),
Stock#,MCD[15](2),MRK[17](1),
張數,31863,76347,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,58.040000000037253,34.970000000670552,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4951886.870000000111759,4979386.310000000521541,9931273.179999999701977
FS( 3 ),4977377.270000000484288,5033592.680000001564622,10010969.950000002980232
FS( 4 ),4993627.400000000372529,5055733.310000000521541,10049360.710000000894070
FS( 5 ),4971960.559999999590218,5083218.230000000447035,10055178.789999999105930
FS( 6 ),5063726.000000000000000,5091616.400000000372529,10155342.400000000372529
FS( 7 ),5075833.940000000409782,5038936.970000000670552,10114770.910000000149012
FS( 8 ),5056078.879999999888241,5044281.259999999776483,10100360.140000000596046
FS( 9 ),5038872.859999999403954,5093906.810000000521541,10132779.669999999925494
FS( 10 ),5117255.839999999850988,5074056.589999999850988,10191312.429999999701977
FS( 11 ),5094314.479999999515712,5143532.360000001266599,10237846.839999999850988
FS( 12 ),5153261.029999999329448,5256525.919999999925494,10409786.949999999254942
FS( 13 ),5134780.490000000223517,5272558.790000000968575,10407339.280000001192093
FS( 14 ),5151667.879999999888241,5357303.960000000894070,10508971.839999999850988
FS( 15 ),5131275.559999999590218,5280956.960000000894070,10412232.519999999552965
FS( 16 ),5115662.690000000409782,5271031.850000001490116,10386694.540000002831221
FS( 17 ),5067868.190000000409782,5265687.560000000521541,10333555.750000000000000
FS( 18 ),5078382.979999999515712,5271031.850000001490116,10349414.830000001937151
FS( 19 ),5113432.279999999329448,5267214.500000000000000,10380646.779999999329448
FS( 20 ),5150393.359999999403954,5239729.580000000074506,10390122.939999999478459
FS( 21 ),5197231.970000000670552,5253472.040000000968575,10450704.010000001639128
FS( 22 ),5187354.440000000409782,5232858.350000001490116,10420212.790000002831221
FS( 23 ),5169192.529999999329448,5236675.700000001117587,10405868.230000000447035
FS( 24 ),5152942.400000000372529,5187813.620000001043081,10340756.020000001415610
FS( 25 ),5201374.160000000149012,5238966.110000001266599,10440340.270000001415610
FS( 26 ),5217305.660000000149012,5296989.830000000074506,10514295.490000000223517
FS( 27 ),5222403.740000000223517,5319130.460000000894070,10541534.200000001117587
FS( 28 ),5259683.450000000186265,5310732.290000000968575,10570415.740000002086163
FS( 29 ),5245345.100000000558794,5274085.730000000447035,10519430.830000001937151
FS( 30 ),5249168.660000000149012,5333636.390000000596046,10582805.050000000745058
FS( 31 ),5174609.240000000223517,5407692.980000000447035,10582302.220000000670552
