代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11476061.890000000596046
真實報酬,1476061.890000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20243.525045427857549
風險,125492.338388813572237
起點值,0.161312836347883
找到最佳解世代,2062
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](8),NKE[19](1),UNH[23](6),
Stock#,KO[14](8),NKE[19](1),UNH[23](6),
張數,84839,86828,40904,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.689999999944121,6.080000000074506,66.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3342665.290000000037253,3349830.319999999832362,3365238.119999999646097,10057734.729999998584390
FS( 3 ),3324000.709999999962747,3339410.959999999962747,3312881.000000000000000,9976293.669999999925494
FS( 4 ),3386781.570000000298023,3348962.040000000037253,3333742.040000000037253,10069486.650000000372529
FS( 5 ),3338423.339999999850988,3314230.840000000316650,3242117.080000000074506,9894772.259999999776483
FS( 6 ),3346907.240000000223517,3345488.920000000391155,3277294.520000000018626,9969691.679999999701977
FS( 7 ),3357087.919999999925494,3345488.920000000391155,3267068.520000000018626,9969646.359999999403954
FS( 8 ),3366420.209999999962747,3331596.439999999944121,3281384.919999999925494,9979402.570000000298023
FS( 9 ),3388478.349999999627471,3354171.720000000204891,3334151.080000000074506,10076802.150000000372529
FS( 10 ),3408839.709999999962747,3355908.279999999795109,3346831.319999999832362,10111580.310000000521541
FS( 11 ),3468227.010000000242144,3348962.040000000037253,3332514.919999999925494,10149704.970000000670552
FS( 12 ),3508101.339999999850988,3410609.920000000391155,3368101.400000000372529,10286813.660000000149012
FS( 13 ),3500465.829999999608845,3408873.359999999869615,3414322.919999999925494,10323663.109999999403954
FS( 14 ),3499617.439999999944121,3426238.959999999962747,3412686.760000000242144,10338544.160000000149012
FS( 15 ),3513191.679999999701977,3427107.239999999757856,3426594.119999999646097,10366894.039999999105930
FS( 16 ),3488588.369999999646097,3442736.279999999795109,3427003.160000000149012,10358328.809999998658895
FS( 17 ),3513191.679999999701977,3473994.359999999869615,3445819.000000000000000,10433006.039999999105930
FS( 18 ),3529311.089999999850988,3450550.800000000279397,3481814.520000000018626,10461677.410000000149012
FS( 19 ),3529311.089999999850988,3460970.160000000149012,3533353.560000000055879,10523635.810000000521541
FS( 20 ),3531856.260000000242144,3421897.559999999590218,3531717.400000000372529,10485472.220000000670552
FS( 21 ),3539491.770000000018626,3410609.920000000391155,3545624.760000000242144,10495727.450000001117587
FS( 22 ),3532704.649999999906868,3441868.000000000000000,3533762.600000000093132,10508336.250000000000000
FS( 23 ),3544582.109999999869615,3421897.559999999590218,3550124.200000000186265,10516604.870000001043081
FS( 24 ),3552217.619999999646097,3469652.959999999962747,3561168.280000000260770,10583039.859999999403954
FS( 25 ),3549672.450000000186265,3561690.640000000130385,3589392.040000000037253,10700756.129999998956919
FS( 26 ),3544582.109999999869615,3577319.680000000167638,3595936.679999999701977,10717839.469999998807907
FS( 27 ),3558156.349999999627471,3553007.840000000316650,3622524.280000000260770,10733689.469999998807907
FS( 28 ),3577669.320000000298023,3580792.800000000279397,3568940.040000000037253,10727403.160000000149012
FS( 29 ),3559004.740000000223517,3552139.559999999590218,3561986.359999999869615,10673131.660000000149012
FS( 30 ),3517433.629999999888241,3553007.840000000316650,3525172.760000000242144,10595615.230000000447035
FS( 31 ),3520827.189999999944121,3543456.760000000242144,3519037.160000000149012,10583322.109999999403954
FS( 32 ),3532704.649999999906868,3525222.880000000353903,3565258.679999999701977,10623187.210000000894070
FS( 33 ),3530159.479999999981374,3539115.359999999869615,3558305.000000000000000,10627580.839999999850988
FS( 34 ),3545430.500000000000000,3559085.800000000279397,3584483.560000000055879,10689000.860000001266599
FS( 35 ),3567488.639999999664724,3552139.559999999590218,3591437.239999999757856,10711066.439999999478459
