代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11582583.530000001192093
真實報酬,1582583.530000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23304.629084414144018
風險,116495.221068413680769
起點值,0.200047940771134
找到最佳解世代,2243
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](1),PFE[20](2),
Stock#,AXP[1](1),PFE[20](2),
張數,115874,261233,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,36.900000000372529,0.379999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4984936.380000000819564,5013061.650000000372529,9997998.030000001192093
FS( 3 ),5133255.099999999627471,5164576.790000000037253,10297831.890000000596046
FS( 4 ),5066048.180000000633299,5135841.160000000149012,10201889.339999999850988
FS( 5 ),5064889.440000000409782,5122779.509999999776483,10187668.949999999254942
FS( 6 ),5242176.660000000149012,5141065.819999999366701,10383242.480000000447035
FS( 7 ),5220160.599999999627471,5135841.160000000149012,10356001.759999999776483
FS( 8 ),5100810.380000000819564,5057471.259999999776483,10158281.640000000596046
FS( 9 ),5130937.620000000111759,5086206.889999999664724,10217144.509999999776483
FS( 10 ),5088064.240000000223517,5175026.109999999403954,10263090.349999999627471
FS( 11 ),5056778.260000000707805,5161964.459999999962747,10218742.720000000670552
FS( 12 ),4908459.540000000037253,5041797.280000000260770,9950256.820000000298023
FS( 13 ),5031285.980000000447035,5193312.419999999925494,10224598.400000000372529
FS( 14 ),5118191.480000000447035,5271682.319999999366701,10389873.800000000745058
FS( 15 ),5135572.580000000074506,5219435.719999999739230,10355008.300000000745058
FS( 16 ),5185398.400000000372529,5208986.400000000372529,10394384.800000000745058
FS( 17 ),5216684.380000000819564,5203761.740000000223517,10420446.120000001043081
FS( 18 ),5282732.560000000521541,5303030.280000000260770,10585762.839999999850988
FS( 19 ),5282732.560000000521541,5316091.930000000633299,10598824.490000002086163
FS( 20 ),5297796.180000000633299,5295193.290000000037253,10592989.470000000670552
FS( 21 ),5289685.000000000000000,5323928.919999999925494,10613613.919999999925494
FS( 22 ),5319812.240000000223517,5313479.599999999627471,10633291.839999999850988
FS( 23 ),5237541.700000001117587,5305642.609999999403954,10543184.310000000521541
FS( 24 ),5256081.540000000037253,5323928.919999999925494,10580010.460000000894070
FS( 25 ),5263033.980000000447035,5365726.199999999254942,10628760.179999999701977
FS( 26 ),5263033.980000000447035,5342215.229999999515712,10605249.210000000894070
FS( 27 ),5362685.620000000111759,5300417.949999999254942,10663103.570000000298023
FS( 28 ),5348780.740000000223517,5310867.269999999552965,10659648.009999999776483
FS( 29 ),5362685.620000000111759,5344827.560000000521541,10707513.179999999701977
FS( 30 ),5374273.020000000484288,5399686.490000000223517,10773959.510000001639128
FS( 31 ),5332558.380000000819564,5344827.560000000521541,10677385.940000001341105
FS( 32 ),5341828.300000000745058,5344827.560000000521541,10686655.860000001266599
FS( 33 ),5316336.020000000484288,5352664.549999999813735,10669000.570000000298023
FS( 34 ),5359209.400000000372529,5363113.870000000111759,10722323.269999999552965
FS( 35 ),5337193.340000000782311,5329153.579999999143183,10666346.919999999925494
FS( 36 ),5404400.260000000707805,5363113.870000000111759,10767514.130000000819564
FS( 37 ),5446114.900000000372529,5326541.250000000000000,10772656.150000000372529
FS( 38 ),5458861.040000000037253,5169801.449999999254942,10628662.489999998360872
FS( 39 ),5451908.599999999627471,5261233.000000000000000,10713141.599999999627471
FS( 40 ),5457702.300000000745058,5274294.650000000372529,10731996.950000001117587
FS( 41 ),5517956.780000000260770,5389237.169999999925494,10907193.949999999254942
FS( 42 ),5622243.380000000819564,5441483.769999999552965,11063727.150000000372529
FS( 43 ),5687132.820000000298023,5478056.389999999664724,11165189.210000000894070
FS( 44 ),5753181.000000000000000,5491118.040000000037253,11244299.039999999105930
FS( 45 ),5782149.500000000000000,5339602.900000000372529,11121752.400000000372529
FS( 46 ),5758974.700000001117587,5391849.500000000000000,11150824.200000001117587
FS( 47 ),5738117.380000000819564,5326541.250000000000000,11064658.630000000819564
FS( 48 ),5816911.700000001117587,5368338.530000000260770,11185250.230000000447035
FS( 49 ),5815752.959999999962747,5381400.180000000633299,11197153.140000000596046
FS( 50 ),5813435.480000000447035,5449320.759999999776483,11262756.240000000223517
FS( 51 ),5774038.320000000298023,5384012.509999999776483,11158050.830000000074506
FS( 52 ),5740434.860000000335276,5457157.750000000000000,11197592.609999999403954
FS( 53 ),5734641.160000000149012,5464994.740000000223517,11199635.900000000372529
FS( 54 ),5801848.080000000074506,5480668.719999999739230,11282516.800000000745058
FS( 55 ),5881801.140000000596046,5522466.000000000000000,11404267.140000000596046
FS( 56 ),5916563.340000000782311,5532915.319999999366701,11449478.660000000149012
FS( 57 ),6004627.580000000074506,5493730.370000000111759,11498357.949999999254942
FS( 58 ),5931626.959999999962747,5404911.150000000372529,11336538.109999999403954
FS( 59 ),5923515.780000000260770,5378787.849999999627471,11302303.629999998956919
FS( 60 ),5858626.340000000782311,5360501.540000000037253,11219127.880000000819564
FS( 61 ),5841245.240000000223517,5428422.120000000111759,11269667.359999999403954
FS( 62 ),5872531.220000000670552,5459770.079999999143183,11332301.300000000745058
FS( 63 ),5924674.520000000484288,5467607.069999999366701,11392281.589999999850988
FS( 64 ),5979135.300000000745058,5603448.229999999515712,11582583.530000001192093
