代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10988888.470000000670552
真實報酬,988888.470000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16693.243503466019320
風險,108474.082774546564906
起點值,0.153891538665152
找到最佳解世代,2011
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](3),MCD[15](1),
Stock#,KO[14](3),MCD[15](1),
張數,100040,25153,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.800000000745058,86.660000000149012,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5002000.800000000745058,5021380.049999999813735,10023380.850000001490116
FS( 3 ),5080032.000000000931323,5033956.549999999813735,10113988.550000000745058
FS( 4 ),5142056.800000000745058,5107403.310000000521541,10249460.110000001266599
FS( 5 ),5151060.400000001303852,5168525.099999999627471,10319585.500000000000000
FS( 6 ),5140056.000000000931323,5063385.560000000521541,10203441.560000002384186
FS( 7 ),5135054.000000000931323,5112685.439999999478459,10247739.440000001341105
FS( 8 ),5166066.400000000372529,5154690.950000000186265,10320757.350000001490116
FS( 9 ),5115046.000000000931323,5143623.630000000819564,10258669.630000002682209
FS( 10 ),5133053.200000001117587,5163746.030000000260770,10296799.230000000447035
FS( 11 ),5089035.600000000558794,5126519.589999999850988,10215555.190000001341105
FS( 12 ),5066026.400000000372529,5144126.689999999478459,10210153.089999999850988
FS( 13 ),5114045.600000000558794,5145132.810000000521541,10259178.410000000149012
FS( 14 ),5168067.200000000186265,5159470.020000000484288,10327537.220000000670552
FS( 15 ),5157062.800000000745058,5137838.439999999478459,10294901.240000000223517
FS( 16 ),5194077.600000000558794,5129286.419999999925494,10323364.019999999552965
FS( 17 ),5178071.200000000186265,5174310.290000000037253,10352381.490000000223517
FS( 18 ),5114045.600000000558794,5145132.810000000521541,10259178.410000000149012
FS( 19 ),5110044.000000000931323,5188395.970000000670552,10298439.970000002533197
FS( 20 ),5094037.600000000558794,5223358.639999999664724,10317396.240000000223517
FS( 21 ),5162064.800000000745058,5189150.560000000521541,10351215.360000001266599
FS( 22 ),5200080.000000000000000,5271652.400000000372529,10471732.400000000372529
FS( 23 ),5212084.800000000745058,5352896.589999999850988,10564981.390000000596046
FS( 24 ),5213085.200000001117587,5313406.380000000819564,10526491.580000001937151
FS( 25 ),5202080.800000000745058,5336547.139999999664724,10538627.940000001341105
FS( 26 ),5161064.400000001303852,5334786.430000000633299,10495850.830000001937151
FS( 27 ),5184073.600000000558794,5357675.660000000149012,10541749.260000001639128
FS( 28 ),5206082.400000000372529,5349878.230000000447035,10555960.630000000819564
FS( 29 ),5214085.600000000558794,5357424.130000000819564,10571509.730000000447035
FS( 30 ),5215086.000000000931323,5388110.790000000037253,10603196.790000000968575
FS( 31 ),5216086.400000000372529,5375785.820000000298023,10591872.220000000670552
FS( 32 ),5220088.000000000931323,5375534.290000000037253,10595622.290000000968575
FS( 33 ),5205082.000000000931323,5430870.889999999664724,10635952.890000000596046
FS( 34 ),5141056.400000000372529,5379558.770000000484288,10520615.170000001788139
FS( 35 ),5124049.600000000558794,5407981.660000000149012,10532031.260000001639128
FS( 36 ),5435174.000000000931323,5390626.089999999850988,10825800.089999999850988
FS( 37 ),5380152.000000000931323,5352142.000000000000000,10732294.000000000000000
FS( 38 ),5309123.600000000558794,5393895.980000000447035,10703019.580000001937151
FS( 39 ),5419167.600000000558794,5422570.400000000372529,10841738.000000000000000
FS( 40 ),5401160.400000001303852,5407478.599999999627471,10808639.000000000000000
FS( 41 ),5374149.600000000558794,5341074.680000000633299,10715224.280000001192093
FS( 42 ),5265106.000000000931323,5300326.820000000298023,10565432.820000000298023
FS( 43 ),5205082.000000000931323,5313657.910000000149012,10518739.910000000149012
FS( 44 ),5235094.000000000931323,5394902.099999999627471,10629996.100000001490116
FS( 45 ),5167066.800000000745058,5293535.509999999776483,10460602.310000000521541
FS( 46 ),5229091.600000001490116,5384840.900000000372529,10613932.500000001862645
FS( 47 ),5320128.000000000931323,5454011.650000000372529,10774139.650000002235174
FS( 48 ),5371148.400000000372529,5483692.189999999478459,10854840.589999999850988
FS( 49 ),5344137.600000000558794,5562672.610000000335276,10906810.210000000894070
FS( 50 ),5322128.800000000745058,5462312.139999999664724,10784440.940000001341105
FS( 51 ),5352140.800000000745058,5526955.349999999627471,10879096.150000000372529
FS( 52 ),5301120.400000001303852,5445208.099999999627471,10746328.500000000000000
FS( 53 ),5389155.600000000558794,5490231.970000000670552,10879387.570000000298023
FS( 54 ),5443177.200000000186265,5495262.570000000298023,10938439.769999999552965
FS( 55 ),5471188.400000000372529,5503060.000000000000000,10974248.400000000372529
FS( 56 ),5390156.000000000931323,5495262.570000000298023,10885418.570000000298023
FS( 57 ),5412164.800000000745058,5551605.290000000037253,10963770.089999999850988
FS( 58 ),5451180.400000001303852,5520918.630000000819564,10972099.030000001192093
FS( 59 ),5376150.400000001303852,5399429.639999999664724,10775580.040000000968575
FS( 60 ),5456182.400000000372529,5456023.889999999664724,10912206.289999999105930
FS( 61 ),5474189.600000000558794,5434392.310000000521541,10908581.910000000149012
FS( 62 ),5513205.200000001117587,5485201.370000000111759,10998406.570000000298023
FS( 63 ),5507202.800000000745058,5547329.280000000260770,11054532.080000001937151
FS( 64 ),5506202.400000000372529,5482686.070000000298023,10988888.470000000670552
