代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11351421.049999998882413
真實報酬,1351421.049999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23693.094056875710521
風險,69475.235429657957866
起點值,0.341029345353776
找到最佳解世代,1271
找到最佳解實驗#,2
找到最佳解次數,16

stock[index](rank)
投資組合檔數,6
DD[7](5),MCD[15](27),MMM[16](1),PFE[20](19),UTX[24](2),XOM[29](6),
Stock#,DD[7](5),MCD[15](27),MMM[16](1),PFE[20](19),UTX[24](2),XOM[29](6),
張數,27484,13375,11205,55242,19034,21846,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,36.239999999990687,7.250000000000000,146.350000000093132,14.859999999869615,48.959999999962747,34.659999999916181,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1762585.159999999916181,1657838.500000000000000,1657029.700000000186265,1665008.739999999990687,1625933.239999999990687,1629527.800000000046566,9997927.140000000596046
FS( 3 ),1829371.280000000027940,1624668.500000000000000,1709132.950000000186265,1639045.000000000000000,1636211.599999999860302,1714508.739999999990687,10152942.070000000298023
FS( 4 ),1854931.399999999906868,1613834.750000000000000,1719441.550000000046566,1602032.859999999869615,1677325.040000000037253,1744000.839999999850988,10211570.440000001341105
FS( 5 ),1827447.399999999906868,1543482.250000000000000,1719777.700000000186265,1603690.119999999878928,1671995.520000000018626,1749462.339999999850988,10115859.330000000074506
FS( 6 ),1809582.800000000046566,1552176.000000000000000,1724595.850000000093132,1577726.379999999888241,1651819.479999999981374,1773056.019999999785796,10088960.529999999329448
FS( 7 ),1823874.479999999981374,1565016.000000000000000,1734008.050000000279397,1607557.060000000055879,1660575.119999999878928,1749462.339999999850988,10140497.049999998882413
FS( 8 ),1806834.399999999906868,1572104.750000000000000,1708348.599999999860302,1629101.439999999711290,1655245.599999999860302,1733514.759999999776483,10105153.549999998882413
FS( 9 ),1753515.439999999944121,1561271.000000000000000,1688403.699999999953434,1609214.319999999832362,1611467.399999999906868,1738976.259999999776483,9962852.119999999180436
FS( 10 ),1800787.919999999925494,1577321.000000000000000,1725268.150000000139698,1621919.979999999748543,1636021.260000000009313,1770216.040000000037253,10131538.349999999627471
FS( 11 ),1832944.199999999953434,1594039.750000000000000,1742860.000000000000000,1646778.879999999888241,1646109.280000000027940,1774366.779999999795109,10237102.889999998733401
