代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10539632.379999998956919
真實報酬,539632.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9277.228931149216805
風險,110174.171072066354100
起點值,0.084205116688201
找到最佳解世代,1715
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](1),UNH[23](6),
Stock#,IBM[10](1),UNH[23](6),
張數,31156,43706,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,85.120000000111759,33.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5017135.799999999813735,4932692.759999999776483,9949828.559999998658895
FS( 3 ),4966974.639999999664724,4974650.519999999552965,9941625.160000000149012
FS( 4 ),5021809.200000000186265,5017045.339999999850988,10038854.539999999105930
FS( 5 ),4938311.120000000111759,4933566.879999999888241,9871878.000000000000000
FS( 6 ),5009035.240000000223517,5021853.000000000000000,10030888.240000000223517
FS( 7 ),4916813.480000000447035,4915210.359999999403954,9832023.839999999850988
FS( 8 ),4885345.920000000856817,4926573.919999999925494,9811919.839999999850988
FS( 9 ),4922110.000000000000000,5020978.879999999888241,9943088.879999998956919
FS( 10 ),4806832.799999999813735,5037150.099999999627471,9843982.899999998509884
FS( 11 ),4894069.600000000558794,5180068.719999999739230,10074138.320000000298023
FS( 12 ),4890330.880000000819564,5139859.199999999254942,10030190.080000000074506
FS( 13 ),4979125.480000000447035,5243005.359999999403954,10222130.839999999850988
FS( 14 ),4979125.480000000447035,5277970.160000000149012,10257095.640000000596046
FS( 15 ),5074774.400000000372529,5207166.439999999478459,10281940.839999999850988
FS( 16 ),5129297.400000000372529,5202795.839999999850988,10332093.240000000223517
FS( 17 ),5078513.120000000111759,5162586.319999999366701,10241099.439999999478459
FS( 18 ),4960120.319999999366701,5093530.839999999850988,10053651.160000000149012
FS( 19 ),5003427.160000000149012,5080856.099999999627471,10084283.259999999776483
FS( 20 ),4997507.520000000484288,5157778.660000000149012,10155286.179999999701977
FS( 21 ),5068231.639999999664724,5288459.599999999627471,10356691.239999998360872
FS( 22 ),5000623.120000000111759,5170016.339999999850988,10170639.460000000894070
FS( 23 ),4959497.200000000186265,5133303.299999999813735,10092800.500000000000000
FS( 24 ),4999065.319999999366701,5129369.759999999776483,10128435.079999998211861
FS( 25 ),5048603.359999999403954,5144229.799999999813735,10192833.160000000149012
FS( 26 ),5049538.040000000037253,5128932.699999999254942,10178470.739999998360872
FS( 27 ),5042683.719999999739230,5165645.739999999292195,10208329.459999999031425
FS( 28 ),5057950.160000000149012,5181379.899999999441206,10239330.059999998658895
FS( 29 ),5074151.280000000260770,5201047.599999999627471,10275198.879999998956919
FS( 30 ),5059196.400000000372529,5217218.819999999366701,10276415.219999998807907
FS( 31 ),5056703.920000000856817,5241257.120000000111759,10297961.040000000968575
FS( 32 ),5113719.400000000372529,5127621.519999999552965,10241340.919999999925494
FS( 33 ),5082563.400000000372529,5314683.199999999254942,10397246.599999999627471
FS( 34 ),5005919.639999999664724,5188372.859999999403954,10194292.500000000000000
FS( 35 ),5176966.080000000074506,5182691.079999999143183,10359657.160000000149012
FS( 36 ),5117769.679999999701977,5213285.279999999329448,10331054.959999999031425
FS( 37 ),5152041.280000000260770,5149037.459999999962747,10301078.740000000223517
FS( 38 ),5304082.560000000521541,5168705.160000000149012,10472787.720000000670552
FS( 39 ),5289750.799999999813735,5187498.739999999292195,10477249.539999999105930
FS( 40 ),5319349.000000000000000,5080419.039999999105930,10399768.039999999105930
FS( 41 ),5418736.639999999664724,5139422.139999999664724,10558158.779999999329448
FS( 42 ),5433691.520000000484288,4965472.259999999776483,10399163.780000001192093
FS( 43 ),5336796.359999999403954,4868882.000000000000000,10205678.359999999403954
FS( 44 ),5410947.639999999664724,4947552.799999999813735,10358500.439999999478459
FS( 45 ),5420294.440000000409782,5006992.959999999962747,10427287.400000000372529
FS( 46 ),5392565.600000000558794,4954982.819999999366701,10347548.419999999925494
FS( 47 ),5298162.920000000856817,4960227.539999999105930,10258390.460000000894070
FS( 48 ),5327449.560000000521541,5015734.160000000149012,10343183.720000000670552
FS( 49 ),5380103.200000000186265,5055943.679999999701977,10436046.879999998956919
FS( 50 ),5331499.839999999850988,5016171.219999999739230,10347671.059999998658895
FS( 51 ),5313740.920000000856817,5010489.439999999478459,10324230.359999999403954
FS( 52 ),5367640.799999999813735,5063810.759999999776483,10431451.559999998658895
FS( 53 ),5422786.920000000856817,5180505.779999999329448,10603292.699999999254942
FS( 54 ),5398173.679999999701977,5215470.579999999143183,10613644.259999997913837
FS( 55 ),5391942.480000000447035,5236012.399999999441206,10627954.879999998956919
FS( 56 ),5405028.000000000000000,5268791.899999999441206,10673819.899999998509884
FS( 57 ),5413751.679999999701977,5298949.039999999105930,10712700.719999998807907
FS( 58 ),5400666.160000000149012,5264858.359999999403954,10665524.519999999552965
FS( 59 ),5365771.440000000409782,5226834.139999999664724,10592605.580000000074506
FS( 60 ),5300655.400000000372529,5167831.039999999105930,10468486.439999999478459
FS( 61 ),5358917.120000000111759,5220715.299999999813735,10579632.419999999925494
FS( 62 ),5349881.880000000819564,5228145.319999999366701,10578027.199999999254942
FS( 63 ),5285700.520000000484288,5253931.859999999403954,10539632.379999998956919
