代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11149583.379999998956919
真實報酬,1149583.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22206.979554654353706
風險,122278.999380032269983
起點值,0.181609104320825
找到最佳解世代,2013
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](5),CSCO[4](1),MMM[16](2),
Stock#,BA[2](5),CSCO[4](1),MMM[16](2),
張數,47087,190367,37348,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,44.269999999552965,6.829999999608845,24.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3298488.619999999646097,3302874.279999999795109,3322875.560000000055879,9924239.459999999031425
FS( 3 ),3315439.939999999478459,3312392.629999999422580,3346404.799999999813735,9974238.369999997317791
FS( 4 ),3391250.009999999310821,3327621.989999999757856,3393463.279999999795109,10112336.279999999329448
FS( 5 ),3301313.839999999385327,3276222.899999999906868,3338188.239999999757856,9915725.979999998584390
FS( 6 ),3342279.529999999795109,3203883.439999999478459,3307189.399999999906868,9853353.369999999180436
FS( 7 ),3449167.019999999552965,3201979.769999999552965,3316899.879999999888241,9968047.669999998062849
FS( 8 ),3469885.299999999348074,3209594.449999999720603,3330718.640000000130385,10010199.389999998733401
FS( 9 ),3454346.589999999385327,3207690.779999999795109,3326983.839999999850988,9989022.209999999031425
FS( 10 ),3356876.500000000000000,3361888.049999999813735,3260877.879999999888241,9979643.429999999701977
FS( 11 ),3345104.750000000000000,3415190.810000000055879,3287394.959999999962747,10047691.519999999552965
FS( 12 ),3332391.259999999310821,3424709.159999999217689,3305322.000000000000000,10062423.419999998062849
FS( 13 ),3388424.789999999105930,3483722.929999999701977,3345284.359999999869615,10217433.079999998211861
FS( 14 ),3415735.250000000000000,3491337.609999999403954,3324742.959999999962747,10231816.820000000298023
FS( 15 ),3444458.319999999832362,3517988.989999999757856,3321755.120000000111759,10284203.429999999701977
FS( 16 ),3472239.649999999441206,3586521.109999999403954,3371801.439999999944121,10430563.199999999254942
FS( 17 ),3497195.759999999310821,3628401.849999999161810,3364705.320000000298023,10490303.929999999701977
FS( 18 ),3507554.899999999441206,3609365.149999999906868,3372921.879999999888241,10489842.929999999701977
FS( 19 ),3488720.099999999627471,3584617.439999999478459,3396077.640000000130385,10469416.179999999701977
FS( 20 ),3490132.709999999962747,3618883.500000000000000,3385620.200000000186265,10494637.410000000149012
FS( 21 ),3497666.629999999422580,3599846.799999999813735,3396824.600000000093132,10494339.029999999329448
FS( 22 ),3485424.009999999310821,3622690.839999999850988,3372548.399999999906868,10480664.250000000000000
FS( 23 ),3486836.619999999646097,3649342.219999999739230,3365825.760000000242144,10502005.599999999627471
FS( 24 ),3478360.959999999962747,3656956.899999999906868,3389728.479999999981374,10525047.339999999850988
FS( 25 ),3483540.529999999795109,3708355.989999999757856,3396824.600000000093132,10588722.119999999180436
