代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12525222.699999999254942
真實報酬,2525222.699999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,38379.364138076467498
風險,235197.653528115653899
起點值,0.163179196570890
找到最佳解世代,2413
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,252270,
分配資金,10000000.000000000000000,
剩餘資金,17.199999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9941977.899999998509884,9941977.899999998509884
FS( 3 ),10080726.400000000372529,10080726.400000000372529
FS( 4 ),10348132.599999999627471,10348132.599999999627471
FS( 5 ),10393541.199999999254942,10393541.199999999254942
FS( 6 ),10322905.599999999627471,10322905.599999999627471
FS( 7 ),10403632.000000000000000,10403632.000000000000000
FS( 8 ),10320382.899999998509884,10320382.899999998509884
FS( 9 ),10322905.599999999627471,10322905.599999999627471
FS( 10 ),10295155.900000000372529,10295155.900000000372529
FS( 11 ),10242179.199999999254942,10242179.199999999254942
FS( 12 ),10282542.399999998509884,10282542.399999998509884
FS( 13 ),10340564.500000000000000,10340564.500000000000000
FS( 14 ),10320382.899999998509884,10320382.899999998509884
FS( 15 ),10179111.699999999254942,10179111.699999999254942
FS( 16 ),10105953.400000000372529,10105953.400000000372529
FS( 17 ),10196770.599999999627471,10196770.599999999627471
FS( 18 ),10060544.800000000745058,10060544.800000000745058
FS( 19 ),11289099.699999999254942,11289099.699999999254942
FS( 20 ),11241168.400000000372529,11241168.400000000372529
FS( 21 ),11251259.199999999254942,11251259.199999999254942
FS( 22 ),11062056.699999999254942,11062056.699999999254942
FS( 23 ),11263872.699999999254942,11263872.699999999254942
FS( 24 ),11390007.699999999254942,11390007.699999999254942
FS( 25 ),11253781.899999998509884,11253781.899999998509884
FS( 26 ),11109987.999999998137355,11109987.999999998137355
FS( 27 ),11205850.599999999627471,11205850.599999999627471
FS( 28 ),11004034.599999997764826,11004034.599999997764826
FS( 29 ),10998989.199999999254942,10998989.199999999254942
FS( 30 ),10771946.199999999254942,10771946.199999999254942
FS( 31 ),10734105.699999999254942,10734105.699999999254942
FS( 32 ),10744196.500000000000000,10744196.500000000000000
FS( 33 ),10978807.599999999627471,10978807.599999999627471
FS( 34 ),10996466.500000000000000,10996466.500000000000000
FS( 35 ),11213418.699999999254942,11213418.699999999254942
FS( 36 ),11432893.599999999627471,11432893.599999999627471
FS( 37 ),11334508.299999998882413,11334508.299999998882413
FS( 38 ),11400098.499999998137355,11400098.499999998137355
FS( 39 ),11465688.699999999254942,11465688.699999999254942
FS( 40 ),11559028.599999999627471,11559028.599999999627471
FS( 41 ),11662459.299999998882413,11662459.299999998882413
FS( 42 ),11599391.799999998882413,11599391.799999998882413
FS( 43 ),11730572.199999999254942,11730572.199999999254942
FS( 44 ),11728049.500000000000000,11728049.500000000000000
FS( 45 ),11788594.299999998882413,11788594.299999998882413
FS( 46 ),11851661.799999998882413,11851661.799999998882413
FS( 47 ),11942479.000000000000000,11942479.000000000000000
FS( 48 ),11932388.199999999254942,11932388.199999999254942
FS( 49 ),11828957.500000000000000,11828957.500000000000000
FS( 50 ),11977796.799999998882413,11977796.799999998882413
FS( 51 ),11967705.999999998137355,11967705.999999998137355
FS( 52 ),12086272.899999998509884,12086272.899999998509884
FS( 53 ),12124113.400000000372529,12124113.400000000372529
FS( 54 ),12045909.699999999254942,12045909.699999999254942
FS( 55 ),12116545.299999998882413,12116545.299999998882413
FS( 56 ),12169522.000000000000000,12169522.000000000000000
FS( 57 ),12230066.799999998882413,12230066.799999998882413
FS( 58 ),12272952.699999999254942,12272952.699999999254942
FS( 59 ),12288088.900000000372529,12288088.900000000372529
FS( 60 ),12356201.799999998882413,12356201.799999998882413
FS( 61 ),12272952.699999999254942,12272952.699999999254942
FS( 62 ),12336020.199999999254942,12336020.199999999254942
FS( 63 ),12525222.699999999254942,12525222.699999999254942
