代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11516446.620000001043081
真實報酬,1516446.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23070.913345371533069
風險,137726.325609520805301
起點值,0.167512733990899
找到最佳解世代,1882
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](2),MRK[17](6),V[25](3),
Stock#,CAT[3](1),DD[7](2),MRK[17](6),V[25](3),
張數,29673,43905,49820,48751,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.750000000000000,49.300000000279397,32.399999999906868,48.719999999739230,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488724.260000000242144,2420971.000000000465661,2479075.599999999627471,2459049.159999999683350,9847820.019999999552965
FS( 3 ),2491691.560000000055879,2431508.200000000186265,2456656.600000000093132,2471236.909999999683350,9851093.269999999552965
FS( 4 ),2504747.679999999701977,2413946.200000000186265,2431746.600000000093132,2458561.649999999906868,9809002.130000000819564
FS( 5 ),2537091.250000000000000,2455216.900000000372529,2460642.199999999720603,2460511.689999999478459,9913462.039999999105930
FS( 6 ),2554598.320000000298023,2550929.800000000279397,2469111.600000000093132,2457099.119999999646097,10031738.839999999850988
FS( 7 ),2564390.410000000149012,2612396.800000000279397,2462635.000000000000000,2430773.579999999608845,10070195.790000000968575
FS( 8 ),2530563.189999999944121,2566735.600000000093132,2438721.399999999906868,2506825.139999999664724,10042845.329999998211861
FS( 9 ),2539168.359999999869615,2548734.550000000279397,2407334.799999999813735,2479524.579999999608845,9974762.289999999105930
FS( 10 ),2553411.399999999906868,2596151.950000000186265,2410324.000000000000000,2527300.560000000055879,10087187.910000000149012
FS( 11 ),2592876.489999999757856,2600981.500000000465661,2395876.200000000186265,2532175.659999999683350,10121909.849999999627471
FS( 12 ),2579226.910000000149012,2638739.800000000279397,2386410.399999999906868,2598964.529999999795109,10203341.640000000596046
FS( 13 ),2616318.160000000149012,2720403.100000000093132,2436230.399999999906868,2624802.560000000055879,10397754.220000000670552
FS( 14 ),2597624.170000000391155,2744989.900000000372529,2430750.199999999720603,2633577.739999999757856,10406942.009999999776483
FS( 15 ),2638869.640000000130385,2737526.050000000279397,2457154.799999999813735,2632115.209999999962747,10465665.699999999254942
FS( 16 ),2669432.829999999608845,2743672.750000000465661,2459147.600000000093132,2657465.729999999515712,10529718.910000000149012
FS( 17 ),2697622.179999999701977,2777479.600000000093132,2461638.599999999627471,2665753.399999999906868,10602493.779999999329448
FS( 18 ),2704743.700000000186265,2804700.700000000186265,2477082.799999999813735,2683791.269999999552965,10670318.469999998807907
FS( 19 ),2696435.260000000242144,2788455.850000000093132,2480570.199999999720603,2677453.639999999664724,10642914.949999999254942
FS( 20 ),2696435.260000000242144,2788455.850000000093132,2488043.199999999720603,2692566.449999999720603,10665500.759999999776483
