代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10964276.679999999701977
真實報酬,964276.679999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16972.070576028632786
風險,118311.460550841744407
起點值,0.143452464342922
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CVX[5](1),INTC[11](2),MCD[15](5),MRK[17](3),NKE[19](8),
Stock#,CVX[5](1),INTC[11](2),MCD[15](5),MRK[17](3),NKE[19](8),
張數,17850,41806,12845,37243,30156,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,86.000000000000000,0.959999999962747,33.500000000232831,50.899999999906868,54.080000000307336,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1992860.000000000000000,2047658.839999999850988,1904561.650000000372529,2024580.379999999888241,1987032.920000000391155,9956693.790000000968575
FS( 3 ),2019813.500000000000000,2079849.459999999962747,1940013.850000000325963,2026070.099999999860302,1961701.880000000121072,10027448.790000000968575
FS( 4 ),2028738.500000000000000,2119983.220000000204891,1942197.500000000000000,2022345.799999999813735,1967431.520000000251457,10080696.540000000968575
FS( 5 ),2032130.000000000000000,2145484.879999999888241,1957354.600000000093132,2028677.109999999869615,1935164.600000000325963,10098811.189999999478459
FS( 6 ),2023383.500000000000000,2121237.399999999906868,1983815.300000000279397,2039477.579999999841675,1963511.240000000223517,10131425.019999999552965
FS( 7 ),2092463.000000000000000,2181856.100000000093132,2019781.300000000279397,2053629.919999999925494,1999396.880000000121072,10347127.200000001117587
FS( 8 ),2084787.500000000000000,2153846.080000000074506,2026203.800000000279397,2061823.379999999888241,2015078.000000000000000,10341738.760000001639128
FS( 9 ),2078897.000000000000000,2164715.640000000130385,2032369.400000000139698,2062195.809999999823049,1995476.600000000325963,10333654.450000001117587
FS( 10 ),2055156.500000000000000,2168060.120000000111759,2032626.300000000279397,2040967.299999999813735,1996381.280000000493601,10293191.500000000000000
FS( 11 ),2063189.000000000000000,2127090.240000000223517,2075913.950000000419095,2057726.649999999906868,2002110.920000000391155,10326030.759999999776483
FS( 12 ),2059976.000000000000000,2139213.979999999981374,2085547.700000000419095,2073368.709999999962747,1987636.040000000270084,10345742.430000001564622
FS( 13 ),2033022.500000000000000,2124999.939999999944121,2042516.950000000186265,2034635.989999999990687,1981604.840000000083819,10216780.220000000670552
FS( 14 ),2043911.000000000000000,2155100.259999999776483,2047269.600000000093132,2035008.419999999925494,2014474.880000000121072,10295764.160000000149012
FS( 15 ),2089250.000000000000000,2155518.319999999832362,2038021.200000000186265,2036870.569999999832362,2000904.680000000167638,10320564.769999999552965
FS( 16 ),2029631.000000000000000,2124999.939999999944121,2017212.300000000046566,2015642.059999999823049,1942703.600000000325963,10130188.900000000372529
FS( 17 ),2016779.000000000000000,2063545.119999999878928,1990751.600000000093132,1989199.529999999795109,1949036.360000000102445,10009311.609999999403954
FS( 18 ),2059083.500000000000000,2193979.839999999850988,2029671.950000000186265,2012662.619999999878928,1987334.480000000447035,10282732.390000000596046
FS( 19 ),2046767.000000000000000,2140050.100000000093132,2022864.100000000093132,2001862.149999999906868,1995476.600000000325963,10207019.949999999254942
FS( 20 ),2001071.000000000000000,2073578.560000000055879,2034809.950000000186265,2051767.770000000018626,1973462.720000000204891,10134690.000000000000000
FS( 21 ),2035700.000000000000000,2177257.439999999944121,2008734.600000000093132,2028677.109999999869615,2003618.720000000204891,10253987.869999999180436
FS( 22 ),2003570.000000000000000,2045150.479999999981374,2025946.900000000139698,1983985.510000000009313,1933656.800000000512227,9992309.689999999478459
FS( 23 ),2049801.500000000000000,2079849.459999999962747,2060371.500000000232831,2014524.770000000018626,2011459.280000000493601,10216006.510000001639128
FS( 24 ),2043554.000000000000000,2089882.900000000139698,2077455.350000000093132,2031284.119999999878928,2063327.600000000325963,10305503.970000000670552
FS( 25 ),2093712.500000000000000,2106187.240000000223517,2105971.250000000000000,2030911.689999999944121,2098610.120000000111759,10435392.800000000745058
FS( 26 ),2048552.000000000000000,2039715.699999999953434,2071289.750000000232831,1987337.379999999888241,2037091.880000000121072,10183986.710000000894070
FS( 27 ),2070329.000000000000000,2071488.259999999776483,2071032.850000000093132,2091617.779999999795109,2025934.160000000614673,10330402.049999998882413
FS( 28 ),2121558.500000000000000,2143394.580000000074506,2090814.150000000372529,2103907.970000000204891,2020506.080000000307336,10480181.280000001192093
FS( 29 ),2128698.500000000000000,2136287.560000000055879,2098135.799999999813735,2093107.500000000000000,2015379.560000000288710,10471608.919999999925494
FS( 30 ),2128341.500000000000000,2204013.279999999795109,2076042.400000000372529,2113218.720000000204891,2043726.200000000186265,10565342.100000001490116
FS( 31 ),2140658.000000000000000,2168060.120000000111759,2077455.350000000093132,2129233.209999999962747,2028045.080000000307336,10543451.759999999776483
FS( 32 ),2154581.000000000000000,2190635.359999999869615,2076170.850000000093132,2184352.849999999627471,2022315.440000000409782,10628055.500000000000000
FS( 33 ),2154581.000000000000000,2238294.199999999720603,2087988.250000000465661,2207443.510000000242144,2035885.640000000363216,10724192.599999999627471
FS( 34 ),2210273.000000000000000,2241220.620000000111759,2078482.950000000186265,2194408.459999999962747,1996381.280000000493601,10720766.310000002384186
FS( 35 ),2208309.500000000000000,2183110.279999999795109,2049196.350000000325963,2183980.419999999925494,1982207.960000000428408,10606804.510000001639128
FS( 36 ),2183319.500000000000000,2154264.140000000130385,2039434.150000000372529,2191056.589999999850988,1993064.120000000344589,10561138.500000001862645
FS( 37 ),2205989.000000000000000,2136287.560000000055879,2042260.050000000279397,2243941.649999999906868,2016887.360000000102445,10645365.620000001043081
FS( 38 ),2187425.000000000000000,2150919.660000000149012,2020808.900000000139698,2237982.770000000018626,2019601.400000000372529,10616737.730000000447035
FS( 39 ),2190638.000000000000000,2147993.240000000223517,2003082.800000000279397,2220850.990000000223517,2010554.600000000325963,10573119.630000000819564
FS( 40 ),2217413.000000000000000,2217809.259999999776483,2041104.000000000232831,2212657.529999999795109,2052169.880000000121072,10741153.669999999925494
FS( 41 ),2260253.000000000000000,2204431.339999999850988,2033397.000000000465661,2214892.109999999869615,2097705.440000000409782,10810678.890000000596046
FS( 42 ),2233299.500000000000000,2158026.679999999701977,2150800.299999999813735,2192546.309999999590218,2062422.920000000391155,10797095.709999999031425
FS( 43 ),2228837.000000000000000,2229514.939999999944121,2099420.299999999813735,2159400.039999999571592,2053677.680000000167638,10770849.959999999031425
FS( 44 ),2240082.500000000000000,2186872.819999999832362,2063968.100000000325963,2134074.799999999813735,2058502.640000000363216,10683500.860000001266599
FS( 45 ),2249364.500000000000000,2185618.640000000130385,2056261.100000000325963,2142640.689999999944121,2017490.480000000447035,10651375.410000002011657
FS( 46 ),2240796.500000000000000,2206521.640000000130385,2119843.850000000558794,2150834.149999999906868,2053677.680000000167638,10771673.820000000298023
FS( 47 ),2230265.000000000000000,2229514.939999999944121,2119458.500000000000000,2137054.240000000223517,2091071.120000000344589,10807363.800000000745058
FS( 48 ),2259360.500000000000000,2242056.740000000223517,2116504.150000000372529,2113963.579999999608845,2064533.840000000083819,10796418.810000000521541
FS( 49 ),2297738.000000000000000,2271739.000000000000000,2109696.300000000745058,2158282.750000000000000,2049154.280000000493601,10886610.330000001937151
FS( 50 ),2299523.000000000000000,2298494.839999999850988,2120357.650000000372529,2162379.479999999981374,2048249.600000000325963,10929004.570000000298023
FS( 51 ),2317730.000000000000000,2285534.979999999981374,2124468.049999999813735,2223085.569999999832362,2063629.160000000614673,11014447.759999999776483
FS( 52 ),2327547.499999999534339,2295150.359999999869615,2115861.900000000372529,2222713.139999999664724,2075993.120000000344589,11037266.019999999552965
FS( 53 ),2315945.000000000000000,2254180.479999999981374,2094539.200000000186265,2204836.500000000000000,2095896.080000000307336,10965397.259999999776483
FS( 54 ),2312732.000000000000000,2284280.799999999813735,2092098.650000000372529,2225320.149999999906868,2151383.120000000111759,11065814.719999998807907
FS( 55 ),2310947.000000000000000,2291387.819999999832362,2072060.450000000186265,2199994.910000000149012,2139320.720000000670552,11013710.900000000372529
FS( 56 ),2282387.000000000000000,2291387.819999999832362,2067821.600000000093132,2202601.919999999925494,2150780.000000000000000,10994978.339999999850988
FS( 57 ),2309340.500000000000000,2270902.879999999888241,2074244.100000000093132,2181373.410000000149012,2152589.360000000335276,10988450.250000000000000
FS( 58 ),2288991.500000000000000,2276337.660000000149012,2048168.750000000000000,2176904.250000000000000,2150478.440000000409782,10940880.600000001490116
FS( 59 ),2297381.000000000000000,2308110.220000000204891,2076042.400000000372529,2203719.209999999962747,2151383.120000000111759,11036635.950000002980232
FS( 60 ),2260074.500000000000000,2288879.459999999962747,2085933.050000000046566,2202229.490000000223517,2176714.160000000149012,11013830.660000000149012
FS( 61 ),2181177.500000000000000,2317725.600000000093132,2096465.950000000419095,2200739.770000000018626,2178825.080000000074506,10974933.900000000372529
FS( 62 ),2166897.500000000000000,2312708.879999999888241,2063197.400000000372529,2175042.099999999627471,2138717.600000000558794,10856563.480000000447035
FS( 63 ),2234192.000000000000000,2327759.040000000037253,2078611.400000000139698,2224202.859999999869615,2178221.959999999962747,11042987.260000001639128
FS( 64 ),2218841.000000000000000,2307692.160000000149012,2055361.950000000186265,2217126.689999999944121,2165254.879999999888241,10964276.679999999701977
