代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11049916.660000000149012
真實報酬,1049916.660000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17162.315696123932867
風險,115094.128582508041291
起點值,0.149115475372149
找到最佳解世代,1439
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
JNJ[12](3),PFE[20](1),WMT[28](4),
Stock#,JNJ[12](3),PFE[20](1),WMT[28](4),
張數,29563,101626,49316,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,104.750000000000000,0.200000000186265,64.560000000055879,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3331559.219999999739230,3424796.400000000372529,3304236.560000000055879,10060593.179999999701977
FS( 3 ),3317664.609999999869615,3394308.600000000093132,3313606.600000000093132,10025580.810000000521541
FS( 4 ),3337176.189999999944121,3411585.020000000018626,3314592.919999999925494,10063355.129999998956919
FS( 5 ),3333037.369999999646097,3412601.279999999795109,3365881.560000000055879,10111521.209999999031425
FS( 6 ),3362009.109999999869615,3436991.520000000018626,3400402.760000000242144,10199404.390000000596046
FS( 7 ),3390093.959999999962747,3434959.000000000000000,3392512.200000000186265,10217566.160000000149012
FS( 8 ),3381225.060000000055879,3369918.359999999869615,3275140.120000000111759,10026284.539999999105930
FS( 9 ),3377086.240000000223517,3372967.140000000130385,3296839.159999999683350,10046893.540000000968575
FS( 10 ),3357279.030000000260770,3372967.140000000130385,3202645.600000000093132,9932892.769999999552965
FS( 11 ),3383294.469999999739230,3392276.080000000540167,3255906.879999999888241,10031478.429999999701977
FS( 12 ),3365261.040000000037253,3356706.980000000447035,3210536.159999999683350,9932505.179999999701977
FS( 13 ),3358165.919999999925494,3370934.620000000577420,3114369.959999999962747,9843471.500000000000000
FS( 14 ),3336289.299999999813735,3392276.080000000540167,3412731.760000000242144,10141298.140000000596046
FS( 15 ),3330081.069999999832362,3428861.440000000409782,3445280.319999999832362,10204223.830000000074506
FS( 16 ),3315890.830000000074506,3421747.620000000577420,3427526.560000000055879,10165166.010000001639128
FS( 17 ),3331559.219999999739230,3465446.800000000279397,3464020.399999999906868,10261027.419999999925494
FS( 18 ),3351070.799999999813735,3490853.300000000279397,3475856.240000000223517,10317781.339999999850988
FS( 19 ),3337767.450000000186265,3498983.380000000353903,3494103.159999999683350,10330854.990000000223517
FS( 20 ),3342497.530000000260770,3517276.060000000055879,3489171.560000000055879,10348946.150000000372529
FS( 21 ),3331559.219999999739230,3526422.400000000372529,3490651.040000000037253,10348633.660000000149012
FS( 22 ),3334219.890000000130385,3531503.700000000186265,3476842.560000000055879,10342567.150000000372529
FS( 23 ),3384772.619999999646097,3543698.819999999832362,3499034.760000000242144,10427507.199999999254942
FS( 24 ),3392754.630000000353903,3525406.140000000130385,3495089.480000000447035,10413251.250000000000000
FS( 25 ),3422613.259999999776483,3549796.380000000353903,3503966.359999999869615,10476377.000000000000000
FS( 26 ),3421430.740000000223517,3540650.040000000502914,3502980.040000000037253,10465061.820000000298023
FS( 27 ),3423500.149999999906868,3582316.700000000186265,3515309.040000000037253,10521126.890000000596046
FS( 28 ),3458975.750000000000000,3588414.260000000242144,3505939.000000000000000,10553330.009999999776483
FS( 29 ),3459271.380000000353903,3586381.740000000223517,3508404.800000000279397,10554058.920000001788139
FS( 30 ),3452767.520000000018626,3530487.440000000409782,3478322.040000000037253,10461578.000000000000000
FS( 31 ),3462523.310000000055879,3555893.940000000409782,3499034.760000000242144,10517453.009999999776483
FS( 32 ),3441533.580000000074506,3535568.740000000223517,3507418.480000000447035,10484521.800000000745058
FS( 33 ),3448333.069999999832362,3531503.700000000186265,3516295.359999999869615,10496133.129999998956919
FS( 34 ),3414039.990000000223517,3477641.919999999925494,3499034.760000000242144,10390717.669999999925494
FS( 35 ),3445376.770000000018626,3506097.200000000186265,3506432.159999999683350,10457907.130000000819564
FS( 36 ),3434734.090000000316650,3531503.700000000186265,3524185.919999999925494,10490424.710000000894070
FS( 37 ),3443011.729999999981374,3503048.419999999925494,3538487.560000000055879,10484548.710000000894070
FS( 38 ),3470209.689999999944121,3515243.540000000502914,3555748.159999999683350,10541202.390000000596046
FS( 39 ),3418474.439999999944121,3452235.419999999925494,3548843.919999999925494,10419554.779999999329448
FS( 40 ),3445672.399999999906868,3434959.000000000000000,3526158.560000000055879,10406790.960000000894070
FS( 41 ),3495338.240000000223517,3499999.640000000130385,3526651.720000000204891,10521990.600000001490116
FS( 42 ),3527857.540000000037253,3557926.459999999962747,3573501.919999999925494,10659286.919999999925494
FS( 43 ),3586096.649999999906868,3578251.660000000149012,3601118.879999999888241,10765468.190000001341105
FS( 44 ),3585801.020000000018626,3614837.020000000018626,3590762.520000000018626,10791401.560000000521541
FS( 45 ),3614772.759999999776483,3639227.260000000242144,3607036.800000000279397,10861037.820000000298023
FS( 46 ),3625711.069999999832362,3644308.560000000055879,3640571.679999999701977,10910592.309999998658895
FS( 47 ),3621867.880000000353903,3635162.220000000670552,3626270.040000000037253,10883301.140000000596046
FS( 48 ),3631919.299999999813735,3670731.319999999832362,3641558.000000000000000,10944209.619999999180436
FS( 49 ),3634284.340000000316650,3673780.100000000093132,3652407.520000000018626,10960472.960000000894070
FS( 50 ),3633988.709999999962747,3682926.440000000409782,3613447.879999999888241,10930364.030000001192093
FS( 51 ),3636353.750000000000000,3690040.260000000242144,3630708.480000000447035,10957103.490000000223517
FS( 52 ),3641675.090000000316650,3752032.120000000577420,3634653.760000000242144,11028361.970000000670552
FS( 53 ),3636353.750000000000000,3736788.220000000670552,3633174.280000000260770,11006317.250000000000000
FS( 54 ),3640492.569999999832362,3723576.840000000316650,3641558.000000000000000,11005628.410000000149012
FS( 55 ),3702870.500000000000000,3723576.840000000316650,3632681.120000000111759,11059129.460000000894070
FS( 56 ),3699618.569999999832362,3727641.880000000353903,3639092.200000000186265,11066353.650000000372529
FS( 57 ),3699914.200000000186265,3730690.660000000149012,3625776.879999999888241,11056382.740000000223517
FS( 58 ),3696366.640000000130385,3733739.440000000409782,3627256.359999999869615,11057363.439999999478459
FS( 59 ),3692227.819999999832362,3737804.480000000447035,3637119.560000000055879,11067152.860000001266599
FS( 60 ),3699914.200000000186265,3742885.779999999795109,3636133.240000000223517,11078934.220000000670552
FS( 61 ),3688680.259999999776483,3744918.300000000279397,3615913.679999999701977,11049513.240000000223517
FS( 62 ),3679515.729999999981374,3726625.620000000577420,3611968.399999999906868,11018110.750000000000000
FS( 63 ),3702279.240000000223517,3748983.340000000316650,3598653.080000000074506,11049916.660000000149012
