代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11533206.469999998807907
真實報酬,1533206.469999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16479.424655187816825
風險,526491.605111261946149
起點值,0.031300450938254
找到最佳解世代,2328
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),NKE[19](2),
Stock#,INTC[11](1),NKE[19](2),
張數,172117,87077,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.149999999441206,38.660000000149012,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5013769.359999999403954,5040926.190000000409782,10054695.550000000745058
FS( 3 ),5012048.189999999478459,5083593.919999999925494,10095642.109999999403954
FS( 4 ),4993115.319999999366701,5012190.780000000260770,10005306.099999999627471
FS( 5 ),4970740.109999999403954,4986067.679999999701977,9956807.789999999105930
FS( 6 ),5101549.029999999329448,5022640.020000000484288,10124189.050000000745058
FS( 7 ),4986230.639999999664724,4983455.370000000111759,9969686.009999999776483
FS( 8 ),5070567.969999999739230,4922501.470000000670552,9993069.440000001341105
FS( 9 ),4969018.939999999478459,4946012.259999999776483,9915031.199999999254942
FS( 10 ),4994836.489999999292195,4979101.520000000484288,9973938.009999999776483
FS( 11 ),5005163.509999998845160,5006095.390000000596046,10011258.899999998509884
FS( 12 ),4975903.619999999180436,4999129.229999999515712,9975032.849999997764826
FS( 13 ),4881239.269999999552965,5005224.620000000111759,9886463.890000000596046
FS( 14 ),4738382.159999999217689,4889412.209999999962747,9627794.369999999180436
FS( 15 ),4571428.669999998994172,4653433.540000000037253,9224862.209999999031425
FS( 16 ),4518072.399999999441206,4522818.040000000037253,9040890.439999999478459
FS( 17 ),4452667.939999999478459,4508014.950000000186265,8960682.890000000596046
FS( 18 ),4698795.250000000000000,4735285.919999999925494,9434081.169999999925494
FS( 19 ),4771084.389999999664724,4903344.530000000260770,9674428.919999999925494
FS( 20 ),4891566.290000000037253,4898119.910000000149012,9789686.199999999254942
FS( 21 ),4912220.329999999143183,4865901.419999999925494,9778121.750000000000000
FS( 22 ),4788296.089999999850988,4730061.299999999813735,9518357.390000000596046
FS( 23 ),4922547.349999999627471,4819750.610000000335276,9742297.960000000894070
FS( 24 ),5005163.509999998845160,4826716.770000000484288,9831880.279999999329448
FS( 25 ),4908777.989999999292195,4776212.110000000335276,9684990.099999999627471
FS( 26 ),5077452.649999999441206,4865901.419999999925494,9943354.070000000298023
FS( 27 ),5032702.229999999515712,4783178.270000000484288,9815880.500000000000000
FS( 28 ),5037865.739999999292195,4805818.290000000037253,9843684.029999999329448
FS( 29 ),5072289.139999999664724,4868513.729999999515712,9940802.869999999180436
FS( 30 ),5058519.779999999329448,4871996.810000000521541,9930516.589999999850988
FS( 31 ),5117039.559999999590218,4956461.500000000000000,10073501.059999998658895
FS( 32 ),5123924.239999999292195,5032218.490000000223517,10156142.730000000447035
FS( 33 ),5113597.219999999739230,5019156.940000000409782,10132754.160000000149012
FS( 34 ),4994836.489999999292195,5009578.470000000670552,10004414.960000000894070
FS( 35 ),5018932.869999999180436,5074886.220000000670552,10093819.089999999850988
FS( 36 ),4934595.540000000037253,5049633.890000000596046,9984229.429999999701977
FS( 37 ),4946643.729999999515712,5026123.099999999627471,9972766.829999998211861
FS( 38 ),4901893.309999999590218,4998258.459999999962747,9900151.769999999552965
FS( 39 ),4958691.919999998994172,5442351.160000000149012,10401043.079999998211861
FS( 40 ),4950086.069999999366701,5317831.049999999813735,10267917.119999999180436
FS( 41 ),5032702.229999999515712,5210726.340000000782311,10243428.570000000298023
FS( 42 ),5187607.529999999329448,5354403.390000000596046,10542010.919999999925494
FS( 43 ),5163511.149999999441206,5391846.500000000000000,10555357.649999998509884
FS( 44 ),5251290.819999999366701,5451929.629999999888241,10703220.449999999254942
FS( 45 ),5371772.719999999739230,5411003.440000000409782,10782776.160000000149012
FS( 46 ),5462994.729999999515712,5363981.860000000335276,10826976.589999999850988
FS( 47 ),5562822.589999999850988,5316089.509999999776483,10878912.099999999627471
FS( 48 ),5597245.990000000223517,5438868.080000000074506,11036114.070000000298023
FS( 49 ),5531841.529999999329448,5439738.849999999627471,10971580.379999998956919
FS( 50 ),5543889.719999999739230,5505046.599999999627471,11048936.320000000298023
FS( 51 ),5514629.829999999143183,5478052.729999999515712,10992682.559999998658895
FS( 52 ),5645438.749999999068677,5478923.500000000000000,11124362.250000000000000
FS( 53 ),5636832.899999999441206,5607797.460000000894070,11244630.359999999403954
FS( 54 ),5686746.829999999143183,5680942.139999999664724,11367688.969999998807907
FS( 55 ),5781411.179999999701977,5800237.629999999888241,11581648.809999998658895
FS( 56 ),5755593.629999998956919,5763665.290000000037253,11519258.919999998062849
FS( 57 ),5743545.439999998547137,5768019.139999999664724,11511564.579999998211861
FS( 58 ),5920825.949999999254942,5765406.829999999143183,11686232.779999997466803
FS( 59 ),6006884.449999999254942,5683554.450000000186265,11690438.899999998509884
FS( 60 ),5953528.179999999701977,5720126.790000000037253,11673654.969999998807907
FS( 61 ),5932874.139999999664724,5695745.229999999515712,11628619.369999999180436
FS( 62 ),5974182.219999999739230,5716643.710000000894070,11690825.929999999701977
FS( 63 ),5857142.659999999217689,5708806.780000000260770,11565949.439999999478459
FS( 64 ),5827882.769999999552965,5705323.700000000186265,11533206.469999998807907
