代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12376111.589999999850988
真實報酬,2376111.589999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,39805.195562027642154
風險,85306.821974111880991
起點值,0.466612102536270
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,6
AAPL[0](2),GS[8](6),HD[9](1),IBM[10](12),MSFT[18](4),UNH[23](16),
Stock#,AAPL[0](2),GS[8](6),HD[9](1),IBM[10](12),MSFT[18](4),UNH[23](16),
張數,28368,17477,39550,8946,62258,32368,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,46.000000000000000,59.280000000027940,29.000000000000000,26.199999999953434,19.340000000083819,37.679999999934807,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1675460.080000000074506,1655830.260000000009313,1690396.000000000000000,1659867.039999999804422,1705888.540000000037253,1690942.000000000000000,10078387.919999999925494
FS( 3 ),1694182.959999999962747,1653033.939999999944121,1704238.500000000232831,1651994.559999999823049,1723320.780000000027940,1702270.800000000046566,10129045.540000000968575
FS( 4 ),1711771.120000000111759,1632760.620000000111759,1708589.000000000000000,1633029.039999999804422,1750091.719999999972060,1708420.719999999972060,10144666.220000000670552
FS( 5 ),1709218.000000000000000,1654956.409999999916181,1709775.499999999767169,1624530.340000000083819,1727056.260000000009313,1706478.639999999897555,10132019.150000000372529
FS( 6 ),1715175.280000000027940,1718572.689999999944121,1721640.500000000000000,1622025.459999999962747,1733282.060000000055879,1703241.839999999850988,10213941.830000000074506
FS( 7 ),1712338.479999999981374,1743564.800000000046566,1718872.000000000000000,1631060.919999999925494,1725811.100000000093132,1715865.359999999869615,10247516.660000000149012
FS( 8 ),1707799.600000000093132,1768906.449999999953434,1716103.500000000000000,1615226.500000000000000,1743243.340000000083819,1711333.839999999850988,10262617.230000000447035
FS( 9 ),1701274.959999999962747,1729583.199999999953434,1720849.500000000000000,1602791.559999999823049,1758807.840000000083819,1705831.280000000027940,10219142.339999999850988
FS( 10 ),1721132.560000000055879,1707212.640000000130385,1729946.000000000000000,1610306.199999999953434,1759430.420000000158325,1733991.439999999944121,10262023.259999999776483
FS( 11 ),1739004.399999999906868,1823085.150000000139698,1775033.000000000000000,1619878.419999999925494,1757562.680000000167638,1745967.599999999860302,10460535.250000000000000
FS( 12 ),1733614.479999999981374,1881982.640000000130385,1795994.499999999767169,1614958.120000000111759,1750714.300000000046566,1693531.439999999944121,10470799.480000000447035
FS( 13 ),1703260.719999999972060,1900508.260000000009313,1760399.500000000000000,1686526.120000000111759,1849704.520000000251457,1691913.040000000037253,10592316.160000000149012
FS( 14 ),1732196.080000000074506,1890895.909999999916181,1775033.000000000000000,1699587.279999999795109,1850949.680000000167638,1697091.919999999925494,10645757.869999999180436
FS( 15 ),1703828.080000000074506,1902780.270000000018626,1778197.000000000000000,1717031.979999999981374,1826669.060000000055879,1661487.119999999878928,10589997.509999999776483
FS( 16 ),1810208.080000000074506,1892294.070000000065193,1790062.000000000000000,1715242.779999999795109,1840365.820000000065193,1669255.439999999944121,10717432.189999999478459
FS( 17 ),1801981.360000000102445,1897362.400000000139698,1777801.500000000000000,1708533.279999999795109,1836630.340000000083819,1629766.479999999981374,10652079.359999999403954
FS( 18 ),1812761.199999999953434,1953463.570000000065193,1774637.500000000000000,1703881.360000000102445,1819820.680000000167638,1651453.040000000037253,10716021.350000001490116
