代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11739688.790000000968575
真實報酬,1739688.790000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26439.477114618493943
風險,80850.679555336930207
起點值,0.327016139629629
找到最佳解世代,1909
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,5
AAPL[0](23),BA[2](2),MSFT[18](5),NKE[19](1),UNH[23](29),
Stock#,AAPL[0](23),BA[2](2),MSFT[18](5),NKE[19](1),UNH[23](29),
張數,28653,19045,62735,62208,27563,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.600000000093132,84.549999999813735,8.199999999953434,12.800000000046566,28.719999999972060,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2041260.319999999832362,2025901.199999999953434,1957340.199999999953434,2026127.360000000102445,2021774.769999999785796,10072403.849999999627471
FS( 3 ),2027220.350000000093132,2031233.799999999813735,1959849.599999999860302,2033592.319999999832362,2040793.240000000223517,10092689.310000000521541
FS( 4 ),2039254.610000000102445,2020187.699999999720603,1954203.449999999953434,2021150.720000000204891,2041344.500000000000000,10076140.980000000447035
FS( 5 ),2071919.030000000260770,2041518.099999999860302,1986198.300000000046566,2034214.400000000139698,2046581.469999999972060,10180431.300000000745058
FS( 6 ),2024641.580000000074506,2060182.199999999953434,2031994.850000000093132,2078382.079999999841675,2057055.409999999916181,10252256.120000001043081
FS( 7 ),1914614.059999999823049,2080369.899999999906868,2053952.100000000093132,2102643.200000000186265,2072215.060000000055879,10223794.320000000298023
FS( 8 ),1934957.690000000176951,2091225.549999999813735,2050815.349999999860302,2117573.120000000111759,2060087.339999999850988,10254659.050000000745058
FS( 9 ),1902866.330000000074506,2120364.399999999906868,2072145.250000000000000,2112596.480000000447035,2052920.960000000195578,10260893.420000001788139
FS( 10 ),1842408.500000000000000,2203019.699999999720603,2057716.199999999720603,2121305.600000000558794,2070561.280000000027940,10295011.279999999329448
FS( 11 ),1863898.250000000000000,2230444.500000000000000,2065871.750000000000000,2125038.080000000074506,2048235.250000000000000,10333487.830000000074506
FS( 12 ),1902006.739999999990687,2255012.549999999813735,2090338.399999999906868,2161118.719999999739230,2013230.240000000223517,10421706.650000000372529
FS( 13 ),1933238.510000000009313,2267201.350000000093132,2110413.599999999627471,2161740.799999999813735,1952591.640000000130385,10425185.900000000372529
FS( 14 ),1913181.409999999916181,2221302.899999999906868,2057088.849999999860302,2158008.320000000298023,1945149.629999999888241,10294731.109999999403954
FS( 15 ),2008309.370000000111759,2238062.500000000000000,2053952.100000000093132,2145566.719999999739230,1979603.379999999888241,10425494.070000000298023
FS( 16 ),2002005.710000000195578,2266439.549999999813735,2036386.300000000046566,2159874.559999999590218,1993384.879999999888241,10458091.000000000000000
FS( 17 ),1971060.470000000204891,2257107.500000000000000,2039523.049999999813735,2143700.480000000447035,1984013.460000000195578,10395404.960000000894070
FS( 18 ),1990257.979999999981374,2273676.649999999906868,2055834.150000000139698,2187868.160000000149012,1988974.799999999813735,10496611.740000002086163
FS( 19 ),1975931.479999999981374,2261487.849999999627471,2087201.650000000139698,2290511.360000000335276,1984289.089999999850988,10599421.429999999701977
FS( 20 ),1951576.430000000167638,2237872.049999999813735,2087829.000000000000000,2259407.360000000335276,1973815.149999999906868,10510499.990000000223517
FS( 21 ),1997421.229999999981374,2242633.299999999813735,2106649.500000000000000,2252564.480000000447035,2000551.260000000009313,10599819.769999999552965
FS( 22 ),2004011.419999999925494,2244347.350000000093132,2127979.400000000372529,2236390.400000000372529,2000275.629999999888241,10613004.199999999254942
FS( 23 ),1978796.780000000260770,2194830.349999999627471,2124215.299999999813735,2228303.360000000335276,1998897.479999999748543,10525043.269999999552965
