訓練日期,20171227 - 20180402
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10730196.130000000819564
真實報酬,730196.130000000819564

夏普值報酬,0.064319613000000
夏普值風險,0.045158836542449
夏普值,1.424297389494081

預期報酬,25034.023323760218773
風險,333057.118690486298874
趨勢值,0.075164354457244
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](7),
Stock#,BA[2](3),CSCO[4](1),INTC[11](7),
張數,11285,86625,72337,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,195.399999999906868,3.000000000465661,44.040000000037253,
20171227,3336267.100000000093132,3340263.000000000465661,3335503.109999999869615,10012034.210000000894070
20171228,3344505.150000000372529,3342861.750000000931323,3343460.180000000167638,10030828.080000001937151
20171229,3328254.750000000000000,3317740.500000000000000,3339119.959999999962747,9985116.210000000894070
20180102,3350034.799999999813735,3366250.500000000465661,3389032.490000000223517,10105318.790000000968575
20180103,3360868.399999999906868,3393104.250000000465661,3274016.659999999683350,10027990.310000000521541
20180104,3348116.350000000093132,3377511.750000000465661,3213976.950000000186265,9939606.050000000745058
20180105,3485454.799999999813735,3424289.250000000465661,3236401.420000000391155,10146146.470000000670552
20180108,3500238.149999999441206,3459805.500000000465661,3236401.420000000391155,10196446.070000000298023
20180109,3593677.950000000186265,3438149.250000000465661,3155383.979999999981374,10187212.180000001564622
20180110,3614329.500000000000000,3457206.750000000000000,3074366.540000000037253,10145903.789999999105930
20180111,3703029.600000000093132,3473665.500000000465661,3140193.209999999962747,10316889.310000000521541
20180112,3794325.249999999534339,3540366.750000000465661,3127895.920000000391155,10462588.919999999925494
20180116,3782476.000000000000000,3511780.500000000465661,3120662.220000000204891,10414919.720000000670552
20180117,3961343.250000000000000,3568953.000000000931323,3211083.470000000204891,10741380.720000000670552
20180118,3838901.000000000000000,3577615.500000000000000,3217593.799999999813735,10634111.300000000745058
20180119,3811478.450000000186265,3576749.250000000465661,3242188.379999999888241,10630417.080000001937151
20180122,3814525.399999999906868,3608800.500000000000000,3309461.790000000037253,10732788.690000001341105
20180123,3787328.549999999813735,3646915.500000000465661,3331886.260000000242144,10766131.310000000521541
20180124,3777172.049999999813735,3652979.250000000465661,3292100.909999999683350,10722253.210000000894070
20180125,3872191.750000000000000,3629590.500000000465661,3276910.139999999664724,10778693.390000000596046
20180126,3873433.100000000093132,3686763.000000000465661,3622681.000000000000000,11182878.100000001490116
20180129,3846349.099999999627471,3711884.250000000465661,3615447.299999999813735,11173681.649999998509884
20180130,3811252.749999999534339,3659909.250000000465661,3529366.270000000018626,11000529.269999999552965
20180131,3999260.850000000093132,3598405.500000000465661,3482347.220000000204891,11080014.570000000298023
20180201,4028263.299999999813735,3612265.500000000931323,3446902.089999999850988,11087431.890000000596046
20180202,3937644.750000000000000,3545564.250000000465661,3338396.589999999850988,10821606.589999999850988
20180205,3711606.199999999720603,3359320.500000000465661,3220487.280000000260770,10291414.980000000447035
20180206,3847364.750000000000000,3479729.250000000465661,3248698.709999999962747,10575793.710000000894070
20180207,3928729.600000000093132,3494455.500000000931323,3269676.440000000409782,10692862.540000002831221
20180208,3720408.500000000000000,3358454.250000000931323,3092450.790000000037253,10171314.540000000968575
20180209,3756181.949999999720603,3424289.250000000465661,3179255.190000000409782,10359727.390000000596046
20180212,3879978.399999999906868,3516978.000000000465661,3242911.750000000000000,10639869.150000000372529
20180213,3872756.000000000000000,3571551.750000000000000,3216147.060000000055879,10660455.810000000521541
20180214,3891827.650000000372529,3646049.250000000931323,3282697.100000000093132,10820575.000000001862645
20180215,4022846.499999999534339,3818433.000000000465661,3321759.080000000074506,11163039.580000000074506
20180216,4006821.800000000279397,3840089.250000000465661,3295717.760000000242144,11142629.810000000521541
20180220,3987750.150000000372529,3816700.500000000465661,3350693.879999999888241,11155145.530000001192093
20180221,3976690.850000000093132,3751731.750000000465661,3323205.819999999832362,11051629.419999999925494
20180222,4016752.600000000093132,3719680.500000000465661,3313078.639999999664724,11049512.740000000223517
20180223,4025103.500000000000000,3811503.000000000465661,3452689.049999999813735,11289296.550000000745058
20180226,4102067.200000000186265,3929313.000000000465661,3552514.109999999869615,11583895.310000000521541
20180227,4115157.799999999813735,3901593.000000000465661,3610383.709999999962747,11627135.510000001639128
20180228,4087735.249999999534339,3879070.500000000465661,3565534.770000000018626,11532341.519999999552965
20180301,3946447.049999999813735,3794178.000000000000000,3460646.120000000111759,11201272.169999999925494
20180302,3889796.350000000093132,3816700.500000000465661,3543110.299999999813735,11249608.150000000372529
20180305,3980979.149999999906868,3856548.000000000931323,3598809.790000000037253,11436337.940000001341105
20180306,3937757.600000000093132,3836624.250000000465661,3668253.310000000055879,11442636.160000000149012
20180307,3916541.800000000279397,3828828.000000000931323,3712378.879999999888241,11457749.679999999701977
20180308,3935613.450000000186265,3840955.500000000931323,3670423.420000000391155,11446993.370000001043081
20180309,4000953.599999999627471,3930179.250000000465661,3775312.069999999832362,11706445.919999999925494
