訓練日期,20150309 - 20150609
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10710179.509999999776483
真實報酬,710179.509999999776483

夏普值報酬,0.062317951000000
夏普值風險,0.026476630790147
夏普值,2.353696416055706

預期報酬,13690.395373832290716
風險,76376.036299264262198
趨勢值,0.179249880423085
找到最佳解世代,2582
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),DD[7](7),GS[8](1),NKE[19](5),
Stock#,DIS[6](2),DD[7](7),GS[8](1),NKE[19](5),
張數,24080,36619,13375,51588,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,14.400000000372529,20.870000000111759,78.750000000000000,45.520000000018626,
20150309,2534675.200000000651926,2499633.810000000521541,2513642.500000000000000,2513412.879999999888241,10061364.390000000596046
20150310,2482421.600000000558794,2456789.580000000074506,2443825.000000000000000,2489682.399999999906868,9872718.580000000074506
20150311,2477605.600000000558794,2439578.650000000372529,2463486.250000000000000,2459245.479999999981374,9839915.980000000447035
20150312,2580668.000000000465661,2475099.080000000074506,2540660.000000000000000,2503095.280000000260770,10099522.359999999403954
20150313,2563089.600000000093132,2453493.870000000111759,2532501.250000000000000,2471626.599999999627471,10020711.320000000298023
20150316,2585484.000000000465661,2452761.490000000223517,2566741.250000000000000,2487618.879999999888241,10092605.620000001043081
20150317,2575611.200000000186265,2431888.660000000149012,2548952.500000000000000,2490198.280000000260770,10046650.640000000596046
20150318,2599932.000000000465661,2479127.170000000391155,2572358.750000000000000,2515476.399999999906868,10166894.320000000298023
20150319,2585484.000000000465661,2437015.319999999832362,2540927.500000000000000,2536111.599999999627471,10099538.419999999925494
20150320,2611008.800000000745058,2466310.520000000018626,2583192.500000000000000,2630517.640000000130385,10291029.460000000894070
20150323,2605952.000000000465661,2463014.810000000521541,2567543.750000000000000,2617104.759999999776483,10253615.320000000298023
20150324,2579223.200000000186265,2461916.240000000223517,2558448.750000000000000,2596469.560000000055879,10196057.750000000000000
20150325,2528414.400000000372529,2442141.979999999981374,2505885.000000000000000,2553651.520000000018626,10030092.900000000372529
20150326,2534193.600000000093132,2443606.740000000223517,2504413.750000000000000,2562421.479999999981374,10044635.570000000298023
20150327,2539972.800000000279397,2490479.060000000521541,2515381.250000000000000,2576350.239999999757856,10122183.350000001490116
20150330,2555384.000000000465661,2538449.949999999720603,2554971.250000000000000,2602660.120000000111759,10251465.320000000298023
20150331,2525765.600000000558794,2502197.140000000130385,2514177.500000000000000,2588215.479999999981374,10130355.720000000670552
20150401,2539009.600000000093132,2497802.859999999869615,2571155.000000000000000,2568096.160000000149012,10176063.620000001043081
20150402,2552494.400000000372529,2515746.170000000391155,2562060.000000000000000,2570675.560000000055879,10200976.130000000819564
20150406,2543584.800000000279397,2538449.949999999720603,2568747.500000000000000,2572739.080000000074506,10223521.330000000074506
20150407,2538768.800000000745058,2530393.770000000018626,2573295.000000000000000,2569643.800000000279397,10212101.370000001043081
20150408,2561163.200000000186265,2522337.589999999850988,2575568.750000000000000,2601112.479999999981374,10260182.019999999552965
20150409,2571036.000000000465661,2541745.660000000149012,2606732.500000000000000,2598017.200000000186265,10317531.359999999403954
20150410,2575370.400000000372529,2523436.160000000149012,2616763.750000000000000,2578929.640000000130385,10294499.950000001117587
20150413,2564775.200000000651926,2517210.929999999701977,2615961.250000000000000,2560873.839999999850988,10258821.220000000670552
20150414,2568387.200000000186265,2546506.130000000353903,2644583.750000000000000,2567580.280000000260770,10327057.359999999403954
20150415,2576092.800000000279397,2613152.709999999962747,2689791.250000000000000,2575318.479999999981374,10454355.240000000223517
20150416,2603062.400000000372529,2594477.020000000018626,2677887.500000000000000,2576866.120000000111759,10452293.039999999105930
20150417,2569109.600000000093132,2589716.550000000279397,2639635.000000000000000,2542302.160000000149012,10340763.310000000521541
20150420,2605952.000000000465661,2612054.140000000130385,2649666.250000000000000,2579445.520000000018626,10447117.910000000149012
20150421,2592948.800000000745058,2589350.359999999869615,2632813.750000000000000,2587183.719999999739230,10402296.629999998956919
20150422,2599209.600000000093132,2608392.240000000223517,2652608.750000000000000,2583572.560000000055879,10443783.150000000372529
20150423,2624734.400000000372529,2659658.839999999850988,2665850.000000000000000,2608334.800000000279397,10558578.040000000968575
20150424,2637496.800000000279397,2665884.069999999832362,2648195.000000000000000,2604207.759999999776483,10555783.629999998956919
20150427,2652667.200000000186265,2684193.569999999832362,2628533.750000000000000,2603691.879999999888241,10569086.399999998509884
20150428,2646888.000000000465661,2702503.069999999832362,2641507.500000000000000,2575834.359999999869615,10566732.929999999701977
20150429,2644239.200000000651926,2691517.370000000111759,2655818.750000000000000,2584088.440000000409782,10575663.760000001639128
20150430,2617992.000000000465661,2659658.839999999850988,2627196.250000000000000,2549524.479999999981374,10454371.570000000298023
