訓練日期,20171215 - 20180321
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11693500.640000000596046
真實報酬,1693500.640000000596046

夏普值報酬,0.160650064000000
夏普值風險,0.051023685937414
夏普值,3.148538978486488

預期報酬,31141.883767042123509
風險,262650.550209681678098
趨勢值,0.118567746163793
找到最佳解世代,2368
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](4),CSCO[4](1),INTC[11](6),
Stock#,BA[2](4),CSCO[4](1),INTC[11](6),
張數,11342,87950,77053,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,146.040000000037253,28.000000000000000,20.220000000204891,
20171215,3334013.520000000018626,3358838.500000000000000,3433501.900000000372529,10126354.919999999925494
20171218,3358965.919999999925494,3384343.999999999534339,3564492.000000000000000,10307802.919999999925494
20171219,3371555.540000000037253,3368512.999999999534339,3624593.340000000316650,10364662.879999998956919
20171220,3378927.839999999850988,3407211.000000000000000,3664660.900000000372529,10450800.740000000223517
20171221,3346376.299999999813735,3388741.500000000000000,3603018.500000000000000,10338137.300000000745058
20171222,3347170.240000000223517,3390500.499999999534339,3598395.320000000298023,10336067.060000000521541
20171226,3350119.160000000149012,3384343.999999999534339,3550622.459999999962747,10285086.620000001043081
20171227,3353068.080000000074506,3391380.000000000000000,3552934.050000000279397,10297383.130000000819564
20171228,3361347.740000000223517,3394018.500000000465661,3561409.879999999888241,10316777.120000001043081
20171229,3345015.260000000242144,3368512.999999999534339,3556786.699999999720603,10270315.959999999031425
20180102,3366905.319999999832362,3417765.000000000000000,3609953.270000000484288,10394624.589999999850988
20180103,3377793.640000000130385,3445029.500000000000000,3487439.000000000000000,10310263.140000000596046
20180104,3364977.180000000167638,3429198.500000000000000,3423485.010000000242144,10217661.689999999478459
20180105,3503009.319999999832362,3476691.500000000000000,3447371.440000000409782,10427073.260000001639128
20180108,3517867.339999999850988,3512751.000000000000000,3447371.440000000409782,10477990.780000001192093
20180109,3611779.100000000093132,3490763.500000000000000,3361072.080000000074506,10463615.679999999701977
20180110,3632534.959999999962747,3510112.499999999534339,3274772.720000000204891,10417421.179999999701977
20180111,3721683.080000000074506,3526823.000000000000000,3344890.949999999720603,10593398.029999999329448
20180112,3813439.859999999869615,3594544.500000000000000,3331791.940000000409782,10739777.300000000745058
20180116,3801530.760000000242144,3565521.000000000000000,3324086.640000000130385,10691139.400000000372529
20180117,3981301.459999999962747,3623568.000000000465661,3420402.890000000130385,11025273.350000001490116
20180118,3858240.760000000242144,3632362.999999999534339,3427337.660000000149012,10917942.419999999925494
20180119,3830679.700000000186265,3631483.500000000000000,3453535.680000000167638,10915699.880000000819564
20180122,3833742.040000000037253,3664024.999999999534339,3525194.970000000204891,11022963.009999999776483
20180123,3806407.819999999832362,3702723.000000000000000,3549081.400000000372529,11058213.220000000670552
20180124,3796200.020000000018626,3708879.500000000000000,3506702.250000000000000,11011782.769999999552965
20180125,3891699.660000000149012,3685133.000000000000000,3490521.120000000111759,11067354.780000001192093
20180126,3892947.280000000260770,3743180.000000000000000,3858834.459999999962747,11494962.740000000223517
20180129,3865726.479999999981374,3768685.500000000000000,3851129.160000000149012,11485542.140000000596046
20180130,3830452.859999999869615,3715915.500000000000000,3759436.090000000316650,11305805.449999999254942
20180131,4019410.580000000074506,3653471.000000000000000,3709351.640000000130385,11382234.220000000670552
20180201,4048559.520000000018626,3667543.000000000465661,3671595.669999999925494,11387699.190000001341105
20180202,3957483.260000000242144,3599821.500000000000000,3556016.169999999925494,11113321.929999999701977
20180205,3730303.000000000000000,3410729.000000000000000,3430419.780000000260770,10571452.780000001192093
20180206,3866747.260000000242144,3532979.500000000000000,3460470.449999999720603,10860198.209999999031425
20180207,3948523.080000000074506,3547931.000000000465661,3482815.820000000298023,10979270.900000000372529
20180208,3739149.760000000242144,3409849.500000000465661,3294035.970000000204891,10443036.230000000447035
20180209,3775103.899999999906868,3476691.500000000000000,3386499.570000000298023,10638295.970000000670552
20180212,3899525.640000000130385,3570798.000000000000000,3454306.209999999962747,10924630.850000001490116
20180213,3892266.760000000242144,3626206.499999999534339,3425796.600000000093132,10944270.859999999403954
20180214,3911434.740000000223517,3701843.500000000465661,3496685.360000000335276,11109964.600000001490116
20180215,4043115.359999999869615,3876864.000000000000000,3538293.980000000447035,11458274.339999999850988
20180216,4027009.720000000204891,3898851.500000000000000,3510554.900000000372529,11436417.120000001043081
20180220,4007841.740000000223517,3875105.000000000000000,3569115.180000000167638,11452062.919999999925494
20180221,3996726.580000000074506,3809142.500000000000000,3539835.040000000037253,11345705.120000001043081
20180222,4036990.680000000167638,3776601.000000000000000,3529047.620000000111759,11342640.300000000745058
20180223,4045383.760000000242144,3869828.000000000000000,3677759.910000000149012,11592972.669999999925494
20180226,4122736.200000000186265,3989440.000000000000000,3784093.050000000279397,11896270.250000000000000
20180227,4135892.919999999925494,3961296.000000000000000,3845735.449999999720603,11942925.369999999180436
20180228,4108331.859999999869615,3938429.000000000000000,3797962.590000000316650,11844724.449999999254942
20180301,3966330.020000000018626,3852237.999999999534339,3686235.740000000689179,11504804.759999999776483
20180302,3909393.180000000167638,3875105.000000000000000,3774076.160000000149012,11558575.339999999850988
20180305,4001036.540000000037253,3915562.000000000465661,3833406.970000000204891,11750006.510000001639128
