訓練日期,20190130 - 20190502
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11291067.080000000074506
真實報酬,1291067.080000000074506

夏普值報酬,0.120406708000000
夏普值風險,0.037972360827961
夏普值,3.170903925239728

預期報酬,22420.070885175889998
風險,62012.178075578100106
趨勢值,0.361543032045273
找到最佳解世代,2390
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,11
AAPL[0](5),CSCO[4](3),DD[7](28),JNJ[12](11),KO[14](27),MCD[15](19),MSFT[18](1),TRV[22](4),UTX[24](6),V[25](2),VZ[26](14),
Stock#,AAPL[0](5),CSCO[4](3),DD[7](28),JNJ[12](11),KO[14](27),MCD[15](19),MSFT[18](1),TRV[22](4),UTX[24](6),V[25](2),VZ[26](14),
張數,5877,19780,10908,6975,19179,4990,8831,7283,7714,6734,17062,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,35.640000000013970,1.199999999953434,17.279999999911524,38.249999999883585,5.400000000023283,61.700000000069849,26.859999999986030,25.940000000060536,72.239999999990687,0.000000000000000,26.640000000013970,
20190130,971209.890000000013970,923925.000000000000000,920870.639999999897555,918227.249999999767169,917912.339999999967404,907094.000000000116415,939468.639999999897555,916809.979999999981374,918963.920000000041910,926598.399999999906868,921374.640000000013970,10182464.700000001117587
20190131,978203.520000000018626,935397.399999999906868,835897.319999999832362,928271.250000000000000,923090.670000000041910,892173.900000000023283,922248.190000000060536,914333.760000000125729,910864.219999999972060,909157.339999999967404,939460.360000000102445,10089107.929999999701977
20190201,978673.680000000051223,936386.400000000023283,830661.479999999981374,936083.249999999767169,934022.700000000069849,881894.500000000116415,907677.040000000037253,921252.609999999986030,917883.960000000079162,943770.100000000093132,930758.739999999990687,10119074.460000000894070
20190204,1006471.890000000013970,936584.199999999953434,825316.559999999823049,926876.249999999883585,944571.150000000023283,886036.200000000069849,933816.799999999930151,917975.260000000125729,919118.199999999953434,952861.000000000000000,922057.119999999995343,10171694.629999998956919
20190205,1023691.500000000000000,934803.999999999883585,842878.439999999827705,926876.249999999883585,944762.939999999944121,886136.000000000000000,946886.679999999934807,918994.880000000121072,931692.019999999902211,959797.020000000018626,923763.320000000065193,10240293.049999998882413
20190206,1024044.120000000111759,939155.599999999860302,826625.519999999902211,927713.249999999883585,944762.939999999944121,879199.900000000139698,936377.790000000037253,914406.590000000083819,936243.280000000027940,952793.660000000032596,917791.619999999995343,10199124.269999999552965
20190207,1004650.020000000018626,923727.199999999953434,810590.759999999892898,921087.000000000000000,947831.580000000074506,874708.900000000023283,929666.229999999981374,923219.020000000135042,931306.319999999948777,943904.779999999911524,914037.979999999981374,10124739.790000002831221
20190208,1001535.209999999962747,933419.399999999906868,803282.399999999906868,923528.249999999883585,949365.900000000023283,872064.200000000069849,933198.630000000004657,916154.510000000125729,944960.099999999976717,945318.919999999925494,920521.540000000037253,10143359.059999998658895
20190211,995775.750000000000000,941133.599999999976717,807754.679999999934807,920738.249999999883585,951475.589999999967404,869619.099999999976717,929489.609999999986030,913459.800000000046566,946734.319999999948777,948147.200000000069849,922227.739999999990687,10146565.640000000596046
20190212,1004356.169999999925494,947265.399999999906868,828916.199999999837019,935804.249999999883585,952434.539999999920838,868172.000000000116415,943972.449999999953434,926860.520000000135042,956453.960000000079162,956160.660000000032596,928540.680000000051223,10248946.830000000074506
