訓練日期,20140107 - 20140409
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11250128.370000001043081
真實報酬,1250128.370000001043081

夏普值報酬,0.116312837000000
夏普值風險,0.035703028325607
夏普值,3.257786312669099

預期報酬,19018.029663054505363
風險,102599.228137713871547
趨勢值,0.185362307380398
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](2),JNJ[12](10),MRK[17](3),MSFT[18](4),
Stock#,CAT[3](1),DD[7](2),JNJ[12](10),MRK[17](3),MSFT[18](4),
張數,22563,32216,21661,40209,55355,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.679999999934807,30.719999999972060,39.870000000111759,4.339999999850988,23.849999999860302,
20140107,2006543.270000000018626,1977770.959999999962747,2042455.560000000288710,2014877.329999999841675,2015499.399999999674037,10057146.519999999552965
20140108,2011281.500000000000000,1980026.080000000074506,2039639.630000000121072,2002010.449999999720603,1979518.649999999674037,10012476.310000000521541
20140109,2024142.409999999683350,1954575.439999999944121,2051986.400000000139698,1991154.020000000018626,1966787.000000000000000,9988645.269999999552965
20140110,2042192.810000000055879,1959407.840000000083819,2052203.010000000009313,2005629.260000000009313,1995018.049999999813735,10054450.969999998807907
20140113,2028203.750000000000000,1922037.279999999795109,2047004.370000000111759,2135906.419999999925494,1936341.749999999767169,10069493.570000000298023
20140114,2043320.959999999962747,1956830.560000000055879,2051769.790000000037253,2131081.339999999850988,1980625.750000000000000,10163628.400000000372529
20140115,2085062.509999999776483,1975193.679999999934807,2053502.670000000158325,2111781.020000000018626,2034873.649999999674037,10260413.529999999329448
20140116,2076037.310000000055879,1976804.479999999981374,2050036.910000000149012,2110976.839999999850988,2042069.799999999813735,10255925.339999999850988
20140117,2063176.399999999906868,1976160.160000000149012,2059134.530000000260770,2088861.889999999897555,2013838.750000000000000,10201171.730000000447035
20140121,2044223.479999999748543,2107279.280000000260770,2036823.700000000186265,2084036.809999999823049,2002214.199999999953434,10274577.469999998807907
20140122,2022563.000000000000000,2095681.519999999785796,2043105.389999999897555,2064736.489999999990687,1988928.999999999767169,10215015.399999998509884
20140123,1996389.919999999925494,2051867.760000000009313,2008881.010000000009313,2074788.739999999990687,1996125.149999999906868,10128052.580000000074506
20140124,1944269.389999999897555,1991623.840000000083819,1962743.080000000074506,2090068.159999999683350,2037641.399999999906868,10026345.870000001043081
20140127,2059791.950000000186265,1977448.800000000046566,1948230.209999999962747,2112183.109999999869615,1994464.500000000000000,10092118.570000000298023
20140128,2086416.289999999804422,1975515.840000000083819,1951695.969999999972060,2125854.169999999925494,2007749.699999999953434,10147231.969999998807907
20140129,2044674.739999999990687,2052189.920000000158325,1925702.770000000251457,2099316.229999999981374,2029338.149999999674037,10151221.810000000521541
20140130,2102887.280000000260770,2078929.199999999953434,1938699.370000000111759,2151587.929999999701977,2040409.149999999906868,10312512.929999999701977
20140131,2118907.009999999776483,2087949.679999999934807,1916388.540000000037253,2129875.069999999832362,2094657.050000000046566,10347777.349999999627471
20140203,2085288.139999999897555,2050256.959999999962747,1879781.450000000186265,2094089.059999999823049,2019374.249999999767169,10128789.859999999403954
20140204,2087093.179999999934807,2062821.199999999953434,1876315.690000000176951,2151587.929999999701977,2012178.099999999860302,10189996.099999999627471
20140205,2074909.159999999683350,2057666.639999999897555,1890611.950000000186265,2152392.109999999869615,1982839.949999999953434,10158419.809999998658895
20140206,2117101.969999999739230,2091493.439999999944121,1922453.620000000111759,2162042.270000000018626,2002767.749999999767169,10295859.050000000745058
20140207,2140567.490000000223517,2092137.760000000009313,1950396.310000000288710,2202251.270000000018626,2023802.649999999906868,10409155.480000000447035
20140210,2132219.179999999701977,2103091.200000000186265,1972707.139999999897555,2207076.350000000093132,2037087.849999999627471,10452181.719999998807907
20140211,2142598.160000000149012,2148837.919999999925494,2013863.040000000037253,2239645.640000000130385,2057569.199999999953434,10602513.959999999031425
20140212,2169899.389999999664724,2127575.360000000335276,2001949.490000000223517,2211499.339999999850988,2074175.699999999720603,10585099.279999999329448
20140213,2168545.610000000335276,2124353.759999999776483,2004982.030000000260770,2215520.239999999757856,2081925.399999999906868,10595327.040000000968575
20140214,2178473.330000000074506,2143039.040000000037253,2009314.230000000214204,2229191.299999999813735,2082478.949999999720603,10642496.849999999627471
20140218,2178698.959999999962747,2146260.639999999664724,1996534.240000000223517,2239243.549999999813735,2071407.949999999953434,10632145.339999999850988
20140219,2170801.910000000149012,2130474.799999999813735,1985053.910000000149012,2213107.699999999720603,2076389.899999999674037,10575828.220000000670552
20140220,2186821.639999999664724,2162690.799999999813735,2001083.050000000046566,2244068.629999999888241,2089675.099999999860302,10684339.219999998807907
20140221,2199908.179999999701977,2154636.799999999813735,1982454.590000000083819,2252914.609999999869615,2102406.750000000000000,10692320.929999999701977
