訓練日期,20150210 - 20150513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10889595.109999997541308
真實報酬,889595.109999997541308

夏普值報酬,0.080259511000000
夏普值風險,0.023006168331683
夏普值,3.488608352459573

預期報酬,15184.866945817522719
風險,115283.922590309230145
趨勢值,0.131717125897779
找到最佳解世代,1822
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](24),DIS[6](1),IBM[10](5),NKE[19](2),WBA[27](6),
Stock#,CAT[3](24),DIS[6](1),IBM[10](5),NKE[19](2),WBA[27](6),
張數,23621,19659,12841,43869,26178,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,9.929999999934807,89.929999999934807,14.250000000000000,12.289999999804422,0.799999999813735,
20150210,1981811.830000000074506,2003735.209999999962747,2036083.209999999962747,2034656.510000000009313,2007591.619999999646097,10063878.379999998956919
20150211,1970237.539999999804422,2002752.260000000009313,2031460.449999999953434,2003070.829999999608845,2081937.139999999897555,10089458.220000000670552
20150212,1973072.060000000055879,2036369.149999999906868,2035569.570000000065193,2017986.289999999804422,2093193.679999999701977,10156190.750000000000000
20150213,2010865.659999999916181,2047967.959999999962747,2059710.650000000139698,2018863.669999999925494,2060994.739999999990687,10198402.679999999701977
20150217,2016770.909999999916181,2046985.010000000009313,2066901.610000000102445,2014915.459999999729916,2041884.799999999813735,10187457.789999999105930
20150218,2003070.729999999981374,2041873.669999999925494,2082696.040000000037253,2053520.179999999934807,2036387.419999999925494,10217548.039999999105930
20150219,1967639.229999999981374,2042463.439999999944121,2104525.739999999757856,2055274.939999999944121,2018324.599999999627471,10188227.949999999254942
20150220,1994567.169999999925494,2055438.379999999888241,2101443.899999999906868,2082473.719999999739230,2019109.939999999711290,10253033.109999999403954
20150223,1972127.219999999739230,2064088.339999999850988,2091941.560000000055879,2084228.479999999748543,2057329.819999999832362,10269715.419999998062849
20150224,1995984.429999999934807,2057797.459999999962747,2116596.280000000260770,2093002.279999999795109,2104450.219999999739230,10367830.669999998062849
20150225,2011338.080000000074506,2075490.559999999823049,2090657.459999999962747,2123710.580000000074506,2094502.579999999841675,10395699.259999999776483
20150226,1979449.729999999981374,2055634.969999999972060,2065745.920000000158325,2127658.790000000037253,2137434.500000000000000,10365923.910000000149012
20150227,1958190.830000000074506,2046198.649999999906868,2079485.790000000037253,2130290.929999999701977,2174869.039999999571592,10389035.239999998360872
20150302,1960552.929999999934807,2081781.439999999944121,2060737.929999999934807,2166263.509999999776483,2189005.160000000149012,10458340.969999998807907
20150303,1956773.570000000065193,2090824.579999999841675,2067800.479999999981374,2149154.599999999627471,2178272.179999999701977,10442825.410000000149012
20150304,1930554.260000000009313,2075490.559999999823049,2047126.469999999739230,2139064.729999999515712,2173298.359999999869615,10365534.379999998956919
20150305,1925357.640000000130385,2064874.699999999953434,2069726.630000000121072,2159683.159999999217689,2178010.399999999906868,10397652.529999999329448
20150306,1891107.189999999944121,2041087.309999999823049,2035312.750000000000000,2125904.030000000260770,2155759.099999999627471,10249170.379999998956919
20150309,1908822.939999999944121,2069396.270000000018626,2064461.820000000065193,2137309.969999999739230,2185863.799999999813735,10365854.800000000745058
20150310,1887564.039999999804422,2026736.239999999990687,2026452.459999999962747,2117130.229999999515712,2165444.959999999962747,10223327.929999999701977
20150311,1882603.629999999888241,2022804.439999999944121,2013483.050000000046566,2091247.519999999785796,2159947.580000000074506,10170086.219999998807907
20150312,1894177.919999999925494,2106944.959999999962747,2028635.429999999934807,2128536.169999999925494,2205497.299999999813735,10363791.779999999329448
20150313,1871501.760000000009313,2092593.889999999897555,1981123.729999999981374,2101776.080000000074506,2191622.959999999962747,10238618.419999999925494
20150316,1888981.299999999813735,2110876.759999999776483,2017078.530000000260770,2115375.469999999739230,2271465.859999999869615,10403777.919999999925494
20150317,1853077.379999999888241,2102816.569999999366701,2015537.610000000102445,2117568.919999999925494,2258115.080000000074506,10347115.559999998658895
20150318,1921105.859999999869615,2122672.160000000149012,2052134.459999999962747,2139064.729999999515712,2282198.839999999850988,10517176.050000000745058
20150319,1891815.820000000065193,2110876.759999999776483,2052134.459999999962747,2156612.330000000074506,2286910.879999999888241,10498350.250000000000000
20150320,1917798.919999999925494,2131715.299999999813735,2091556.329999999841675,2236892.599999999627471,2309685.739999999757856,10687648.889999998733401
20150323,1915436.820000000065193,2127586.910000000149012,2114028.080000000074506,2225486.659999999217689,2301570.560000000055879,10684109.029999999329448
20150324,1901028.010000000009313,2105765.419999999925494,2093097.250000000000000,2207939.059999999590218,2303664.799999999813735,10611494.539999999105930
