訓練日期,20170113 - 20170418
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10690855.339999999850988
真實報酬,690855.339999999850988

夏普值報酬,0.060385534000000
夏普值風險,0.016848607476905
夏普值,3.584007407304940

預期報酬,9462.513130198040017
風險,35790.154703332453209
趨勢值,0.264388718311882
找到最佳解世代,2501
找到最佳解實驗#,6
找到最佳解次數,10

stock[index](rank)
投資組合檔數,3
DIS[6](2),KO[14](9),MCD[15](1),
Stock#,DIS[6](2),KO[14](9),MCD[15](1),
張數,30999,81400,27300,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,10.529999999795109,3.000000000000000,3.000000000000000,
20170113,3349762.469999999739230,3327635.000000000000000,3316953.000000000000000,9994351.469999998807907
20170117,3346972.559999999590218,3355311.000000000000000,3351078.000000000000000,10053362.559999998658895
20170118,3352862.369999999646097,3361009.000000000000000,3349986.000000000000000,10063858.369999999180436
20170119,3325583.250000000000000,3348799.000000000000000,3335517.000000000000000,10009900.250000000000000
20170120,3337362.869999999646097,3363451.000000000000000,3337701.000000000000000,10038515.869999999180436
20170123,3320623.410000000149012,3372405.000000000000000,3313677.000000000000000,10006706.410000000149012
20170124,3344802.629999999888241,3410663.000000000000000,3304668.000000000000000,10060134.629999998956919
20170125,3349142.489999999757856,3428571.000000000000000,3324870.000000000000000,10102584.490000000223517
20170126,3349762.469999999739230,3403337.000000000000000,3327327.000000000000000,10080427.469999998807907
20170127,3388201.229999999515712,3374033.000000000000000,3354081.000000000000000,10116316.230000000447035
20170130,3439039.589999999850988,3368335.000000000000000,3358449.000000000000000,10165824.589999999850988
20170131,3430049.879999999888241,3383801.000000000000000,3346164.000000000000000,10160015.879999998956919
20170201,3450199.229999999515712,3358567.000000000000000,3342069.000000000000000,10150836.230000000447035
20170202,3428809.919999999925494,3369963.000000000000000,3363909.000000000000000,10162682.919999999925494
20170203,3419200.229999999515712,3381359.000000000000000,3391755.000000000000000,10192315.230000000447035
20170206,3396570.959999999497086,3382987.000000000000000,3397488.000000000000000,10177046.959999999031425
20170207,3378901.529999999795109,3410663.000000000000000,3401310.000000000000000,10190875.529999999329448
20170208,3378901.529999999795109,3420431.000000000465661,3403494.000000000000000,10202827.530000001192093
20170209,3394091.039999999571592,3357753.000000000000000,3398307.000000000000000,10150152.039999999105930
20170210,3386961.270000000018626,3303215.000000000000000,3434889.000000000000000,10125066.269999999552965
20170213,3399050.879999999888241,3306471.000000000000000,3427245.000000000000000,10132767.879999998956919
20170214,3420130.199999999720603,3299145.000000000000000,3434616.000000000000000,10153892.199999999254942
20170215,3415480.350000000093132,3291819.000000000000000,3452907.000000000000000,10160207.349999999627471
20170216,3431909.819999999832362,3353683.000000000000000,3458913.000000000000000,10244506.820000000298023
20170217,3411760.469999999739230,3356124.999999999534339,3488943.000000000000000,10256829.469999998807907
20170221,3410210.520000000018626,3374847.000000000000000,3495495.000000000000000,10280553.519999999552965
20170222,3413620.410000000149012,3386243.000000000000000,3490308.000000000000000,10290172.410000000149012
20170223,3401530.799999999813735,3391126.999999999534339,3501774.000000000465661,10294432.799999998882413
20170224,3419820.209999999497086,3400895.000000000000000,3512148.000000000000000,10332864.209999999031425
20170227,3417030.299999999813735,3391941.000000000000000,3466830.000000000000000,10275802.300000000745058
20170228,3412690.439999999944121,3415547.000000000000000,3484848.000000000000000,10313086.439999999478459
20170301,3442139.489999999757856,3431826.999999999534339,3523068.000000000465661,10397035.490000000223517
20170302,3428189.939999999944121,3457061.000000000000000,3500681.999999999534339,10385933.939999999478459
20170303,3448339.289999999571592,3457874.999999999534339,3491673.000000000000000,10397888.289999999105930
20170306,3430669.859999999869615,3433455.000000000000000,3495222.000000000000000,10359347.859999999403954
20170307,3436559.669999999925494,3417989.000000000000000,3496314.000000000000000,10350863.669999999925494
20170308,3435939.689999999944121,3417989.000000000000000,3496860.000000000000000,10350789.689999999478459
20170309,3441829.500000000000000,3421245.000000000000000,3498224.999999999534339,10361300.500000000000000
20170310,3438419.609999999869615,3442409.000000000000000,3493857.000000000000000,10374686.609999999403954
20170313,3457019.009999999776483,3421245.000000000000000,3483756.000000000000000,10362021.009999999776483
20170314,3481508.219999999739230,3416361.000000000000000,3488943.000000000000000,10386813.219999998807907
20170315,3467868.660000000149012,3428571.000000000000000,3491127.000000000000000,10387567.660000000149012
20170316,3462908.819999999832362,3439153.000000000000000,3493857.000000000000000,10395919.820000000298023
20170317,3464458.770000000018626,3421245.000000000000000,3511874.999999999534339,10397579.769999999552965
20170320,3493907.819999999832362,3433455.000000000000000,3515697.000000000000000,10443060.820000000298023
20170321,3464148.779999999795109,3459503.000000000000000,3508599.000000000465661,10432251.779999999329448
20170322,3474378.449999999720603,3449735.000000000000000,3524433.000000000000000,10448547.449999999254942
20170323,3479338.289999999571592,3432641.000000000000000,3521703.000000000000000,10433683.289999999105930
20170324,3476238.389999999664724,3428571.000000000000000,3530985.000000000000000,10435795.390000000596046
20170327,3483678.149999999441206,3444851.000000000000000,3535080.000000000465661,10463610.150000000372529
20170328,3504447.479999999515712,3453805.000000000000000,3533987.999999999534339,10492241.479999998584390
20170329,3488328.000000000000000,3452991.000000000000000,3517335.000000000000000,10458655.000000000000000
20170330,3508477.350000000093132,3467643.000000000000000,3530439.000000000000000,10506560.349999999627471
20170331,3514987.139999999664724,3454619.000000000000000,3538356.000000000465661,10507963.140000000596046
20170403,3509097.330000000074506,3452176.999999999534339,3538356.000000000465661,10499631.330000000074506
20170404,3504137.489999999757856,3474155.000000000000000,3529620.000000000000000,10507913.490000000223517
