訓練日期,20130325 - 20130625
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11525395.060000000521541
真實報酬,1525395.060000000521541

夏普值報酬,0.143839506000000
夏普值風險,0.051502720194158
夏普值,2.792852599974240

預期報酬,31064.738535952605162
風險,163138.015233710757457
趨勢值,0.190419985749179
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](11),INTC[11](3),UNH[23](6),
Stock#,BA[2](1),CSCO[4](11),INTC[11](3),UNH[23](6),
張數,29474,120481,117205,45905,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.320000000298023,19.250000000000000,17.350000000093132,13.700000000186265,
20130325,2500884.220000000204891,2512048.100000000093132,2478903.100000000093132,2518362.000000000000000,10010197.419999999925494
20130326,2553053.200000000651926,2512048.100000000093132,2551570.200000000186265,2554626.950000000186265,10171298.450000001117587
20130327,2540674.120000000577420,2509638.479999999981374,2558602.500000000000000,2599154.800000000279397,10208069.900000000372529
20130328,2530358.220000000204891,2518072.149999999906868,2559774.550000000279397,2626238.750000000000000,10234443.669999999925494
20130401,2512673.820000000298023,2509638.479999999981374,2511720.500000000000000,2707031.550000000279397,10241064.350000001490116
20130402,2478483.980000000447035,2556626.069999999832362,2515236.650000000372529,2834188.400000000372529,10384535.100000001490116
20130403,2486441.960000000428408,2554216.449999999720603,2467182.600000000093132,2830975.050000000279397,10338816.060000000521541
20130404,2503831.620000000577420,2534939.489999999757856,2477731.050000000279397,2847500.850000000093132,10364003.009999999776483
20130405,2539789.900000000372529,2483132.660000000149012,2454290.050000000279397,2850714.200000000186265,10327926.810000002384186
20130408,2556884.820000000298023,2478313.419999999925494,2471870.800000000279397,2841074.150000000372529,10348143.190000001341105
20130409,2570442.860000000335276,2526505.819999999832362,2549226.100000000093132,2854386.600000000093132,10500561.379999998956919
20130410,2588422.000000000000000,2586746.319999999832362,2609000.650000000372529,2864944.750000000000000,10649113.720000000670552
20130411,2609348.540000000502914,2613252.140000000130385,2558602.500000000000000,2891110.600000000093132,10672313.780000001192093
20130412,2619959.180000000167638,2595179.989999999757856,2541021.750000000000000,2893405.850000000093132,10649566.769999999552965
20130415,2557474.300000000279397,2536144.300000000279397,2505860.250000000000000,2827302.650000000372529,10426781.500000000000000
20130416,2561011.180000000167638,2549397.209999999962747,2569150.950000000186265,2883306.750000000465661,10562866.090000001713634
20130417,2555116.380000000353903,2485542.279999999795109,2570323.000000000000000,2847500.850000000093132,10458482.509999999776483
20130418,2538316.200000000651926,2479518.229999999981374,2606656.549999999813735,2740083.149999999906868,10364574.130000000819564
20130419,2592548.360000000335276,2465060.510000000242144,2630097.550000000279397,2756149.900000000372529,10443856.320000002160668
20130422,2562484.880000000353903,2480723.040000000037253,2681667.750000000000000,2718507.800000000279397,10443383.470000000670552
20130423,2599032.640000000596046,2519276.959999999962747,2740270.250000000000000,2687292.400000000372529,10545872.250000000000000
20130424,2677138.740000000223517,2456626.839999999850988,2773087.649999999906868,2698768.650000000372529,10605621.880000000819564
20130425,2701896.900000000372529,2486747.089999999850988,2740270.250000000000000,2724016.400000000372529,10652930.640000000596046
20130426,2736676.220000000204891,2490361.520000000018626,2742614.350000000093132,2730443.100000000093132,10700095.189999999478459
20130429,2708675.920000000391155,2527710.629999999888241,2784808.150000000372529,2754772.750000000000000,10775967.450000001117587
20130430,2694233.660000000149012,2520481.770000000018626,2807077.100000000093132,2751100.350000000093132,10772892.879999998956919
20130501,2687454.640000000596046,2455422.029999999795109,2811765.299999999813735,2741460.300000000279397,10696102.269999999552965
20130502,2717812.860000000335276,2497590.379999999888241,2825829.899999999906868,2730443.100000000093132,10771676.240000000223517
20130503,2762908.080000000074506,2509638.479999999981374,2808249.150000000372529,2704736.300000000279397,10785532.010000001639128
20130506,2776171.380000000353903,2507228.859999999869615,2802388.899999999906868,2763494.700000000186265,10849283.839999999850988
20130507,2793855.780000000260770,2455422.029999999795109,2830518.100000000093132,2777266.200000000186265,10857062.109999999403954
20130508,2771750.280000000260770,2496385.569999999832362,2842238.600000000093132,2869535.250000000000000,10979909.699999999254942
20130509,2788550.460000000428408,2509638.479999999981374,2855131.149999999906868,2846582.750000000000000,10999902.839999999850988
20130510,2777645.080000000074506,2542168.350000000093132,2871539.850000000093132,2887897.250000000000000,11079250.529999999329448
20130513,2792971.560000000521541,2562650.120000000111759,2822313.750000000000000,2864026.650000000372529,11041962.080000001937151
20130514,2832761.460000000428408,2562650.120000000111759,2794184.550000000279397,2833729.350000000093132,11023325.480000000447035
20130515,2859582.800000000279397,2555421.260000000242144,2836378.350000000093132,2828220.750000000000000,11079603.160000000149012
20130516,2846614.240000000223517,2878310.339999999850988,2805905.050000000279397,2852550.400000000372529,11383380.030000001192093
20130517,2915583.400000000372529,2920478.689999999944121,2817625.549999999813735,2884683.900000000372529,11538371.540000000968575
20130520,2909688.600000000093132,2885539.199999999720603,2822313.750000000000000,2871830.500000000465661,11489372.050000000745058
20130521,2910572.820000000298023,2892768.060000000055879,2830518.100000000093132,2886061.050000000279397,11519920.030000001192093
20130522,2886404.140000000596046,2812045.790000000037253,2821141.700000000186265,2858977.100000000093132,11378568.730000000447035
20130523,2940046.820000000298023,2832527.560000000055879,2818797.600000000093132,2862649.500000000000000,11454021.480000000447035
20130524,2947415.320000000298023,2834937.180000000167638,2803560.950000000186265,2848878.000000000465661,11434791.449999999254942
20130528,2950657.460000000428408,2878310.339999999850988,2822313.750000000000000,2907636.400000000372529,11558917.950000001117587
20130529,2920593.980000000447035,2906020.970000000204891,2844582.700000000186265,2908095.450000000186265,11579293.100000001490116
