代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12659079.059999998658895
真實報酬,2659079.059999998658895

夏普值報酬,0.257207906000000
夏普值風險,0.065694365195621
夏普值,3.915220205478814

預期報酬,20983.023363835851342
風險,110861.242238822858781
趨勢值,0.189272850818622
找到最佳解世代,1701
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),BA[2](3),DD[7](5),MSFT[18](22),NKE[19](6),UNH[23](15),
Stock#,AAPL[0](1),BA[2](3),DD[7](5),MSFT[18](22),NKE[19](6),UNH[23](15),
張數,29420,16269,36382,48253,52345,25453,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,23.000000000000000,69.640000000130385,6.579999999841675,7.380000000121072,1.199999999953434,3.559999999823049,
20130701,1719916.199999999953434,1679681.199999999953434,1683765.539999999804422,1657980.460000000195578,1631594.850000000093132,1670483.949999999720603,10043426.199999999254942
20130702,1758750.600000000093132,1650885.070000000065193,1680854.979999999981374,1637714.199999999953434,1638923.149999999906868,1661320.869999999646097,10028452.869999999180436
20130703,1768459.199999999953434,1673987.050000000046566,1680127.339999999850988,1641091.909999999916181,1645204.550000000046566,1668193.179999999934807,10077067.230000000447035
20130705,1754337.600000000093132,1695299.440000000176951,1693588.679999999701977,1650742.510000000242144,1665619.099999999860302,1684228.569999999832362,10143819.900000000372529
20130708,1744334.800000000046566,1698065.170000000158325,1714326.419999999692664,1656532.870000000111759,1667712.899999999906868,1719608.239999999990687,10200584.400000000372529
20130709,1775225.800000000046566,1703108.560000000288710,1762714.479999999981374,1657497.930000000167638,1673470.849999999860302,1730043.969999999739230,10302065.589999999850988
20130710,1768165.000000000000000,1716449.140000000130385,1750708.419999999692664,1674386.480000000214204,1664572.199999999953434,1722917.129999999655411,10297202.369999999180436
20130711,1795819.800000000046566,1738900.360000000102445,1771809.979999999981374,1722156.949999999953434,1667712.899999999906868,1739970.639999999897555,10436374.630000000819564
20130712,1792583.600000000093132,1657392.670000000158325,1767807.959999999962747,1721191.890000000130385,1666666.000000000000000,1730807.559999999823049,10336453.680000001564622
20130715,1796408.199999999953434,1719052.180000000167638,1782360.760000000009313,1745318.390000000130385,1658290.800000000046566,1721135.419999999925494,10422569.750000000000000
20130716,1808176.199999999953434,1695787.510000000242144,1760167.739999999990687,1750143.690000000176951,1641016.949999999953434,1703063.789999999804422,10358359.879999998956919
