代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13052210.280000001192093
真實報酬,3052210.280000001192093

夏普值報酬,0.296521028000000
夏普值風險,0.096264624080016
夏普值,3.080269941671706

二次趨勢線,55.469305273133621 x^2 + -1059.458038984516406 x + 10000000.000000000000000
二次平均預期報酬,12974.276195118289252
風險,374857.366997699718922
二次平均趨勢值,0.034611234398384
一次趨勢線,9445.000457037011074 x + 10000000.000000000000000
一次預期報酬,9445.000457037011074
一次風險,545123.691259381361306
一次趨勢值,0.017326343742677
找到最佳解世代,1915
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,103852,
分配資金,10000000.000000000000000,
剩餘資金,90.919999999925494,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9952228.080000000074506,9952228.080000000074506
FS( 3 ),9998961.480000000447035,9998961.480000000447035
FS( 4 ),10006231.119999999180436,10006231.119999999180436
FS( 5 ),10058157.119999999180436,10058157.119999999180436
FS( 6 ),10027001.519999999552965,10027001.519999999552965
FS( 7 ),10156816.519999999552965,10156816.519999999552965
FS( 8 ),10119429.799999998882413,10119429.799999998882413
FS( 9 ),10133969.080000000074506,10133969.080000000074506
FS( 10 ),10015577.799999998882413,10015577.799999998882413
FS( 11 ),9931457.679999999701977,9931457.679999999701977
FS( 12 ),9853568.679999999701977,9853568.679999999701977
FS( 13 ),9988576.280000001192093,9988576.280000001192093
FS( 14 ),9852530.160000000149012,9852530.160000000149012
FS( 15 ),10160970.599999999627471,10160970.599999999627471
FS( 16 ),10073734.919999999925494,10073734.919999999925494
FS( 17 ),10254437.399999998509884,10254437.399999998509884
FS( 18 ),10015577.799999998882413,10015577.799999998882413
FS( 19 ),10056080.080000000074506,10056080.080000000074506
FS( 20 ),10075811.959999999031425,10075811.959999999031425
FS( 21 ),10027001.519999999552965,10027001.519999999552965
FS( 22 ),10156816.519999999552965,10156816.519999999552965
FS( 23 ),9983383.679999999701977,9983383.679999999701977
FS( 24 ),9983383.679999999701977,9983383.679999999701977
FS( 25 ),10010385.199999999254942,10010385.199999999254942
FS( 26 ),10050887.480000000447035,10050887.480000000447035
FS( 27 ),10201472.880000000819564,10201472.880000000819564
FS( 28 ),10126699.440000001341105,10126699.440000001341105
FS( 29 ),10172394.320000000298023,10172394.320000000298023
FS( 30 ),10110083.119999999180436,10110083.119999999180436
FS( 31 ),10147469.839999999850988,10147469.839999999850988
FS( 32 ),10181741.000000000000000,10181741.000000000000000
FS( 33 ),10179663.959999999031425,10179663.959999999031425
FS( 34 ),10455910.280000001192093,10455910.280000001192093
FS( 35 ),10396714.640000000596046,10396714.640000000596046
FS( 36 ),10310517.480000000447035,10310517.480000000447035
FS( 37 ),10280400.399999998509884,10280400.399999998509884
FS( 38 ),10225358.839999999850988,10225358.839999999850988
FS( 39 ),10246129.240000000223517,10246129.240000000223517
FS( 40 ),10019731.880000000819564,10019731.880000000819564
FS( 41 ),9962613.280000001192093,9962613.280000001192093
FS( 42 ),9992730.359999999403954,9992730.359999999403954
FS( 43 ),10000000.000000000000000,10000000.000000000000000
FS( 44 ),10023885.959999999031425,10023885.959999999031425
FS( 45 ),10002077.040000000968575,10002077.040000000968575
FS( 46 ),9922111.000000000000000,9922111.000000000000000
FS( 47 ),9899263.559999998658895,9899263.559999998658895
FS( 48 ),9837990.880000000819564,9837990.880000000819564
FS( 49 ),9897186.519999999552965,9897186.519999999552965
FS( 50 ),9927303.599999999627471,9927303.599999999627471
FS( 51 ),9872262.040000000968575,9872262.040000000968575
FS( 52 ),9793334.519999999552965,9793334.519999999552965
FS( 53 ),9827605.679999999701977,9827605.679999999701977
FS( 54 ),9888878.359999999403954,9888878.359999999403954
FS( 55 ),9987537.759999999776483,9987537.759999999776483
FS( 56 ),9978191.080000000074506,9978191.080000000074506
FS( 57 ),10060234.160000000149012,10060234.160000000149012
FS( 58 ),10092428.280000001192093,10092428.280000001192093
FS( 59 ),10036348.199999999254942,10036348.199999999254942
FS( 60 ),9948074.000000000000000,9948074.000000000000000
FS( 61 ),10103852.000000000000000,10103852.000000000000000
FS( 62 ),9911725.799999998882413,9911725.799999998882413
FS( 63 ),9873300.559999998658895,9873300.559999998658895
FS( 64 ),9944958.440000001341105,9944958.440000001341105
FS( 65 ),9987537.759999999776483,9987537.759999999776483
FS( 66 ),9933534.720000000670552,9933534.720000000670552
FS( 67 ),10040502.280000001192093,10040502.280000001192093
FS( 68 ),9953266.599999999627471,9953266.599999999627471
FS( 69 ),10020770.399999998509884,10020770.399999998509884
FS( 70 ),10141238.720000000670552,10141238.720000000670552
FS( 71 ),10222243.280000001192093,10222243.280000001192093
FS( 72 ),10258591.480000000447035,10258591.480000000447035
FS( 73 ),10288708.559999998658895,10288708.559999998658895
FS( 74 ),10163047.640000000596046,10163047.640000000596046
FS( 75 ),10125660.919999999925494,10125660.919999999925494
FS( 76 ),10124622.399999998509884,10124622.399999998509884
FS( 77 ),10106967.559999998658895,10106967.559999998658895
FS( 78 ),10133969.080000000074506,10133969.080000000074506
FS( 79 ),10083081.599999999627471,10083081.599999999627471
FS( 80 ),9980268.119999999180436,9980268.119999999180436
FS( 81 ),9974037.000000000000000,9974037.000000000000000
FS( 82 ),10108006.080000000074506,10108006.080000000074506
FS( 83 ),10199395.839999999850988,10199395.839999999850988
FS( 84 ),10299093.759999999776483,10299093.759999999776483
FS( 85 ),10370751.640000000596046,10370751.640000000596046
FS( 86 ),10325056.759999999776483,10325056.759999999776483
FS( 87 ),10295978.199999999254942,10295978.199999999254942
FS( 88 ),10364520.519999999552965,10364520.519999999552965
FS( 89 ),10317787.119999999180436,10317787.119999999180436
FS( 90 ),10273130.759999999776483,10273130.759999999776483
FS( 91 ),10321941.199999999254942,10321941.199999999254942
FS( 92 ),10261707.040000000968575,10261707.040000000968575
FS( 93 ),10206665.480000000447035,10206665.480000000447035
FS( 94 ),10319864.160000000149012,10319864.160000000149012
FS( 95 ),10309478.959999999031425,10309478.959999999031425
FS( 96 ),10453833.240000000223517,10453833.240000000223517
FS( 97 ),10464218.440000001341105,10464218.440000001341105
FS( 98 ),10499528.119999999180436,10499528.119999999180436
FS( 99 ),10360366.440000001341105,10360366.440000001341105
FS( 100 ),10087235.679999999701977,10087235.679999999701977
FS( 101 ),9644826.160000000149012,9644826.160000000149012
FS( 102 ),9472431.839999999850988,9472431.839999999850988
FS( 103 ),9881608.720000000670552,9881608.720000000670552
FS( 104 ),10108006.080000000074506,10108006.080000000074506
FS( 105 ),9995845.919999999925494,9995845.919999999925494
FS( 106 ),9868107.959999999031425,9868107.959999999031425
FS( 107 ),9707137.359999999403954,9707137.359999999403954
FS( 108 ),9974037.000000000000000,9974037.000000000000000
FS( 109 ),9970921.440000001341105,9970921.440000001341105
FS( 110 ),9850453.119999999180436,9850453.119999999180436
FS( 111 ),10050887.480000000447035,10050887.480000000447035
FS( 112 ),9910687.280000001192093,9910687.280000001192093
FS( 113 ),9891993.919999999925494,9891993.919999999925494
FS( 114 ),10116314.240000000223517,10116314.240000000223517
FS( 115 ),10070619.359999999403954,10070619.359999999403954
FS( 116 ),10197318.799999998882413,10197318.799999998882413
FS( 117 ),10249244.799999998882413,10249244.799999998882413
FS( 118 ),10160970.599999999627471,10160970.599999999627471
FS( 119 ),10078927.519999999552965,10078927.519999999552965
FS( 120 ),10167201.720000000670552,10167201.720000000670552
FS( 121 ),10094505.320000000298023,10094505.320000000298023
FS( 122 ),10113198.679999999701977,10113198.679999999701977
FS( 123 ),10103852.000000000000000,10103852.000000000000000
FS( 124 ),10135007.599999999627471,10135007.599999999627471
FS( 125 ),9965728.839999999850988,9965728.839999999850988
FS( 126 ),10123583.880000000819564,10123583.880000000819564
FS( 127 ),10232628.480000000447035,10232628.480000000447035
FS( 128 ),10258591.480000000447035,10258591.480000000447035
FS( 129 ),10363482.000000000000000,10363482.000000000000000
FS( 130 ),10506797.759999999776483,10506797.759999999776483
FS( 131 ),10582609.720000000670552,10582609.720000000670552
FS( 132 ),10569108.959999999031425,10569108.959999999031425
FS( 133 ),10691654.320000000298023,10691654.320000000298023
FS( 134 ),10671922.440000001341105,10671922.440000001341105
FS( 135 ),10721771.399999998509884,10721771.399999998509884
FS( 136 ),10736310.679999999701977,10736310.679999999701977
FS( 137 ),10678153.559999998658895,10678153.559999998658895
FS( 138 ),10765389.240000000223517,10765389.240000000223517
FS( 139 ),10885857.559999998658895,10885857.559999998658895
FS( 140 ),10851586.399999998509884,10851586.399999998509884
FS( 141 ),10784082.599999999627471,10784082.599999999627471
FS( 142 ),10649075.000000000000000,10649075.000000000000000
FS( 143 ),11514162.160000000149012,11514162.160000000149012
FS( 144 ),11692787.599999999627471,11692787.599999999627471
FS( 145 ),11650208.280000001192093,11650208.280000001192093
