代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13713511.949999997392297
真實報酬,3713511.949999997392297

夏普值報酬,0.362651195000000
夏普值風險,0.086200934708452
夏普值,4.207044810204859

二次趨勢線,-14.908671359573296 x^2 + 17833.722607079660520 x + 10000000.000000000000000
二次平均預期報酬,14091.646095826761666
風險,225379.555695234710583
二次平均趨勢值,0.062524065469727
一次趨勢線,15032.767134585010353 x + 10000000.000000000000000
一次預期報酬,15032.767134585010353
一次風險,248510.558954160369467
一次趨勢值,0.060491462406464
找到最佳解世代,3169
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](3),PG[21](1),
Stock#,MCD[15](2),MRK[17](3),PG[21](1),
張數,21249,55132,42663,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.370000000111759,52.279999999795109,72.810000000055879,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3325045.889999999664724,3347116.000000000000000,3323520.510000000242144,9995683.400000000372529
FS( 3 ),3342895.049999999813735,3398388.759999999776483,3379409.039999999571592,10120693.849999999627471
FS( 4 ),3387517.949999999720603,3429262.680000000167638,3383675.340000000316650,10200456.970000000670552
FS( 5 ),3398567.430000000167638,3419338.919999999925494,3321813.990000000223517,10139721.339999999850988
FS( 6 ),3413016.750000000000000,3434775.879999999422580,3405433.469999999739230,10253227.099999997764826
FS( 7 ),3370518.750000000000000,3412723.079999999608845,3377275.890000000130385,10160518.720000000670552
FS( 8 ),3381143.250000000000000,3454623.399999999441206,3365756.879999999888241,10201524.529999999329448
FS( 9 ),3368181.359999999869615,3467303.759999999776483,3383675.340000000316650,10219161.459999999031425
FS( 10 ),3373918.590000000316650,3450764.160000000149012,3393061.200000000186265,10217744.949999999254942
FS( 11 ),3394530.120000000111759,3447456.239999999757856,3414392.700000000186265,10256380.059999998658895
FS( 12 ),3355856.940000000409782,3470060.359999999869615,3401167.169999999925494,10227085.470000000670552
FS( 13 ),3344807.459999999962747,3446353.599999999627471,3358930.800000000279397,10150092.859999999403954
FS( 14 ),3356706.899999999906868,3446904.919999999925494,3356797.650000000372529,10160410.470000000670552
FS( 15 ),3373281.120000000111759,3456277.359999999869615,3349544.940000000409782,10179104.420000001788139
FS( 16 ),3356069.430000000167638,3496523.719999999739230,3370023.179999999701977,10222617.330000000074506
FS( 17 ),3376255.979999999981374,3555514.959999999497086,3390501.419999999925494,10322273.359999999403954
FS( 18 ),3317821.229999999981374,3529051.600000000093132,3416952.479999999981374,10263826.310000000521541
FS( 19 ),3346294.889999999664724,3500382.959999999962747,3437857.350000000093132,10284536.199999999254942
FS( 20 ),3370943.729999999981374,3573157.199999999720603,3421645.410000000149012,10365747.339999999850988
FS( 21 ),3347569.830000000074506,3631597.120000000111759,3450656.250000000000000,10429824.199999999254942
FS( 22 ),3334395.449999999720603,3610646.959999999497086,3440843.760000000242144,10385887.169999999925494
FS( 23 ),3302309.459999999962747,3595761.319999999832362,3498438.810000000055879,10396510.589999999850988
FS( 24 ),3319308.660000000149012,3634905.040000000037253,3512517.600000000093132,10466732.300000000745058
FS( 25 ),3330145.649999999906868,3650893.319999999832362,3520623.569999999832362,10501663.539999999105930
FS( 26 ),3315696.330000000074506,3670740.839999999850988,3525743.129999999888241,10512181.300000000745058
FS( 27 ),3376893.449999999720603,3676805.359999999869615,3513370.859999999869615,10567070.669999999925494
FS( 28 ),3384968.070000000298023,3638764.279999999795109,3472841.010000000242144,10496574.359999999403954
FS( 29 ),3371793.690000000409782,3642623.519999999552965,3474120.900000000372529,10488539.109999999403954
FS( 30 ),3360319.229999999981374,3678459.319999999832362,3477960.569999999832362,10516740.119999999180436
FS( 31 ),3412591.770000000018626,3664124.999999999534339,3469001.340000000316650,10545719.109999999403954
FS( 32 ),3397292.490000000223517,3714295.120000000111759,3511237.709999999962747,10622826.320000000298023
FS( 33 ),3436603.139999999664724,3795890.479999999515712,3570539.279999999795109,10803033.899999998509884
FS( 34 ),3424278.720000000204891,3807468.199999999720603,3570539.279999999795109,10802287.199999999254942
FS( 35 ),3435540.690000000409782,3868664.719999999739230,3568406.129999999888241,10872612.539999999105930
FS( 36 ),3421941.330000000074506,3813532.719999999739230,3579498.510000000242144,10814973.560000000521541
FS( 37 ),3411529.320000000298023,3806365.560000000055879,3557740.379999999888241,10775636.260000001639128
FS( 38 ),3379655.820000000298023,3802506.319999999832362,3551340.929999999701977,10733504.070000000298023
FS( 39 ),3386667.990000000223517,3806365.560000000055879,3556460.490000000223517,10749495.040000000968575
FS( 40 ),3410041.889999999664724,3803608.959999999497086,3559873.529999999795109,10773525.379999998956919
FS( 41 ),3434690.729999999981374,3783761.439999999478459,3561580.050000000279397,10780033.220000000670552
FS( 42 ),3465926.760000000242144,3793685.199999999720603,3562006.679999999701977,10821619.640000000596046
FS( 43 ),3459339.570000000298023,3778799.560000000055879,3558593.640000000130385,10796733.770000001415610
FS( 44 ),3447227.639999999664724,3781556.160000000149012,3538968.660000000149012,10767753.460000000894070
FS( 45 ),3436390.649999999906868,3746271.680000000167638,3528302.910000000149012,10710966.240000000223517
FS( 46 ),3468689.130000000353903,3783210.120000000111759,3553474.080000000540167,10805374.330000000074506
FS( 47 ),3479313.630000000353903,3825110.439999999478459,3526169.760000000242144,10830594.830000000074506
FS( 48 ),3482713.470000000204891,3841098.719999999739230,3494599.140000000130385,10818412.330000000074506
FS( 49 ),3507574.799999999813735,3835034.199999999720603,3514650.750000000000000,10857260.750000000000000
FS( 50 ),3498012.750000000000000,3808570.839999999850988,3498865.440000000409782,10805450.030000001192093
FS( 51 ),3500562.630000000353903,3851573.799999999813735,3545794.740000000223517,10897932.169999999925494
FS( 52 ),3450839.970000000204891,3905051.839999999850988,3560300.160000000149012,10916192.970000000670552
FS( 53 ),3417691.530000000260770,3858189.640000000130385,3567126.240000000223517,10843008.410000000149012
FS( 54 ),3360319.229999999981374,3882447.719999999739230,3594430.560000000055879,10837198.509999999776483
FS( 55 ),3352457.100000000558794,3882447.719999999739230,3583764.810000000055879,10818670.630000000819564
FS( 56 ),3382418.190000000409782,3858189.640000000130385,3583764.810000000055879,10824373.640000000596046
FS( 57 ),3416629.080000000074506,3902295.239999999757856,3641786.490000000223517,10960711.810000000521541
FS( 58 ),3512462.070000000298023,3919937.479999999515712,3661411.469999999739230,11093812.019999999552965
FS( 59 ),3470176.560000000055879,3902295.239999999757856,3595283.819999999832362,10967756.619999999180436
FS( 60 ),3536048.459999999962747,3895128.080000000074506,3546221.370000000111759,10977398.910000000149012
FS( 61 ),3522236.609999999869615,3877485.839999999850988,3552194.190000000409782,10951917.640000000596046
FS( 62 ),3538598.340000000316650,3898987.319999999832362,3535128.990000000223517,10972715.650000000372529
FS( 63 ),3554747.580000000074506,3911116.359999999869615,3550914.300000000279397,11016779.240000000223517
FS( 64 ),3541573.199999999720603,3943644.239999999757856,3569686.020000000018626,11054904.459999999031425
FS( 65 ),3509912.190000000409782,3955773.279999999795109,3599123.490000000223517,11064809.960000000894070
FS( 66 ),3498862.709999999962747,3934823.120000000111759,3542381.700000000186265,10976068.530000001192093
FS( 67 ),3523086.570000000298023,3926553.319999999832362,3495025.770000000018626,10944666.660000000149012
FS( 68 ),3539448.299999999813735,3916078.239999999757856,3504838.260000000242144,10960365.799999998882413
FS( 69 ),3564947.100000000558794,3939784.999999999534339,3515504.010000000242144,11020237.109999999403954
FS( 70 ),3608720.040000000502914,3988301.160000000149012,3506971.410000000149012,11103993.610000001266599
FS( 71 ),3577696.500000000000000,3884101.680000000167638,3474547.529999999795109,10936346.709999999031425
FS( 72 ),3462951.899999999906868,3769427.120000000111759,3364903.620000000111759,10597283.640000000596046
FS( 73 ),3481013.549999999813735,3848817.199999999720603,3373009.590000000316650,10702841.339999999850988
FS( 74 ),3477826.199999999720603,3829520.999999999534339,3418659.000000000000000,10726007.199999999254942
FS( 75 ),3486325.799999999813735,3926553.319999999832362,3456202.440000000409782,10869082.559999998658895
FS( 76 ),3543698.100000000558794,3959632.519999999552965,3492465.990000000223517,10995797.609999999403954
FS( 77 ),3544548.060000000055879,3981133.999999999534339,3423351.929999999701977,10949034.989999998360872
FS( 78 ),3558997.380000000353903,3988852.479999999515712,3724552.709999999962747,11272403.570000000298023
FS( 79 ),3540723.240000000223517,4000981.519999999552965,3694688.609999999869615,11236394.369999999180436
FS( 80 ),3764262.720000000204891,3975069.479999999515712,3718579.890000000130385,11457913.089999999850988
FS( 81 ),3768512.520000000018626,3889063.560000000055879,3816704.789999999571592,11474281.869999999180436
FS( 82 ),3725164.560000000055879,3857086.999999999534339,3797079.810000000055879,11379332.369999999180436
FS( 83 ),3683304.030000000260770,3881345.080000000074506,3748443.990000000223517,11313094.100000001490116
FS( 84 ),3680966.639999999664724,3939233.680000000167638,3764655.929999999701977,11384857.250000000000000
