代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14528007.250000000000000
真實報酬,4528007.250000000000000

夏普值報酬,0.444100725000000
夏普值風險,0.107475506584697
夏普值,4.132111018709381

二次趨勢線,9.856723934934642 x^2 + 14793.106286818359877 x + 10000000.000000000000000
二次平均預期報酬,17277.000718421892088
風險,264995.324072952440474
二次平均趨勢值,0.065197379534386
一次趨勢線,16652.323490593145834 x + 10000000.000000000000000
一次預期報酬,16652.323490593145834
一次風險,274027.041355313209351
一次趨勢值,0.060768905901521
找到最佳解世代,2080
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,93861,64599,
FS( 73 ),5902942.819999999366701,5123384.089999999850988,11026326.910000000149012
FS( 74 ),5874784.519999999552965,5137595.869999999180436,11012380.389999998733401
FS( 75 ),5869152.859999999403954,5169895.369999999180436,11039048.229999998584390
FS( 76 ),5907635.869999999180436,5149869.679999999701977,11057505.549999998882413
FS( 77 ),5867275.639999998733401,5085916.669999999925494,10953192.309999998658895
FS( 78 ),5868214.250000000000000,5082686.719999999739230,10950900.969999998807907
FS( 79 ),5884170.619999999180436,5071704.889999999664724,10955875.509999997913837
FS( 80 ),5952689.149999999441206,5102712.409999999217689,11055401.559999998658895
FS( 81 ),6053120.419999998994172,5133719.929999999701977,11186840.349999997764826
FS( 82 ),6008067.139999999664724,5173771.309999999590218,11181838.449999999254942
FS( 83 ),5959259.419999999925494,5205424.819999999366701,11164684.239999998360872
FS( 84 ),6083155.939999999478459,5180877.199999999254942,11264033.139999998733401
FS( 85 ),6182648.599999999627471,5224804.519999999552965,11407453.119999999180436
FS( 86 ),6146981.419999998994172,5209946.750000000000000,11356928.169999998062849
FS( 87 ),6121638.949999999254942,5297155.399999999441206,11418794.349999997764826
FS( 88 ),6188280.259999999776483,5318473.069999999366701,11506753.329999998211861
FS( 89 ),6215499.949999999254942,5330746.879999998956919,11546246.829999998211861
FS( 90 ),6249289.909999999217689,5338498.759999999776483,11587788.669999998062849
FS( 91 ),6259614.619999999180436,5319765.049999998882413,11579379.669999998062849
