訓練日期,20100610 - 20100910
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11280645.900000000372529
真實報酬,1280645.900000000372529

夏普值報酬,0.119364590000000
夏普值風險,0.031562598233021
夏普值,3.781836625703367

預期報酬,17278.867376821639482
風險,151511.863773321529152
趨勢值,0.114042999317022
找到最佳解世代,2113
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](2),MCD[15](4),MRK[17](10),VZ[26](1),
Stock#,KO[14](2),MCD[15](4),MRK[17](10),VZ[26](1),
張數,97352,36624,74161,96264,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.640000000130385,45.759999999776483,32.689999999944121,23.919999999925494,
20100610,2553543.600000000093132,2540652.640000000130385,2569711.339999999850988,2551019.919999999925494,10214927.500000000000000
20100611,2514602.799999999813735,2546878.720000000204891,2585285.149999999906868,2570272.719999999739230,10217039.390000000596046
20100614,2507788.160000000149012,2538088.959999999497086,2597150.910000000149012,2577011.199999999720603,10220039.229999998584390
20100615,2539914.320000000298023,2578375.359999999869615,2671311.910000000149012,2620330.000000000000000,10409931.589999999850988
20100616,2550623.040000000037253,2574346.720000000204891,2670570.299999999813735,2626105.839999999850988,10421645.899999998509884
20100617,2548676.000000000000000,2565556.959999999497086,2659446.149999999906868,2618404.719999999739230,10392083.829999998211861
20100618,2546728.959999999962747,2559330.879999999422580,2645355.560000000055879,2621292.640000000130385,10372708.040000000968575
20100621,2554517.120000000111759,2560795.839999999850988,2604567.009999999776483,2615516.800000000279397,10335396.769999999552965
20100622,2553543.600000000093132,2513917.119999999646097,2605308.620000000111759,2615516.800000000279397,10288286.140000000596046
20100623,2542834.880000000353903,2513550.879999999422580,2626815.310000000055879,2639582.800000000279397,10322783.870000001043081
20100624,2521417.439999999944121,2480589.279999999795109,2640905.899999999906868,2606853.039999999571592,10249765.659999998286366
20100625,2446456.399999999906868,2469235.839999999850988,2664637.419999999925494,2569310.080000000074506,10149639.740000000223517
20100628,2486370.720000000204891,2465939.679999999701977,2665379.029999999795109,2583749.679999999701977,10201439.109999999403954
20100629,2450350.480000000447035,2434076.799999999348074,2627556.919999999925494,2576048.560000000055879,10088032.759999999776483
20100630,2439641.759999999776483,2412468.640000000130385,2593442.859999999869615,2522140.719999999739230,9967693.980000000447035
20100701,2435747.680000000167638,2443232.799999999348074,2554137.529999999795109,2531767.120000000111759,9964885.129999998956919
20100702,2436721.200000000186265,2422357.119999999646097,2537822.109999999869615,2580861.759999999776483,9977762.189999999478459
20100706,2455218.080000000074506,2421258.399999999906868,2569711.339999999850988,2561608.959999999962747,10007796.780000001192093
20100707,2505841.120000000111759,2465207.199999999720603,2627556.919999999925494,2552945.199999999720603,10151550.439999999478459
20100708,2551596.560000000055879,2527834.239999999757856,2659446.149999999906868,2577973.839999999850988,10316850.789999999105930
20100709,2550623.040000000037253,2535159.039999999571592,2692076.989999999757856,2565459.520000000018626,10343318.589999999850988
20100712,2553543.600000000093132,2561528.319999999832362,2676503.180000000167638,2550057.279999999795109,10341632.379999998956919
20100713,2566199.359999999869615,2594489.919999999925494,2703201.140000000130385,2588562.879999999888241,10452453.300000000745058
20100714,2571066.959999999962747,2596687.359999999869615,2684660.890000000130385,2583749.679999999701977,10436164.890000000596046
20100715,2573014.000000000000000,2612435.679999999701977,2706167.580000000074506,2579899.120000000111759,10471516.379999998956919
20100716,2549649.520000000484288,2561528.319999999832362,2663154.199999999720603,2569310.080000000074506,10343642.119999999180436
20100719,2544781.920000000391155,2560429.599999999627471,2654996.489999999757856,2572198.000000000000000,10332406.009999999776483
20100720,2591510.880000000353903,2595588.640000000130385,2644613.949999999720603,2567384.800000000279397,10399098.270000001415610
20100721,2632398.720000000204891,2567754.399999999906868,2609758.279999999795109,2552945.199999999720603,10362856.599999999627471
20100722,2641160.399999999906868,2614999.359999999869615,2609016.669999999925494,2599151.919999999925494,10464328.349999999627471
20100723,2665498.399999999906868,2560063.359999999869615,2586026.759999999776483,2697341.199999999720603,10508929.719999998807907
20100726,2674260.080000000074506,2595588.640000000130385,2615691.160000000149012,2722369.839999999850988,10607909.720000000670552
20100727,2680101.200000000186265,2578375.359999999869615,2609016.669999999925494,2752211.679999999701977,10619704.910000000149012
20100728,2671339.520000000484288,2555302.239999999757856,2576385.830000000074506,2783016.160000000149012,10586043.750000000000000
