訓練日期,20171208 - 20180314
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11952501.470000000670552
真實報酬,1952501.470000000670552

夏普值報酬,0.186550147000000
夏普值風險,0.055873096376732
夏普值,3.338818843010944

預期報酬,34087.117895371811755
風險,252871.228155277989572
趨勢值,0.134800301892947
找到最佳解世代,1986
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](1),INTC[11](8),
Stock#,BA[2](2),CSCO[4](1),INTC[11](8),
張數,11821,89126,77375,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,165.629999999888241,20.600000000093132,18.000000000000000,
20171208,3379789.529999999795109,3352049.459999999962747,3354224.250000000000000,10086064.240000000223517
20171211,3347399.990000000223517,3383243.560000000055879,3378210.499999999534339,10108855.050000000745058
20171212,3427546.369999999646097,3378787.259999999776483,3352676.750000000000000,10159011.379999998956919
20171213,3450006.269999999552965,3400177.500000000000000,3353450.500000000465661,10203635.269999999552965
20171214,3474121.109999999869615,3377896.000000000000000,3347260.500000000000000,10199278.609999999403954
20171215,3474830.369999999646097,3403742.540000000037253,3447848.000000000000000,10326421.910000000149012
20171218,3500836.569999999832362,3429589.079999999608845,3579385.500000000000000,10509812.149999998509884
20171219,3513957.879999999888241,3413546.399999999906868,3639738.000000000000000,10567243.279999999329448
20171220,3521641.529999999795109,3452761.840000000316650,3679973.000000000000000,10654377.370000001043081
20171221,3487715.259999999776483,3434045.380000000353903,3618073.000000000000000,10539834.640000000596046
20171222,3488542.729999999981374,3435827.899999999906868,3613430.500000000000000,10537802.129999998956919
20171226,3491616.189999999944121,3429589.079999999608845,3565458.000000000000000,10486664.269999999552965
20171227,3494689.649999999906868,3436719.160000000149012,3567779.250000000000000,10499189.060000000521541
20171228,3503318.979999999981374,3439392.940000000409782,3576290.500000000000000,10519003.419999999925494
20171229,3486296.740000000223517,3413546.399999999906868,3571647.999999999534339,10471492.140000000596046
20180102,3509111.269999999552965,3463456.959999999962747,3625036.750000000000000,10597605.980000000447035
20180103,3520459.430000000167638,3491086.020000000018626,3502010.500000000000000,10513556.949999999254942
20180104,3507101.700000000186265,3475043.340000000316650,3437789.250000000000000,10419935.290000000968575
20180105,3650963.269999999552965,3523171.380000000353903,3461775.500000000000000,10635911.150000000372529
20180108,3666448.779999999795109,3559713.040000000037253,3461775.500000000000000,10687938.320000000298023
20180109,3764326.660000000149012,3537431.540000000037253,3375115.500000000000000,10676874.699999999254942
20180110,3785959.089999999850988,3557039.259999999776483,3288455.500000000000000,10631454.849999999627471
20180111,3878872.149999999906868,3573973.200000000186265,3358866.749999999534339,10811713.099999999627471
20180112,3974504.039999999571592,3642600.219999999739230,3345713.000000000000000,10962818.259999999776483
20180116,3962091.990000000223517,3613188.640000000130385,3337975.500000000000000,10913257.130000000819564
20180117,4149454.839999999850988,3672011.800000000279397,3434694.250000000000000,11256161.890000000596046
20180118,4021196.990000000223517,3680924.399999999906868,3441657.999999999534339,11143780.390000000596046
20180119,3992471.959999999962747,3680033.140000000130385,3467965.500000000000000,11140471.599999999627471
20180122,3995663.629999999888241,3713009.759999999776483,3539924.250000000000000,11248598.640000000596046
20180123,3967175.019999999552965,3752225.200000000186265,3563910.500000000000000,11283311.719999998807907
20180124,3956536.119999999646097,3758464.020000000018626,3521354.250000000000000,11236355.390000000596046
20180125,4056068.939999999944121,3734400.000000000000000,3505105.500000000000000,11295575.439999999478459
20180126,4057369.250000000000000,3793223.160000000149012,3874958.000000000000000,11725551.410000000149012
20180129,4028998.849999999627471,3819069.700000000186265,3867220.499999999534339,11715290.049999998882413
20180130,3992235.539999999571592,3765594.100000000093132,3775144.250000000000000,11532974.890000000596046
20180131,4189173.399999999906868,3702314.640000000130385,3724850.500000000000000,11616339.539999999105930
20180201,4219553.370000000111759,3716574.800000000279397,3686936.750000000000000,11623065.919999999925494
20180202,4124630.740000000223517,3647947.780000000260770,3570874.250000000000000,11343453.769999999552965
20180205,3887856.109999999869615,3456326.880000000353903,3444753.000000000465661,10788936.990000000223517
20180206,4030062.740000000223517,3580212.020000000018626,3474929.249999999534339,11085205.009999999776483
20180207,4115292.149999999906868,3595363.440000000409782,3497368.000000000000000,11208024.589999999850988
20180208,3897076.490000000223517,3455435.620000000577420,3307799.250000000000000,10660312.360000001266599
20180209,3934549.059999999590218,3523171.380000000353903,3400649.250000000000000,10858370.689999999478459
20180212,4064225.430000000167638,3618536.200000000186265,3468739.250000000000000,11151501.880000000819564
20180213,4056659.990000000223517,3674685.579999999608845,3440110.500000000000000,11171457.070000000298023
20180214,4076637.479999999981374,3751333.940000000409782,3511295.500000000000000,11339267.919999999925494
20180215,4213879.290000000037253,3928694.680000000167638,3553078.000000000000000,11695652.970000000670552
20180216,4197093.469999999739230,3950976.180000000167638,3525223.000000000000000,11673293.650000000372529
20180220,4177115.979999999981374,3926912.160000000149012,3584028.000000000000000,11688057.140000000596046
20180221,4165531.399999999906868,3860067.660000000149012,3554625.500000000000000,11580225.560000000521541
20180222,4207495.950000000186265,3827091.040000000037253,3543793.000000000000000,11578380.990000000223517
20180223,4216243.490000000223517,3921564.600000000093132,3693126.749999999534339,11830935.839999999850988
20180226,4296862.709999999962747,4042775.959999999962747,3799904.250000000000000,12139543.919999999925494
20180227,4310575.069999999366701,4014255.640000000130385,3861804.249999999534339,12186635.959999999031425
20180228,4281850.040000000037253,3991082.880000000353903,3813831.750000000000000,12086765.669999999925494
20180301,4133851.119999999646097,3903739.399999999906868,3701638.000000000465661,11739229.519999999552965
20180302,4074509.700000000186265,3926912.160000000149012,3789845.499999999534339,11791268.359999999403954
20180305,4170023.379999999888241,3967910.120000000577420,3849424.250000000000000,11987358.750000000000000
20180306,4124748.950000000186265,3947411.140000000130385,3923704.250000000000000,11995865.339999999850988
20180307,4102525.470000000204891,3939389.800000000279397,3970903.000000000000000,12012819.269999999552965
20180308,4122502.959999999962747,3951867.440000000409782,3926025.500000000000000,12000396.900000000372529
20180309,4190946.549999999813735,4043667.219999999739230,4038219.250000000000000,12272834.019999999552965
20180312,4068835.619999999646097,4059709.899999999906868,3986378.000000000465661,12114924.519999999552965
20180313,4003583.700000000186265,4024950.759999999776483,4006495.500000000000000,12035030.960000000894070
20180314,3904169.089999999850988,4035645.880000000353903,4012685.500000000000000,11952501.470000000670552
