訓練日期,20170719 - 20171018
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11044519.219999998807907
真實報酬,1044519.219999998807907

夏普值報酬,0.095751922000000
夏普值風險,0.026942916972635
夏普值,3.553881047744507

預期報酬,15011.288855922706716
風險,57001.965483082851279
趨勢值,0.263346864072218
找到最佳解世代,2794
找到最佳解實驗#,3
找到最佳解次數,16

stock[index](rank)
投資組合檔數,6
AXP[1](14),CAT[3](1),HD[9](16),PG[21](6),UNH[23](7),V[25](2),
Stock#,AXP[1](14),CAT[3](1),HD[9](16),PG[21](6),UNH[23](7),V[25](2),
張數,19488,15566,10952,18802,8919,17079,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,52.239999999990687,14.380000000121072,100.160000000149012,56.719999999972060,150.850000000093132,97.179999999934807,
20170719,1674656.080000000074506,1678807.479999999981374,1679041.760000000242144,1661213.419999999925494,1687536.459999999962747,1678108.929999999934807,10059368.130000000819564
20170720,1663353.039999999804422,1670557.500000000000000,1610372.720000000204891,1665913.919999999925494,1708139.350000000093132,1675717.869999999878928,9994058.399999998509884
20170721,1668030.160000000149012,1659194.320000000065193,1606210.960000000195578,1666101.939999999944121,1710636.670000000158325,1701165.579999999841675,10011343.630000000819564
20170724,1656532.239999999990687,1683944.260000000242144,1583540.320000000298023,1658017.080000000074506,1702698.760000000009313,1714316.409999999916181,9999053.070000000298023
20170725,1664522.319999999832362,1782944.020000000251457,1609715.600000000093132,1676067.000000000000000,1698328.450000000186265,1707826.389999999897555,10139407.780000001192093
20170726,1662378.639999999897555,1767066.699999999953434,1606649.040000000037253,1679075.319999999832362,1701450.100000000093132,1722514.329999999841675,10139138.129999998956919
20170727,1634121.039999999804422,1780297.800000000279397,1618039.120000000111759,1705022.080000000074506,1685217.520000000251457,1700653.209999999729916,10123354.769999999552965
20170728,1652634.639999999897555,1776094.979999999981374,1621872.320000000298023,1696185.139999999897555,1705017.700000000186265,1693480.030000000027940,10145288.810000000521541
20170731,1661014.479999999981374,1773760.080000000074506,1638519.360000000102445,1707654.359999999869615,1710904.240000000223517,1700482.419999999925494,10192338.939999999478459
20170801,1661209.359999999869615,1760528.979999999981374,1641257.360000000102445,1712918.919999999925494,1714650.219999999972060,1722855.909999999916181,10213424.750000000000000
20170802,1662378.639999999897555,1760373.320000000065193,1648376.160000000149012,1711790.800000000046566,1721517.850000000093132,1729858.300000000046566,10234299.070000000298023
20170803,1667055.760000000009313,1767689.340000000083819,1651552.239999999990687,1708406.439999999944121,1737304.480000000214204,1718073.790000000037253,10250086.050000000745058
20170804,1675435.599999999860302,1779986.479999999981374,1673018.160000000149012,1704834.060000000055879,1738285.570000000065193,1723197.489999999990687,10294761.360000001266599
20170807,1673097.039999999804422,1785590.239999999990687,1679589.360000000102445,1719311.599999999860302,1737393.670000000158325,1733444.889999999897555,10328430.800000000745058
20170808,1674850.959999999962747,1780920.440000000176951,1679589.360000000102445,1721943.879999999888241,1738463.950000000186265,1729858.300000000046566,10325630.890000000596046
20170809,1669978.959999999962747,1779830.820000000065193,1700507.679999999934807,1728336.560000000055879,1737839.620000000111759,1724563.809999999823049,10341061.450000001117587
20170810,1647957.520000000018626,1761307.280000000260770,1685393.920000000158325,1724952.199999999953434,1717682.679999999934807,1699286.889999999897555,10236584.490000002086163
20170811,1642695.760000000009313,1756637.479999999981374,1696345.920000000158325,1717431.400000000139698,1721696.230000000214204,1709534.290000000037253,10244345.080000001937151
20170814,1665691.599999999860302,1770024.239999999990687,1689555.679999999934807,1723260.020000000018626,1727850.340000000083819,1739934.909999999916181,10316320.789999999105930
20170815,1691415.760000000009313,1769090.280000000260770,1644762.000000000000000,1733601.120000000111759,1734896.350000000093132,1752914.949999999953434,10326684.459999999031425
20170816,1703108.560000000055879,1776406.300000000279397,1667542.160000000149012,1738113.599999999860302,1728385.480000000214204,1764699.459999999729916,10378259.559999998658895
20170817,1677774.160000000149012,1761151.620000000111759,1639286.000000000000000,1731156.859999999869615,1718842.149999999906868,1744887.819999999832362,10273102.610000001266599
20170818,1663937.679999999934807,1773293.100000000093132,1615410.640000000363216,1738677.659999999916181,1702074.429999999934807,1750865.469999999972060,10244262.980000002309680
20170821,1662378.639999999897555,1768311.979999999981374,1634138.560000000055879,1746010.439999999944121,1712866.420000000158325,1762991.559999999823049,10286701.599999999627471
20170822,1662378.639999999897555,1802868.500000000000000,1641914.480000000214204,1744694.300000000046566,1737482.860000000102445,1777508.709999999729916,10366851.489999998360872
20170823,1661988.880000000121072,1786212.880000000121072,1633043.360000000102445,1738113.599999999860302,1732577.410000000149012,1762308.400000000139698,10314248.529999999329448
20170824,1663547.919999999925494,1786679.860000000102445,1623734.160000000149012,1734917.260000000009313,1737126.100000000093132,1762991.559999999823049,10309000.860000001266599
