訓練日期,20190208 - 20190513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11111783.490000002086163
真實報酬,1111783.490000002086163

夏普值報酬,0.102478349000000
夏普值風險,0.038705874127057
夏普值,2.647617482132119

預期報酬,22019.574845780171017
風險,80143.889851917221677
趨勢值,0.274750512939489
找到最佳解世代,3366
找到最佳解實驗#,3
找到最佳解次數,9

stock[index](rank)
投資組合檔數,5
AAPL[0](6),AXP[1](7),MCD[15](1),PG[21](5),TRV[22](3),
Stock#,AAPL[0](6),AXP[1](7),MCD[15](1),PG[21](5),TRV[22](3),
張數,11700,19158,11410,20588,15777,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.000000000000000,96.379999999888241,55.199999999953434,81.679999999934807,107.479999999981374,
20190208,1993799.000000000000000,2002490.539999999804422,1993952.699999999953434,2011735.159999999916181,1984696.310000000055879,9986673.710000000894070
20190211,1982333.000000000000000,2019541.159999999916181,1988361.799999999813735,2023264.439999999944121,1978858.820000000065193,9992359.220000000670552
20190212,1999414.999999999767169,2050002.379999999888241,1985052.899999999906868,2043646.560000000055879,2007888.500000000000000,10086005.339999999850988
20190213,1991108.000000000000000,2060730.859999999869615,1987106.699999999953434,2043234.799999999813735,2020194.559999999823049,10102374.919999999925494
20190214,1998362.000000000232831,2042722.340000000083819,2006731.899999999906868,2027176.159999999916181,2002682.090000000083819,10077674.490000000223517
20190215,1993915.999999999767169,2057282.419999999692664,2053512.899999999906868,2027587.919999999925494,2031238.460000000195578,10163537.699999999254942
20190219,1999883.000000000000000,2040423.379999999888241,2045297.699999999953434,2058675.799999999813735,2036918.179999999934807,10181198.060000000521541
20190220,2012753.000000000000000,2045787.619999999878928,2059446.100000000093132,2044058.320000000065193,2047015.460000000195578,10209060.500000001862645
20190221,2001404.000000000000000,2042530.759999999776483,2085917.300000000046566,2054352.320000000065193,2048277.619999999878928,10232482.000000000000000
20190222,2023751.000000000000000,2058431.899999999906868,2090024.899999999906868,2064028.679999999934807,2067210.020000000251457,10303446.500000000000000
20190225,2038492.999999999767169,2048661.320000000065193,2083635.300000000046566,2050028.839999999850988,2090402.210000000195578,10311220.669999999925494
20190226,2039663.000000000232831,2048852.899999999906868,2090481.300000000046566,2055381.719999999972060,2102708.270000000018626,10337087.189999999478459
20190227,2045981.000000000000000,2058048.739999999990687,2092192.800000000046566,2036440.759999999776483,2092453.219999999972060,10325116.519999999552965
20190228,2025857.000000000000000,2064179.299999999813735,2097669.599999999627471,2029029.079999999841675,2097028.549999999813735,10313763.529999999329448
20190301,2047151.000000000000000,2086402.580000000074506,2111475.700000000186265,2026764.399999999906868,2098921.790000000037253,10370715.469999998807907
20190304,2057447.000000000000000,2088318.379999999888241,2060587.100000000093132,2035617.239999999990687,2085038.030000000027940,10327007.750000000000000
20190305,2053703.000000000000000,2085444.679999999701977,2069258.699999999953434,2040146.600000000093132,2093557.609999999869615,10342110.589999999850988
20190306,2041886.000000000232831,2087935.219999999972060,2077017.500000000000000,2036852.520000000018626,2079516.080000000074506,10323207.320000000298023
20190307,2018252.000000000000000,2066478.259999999776483,2059788.400000000139698,2029029.079999999841675,2074625.210000000195578,10248172.950000001117587
20190308,2023049.000000000000000,2068777.219999999972060,2048150.199999999953434,2026146.759999999776483,2067210.020000000251457,10233333.199999999254942
20190311,2093132.000000000000000,2099046.859999999869615,2066178.000000000000000,2050234.719999999972060,2080620.469999999972060,10389212.049999998882413
20190312,2116649.000000000000000,2115714.319999999832362,2074735.500000000000000,2059911.079999999841675,2094030.919999999925494,10461040.820000000298023
20190313,2126009.000000000000000,2148474.500000000000000,2077359.800000000046566,2083175.520000000018626,2098448.479999999981374,10533467.300000000745058
20190314,2149643.000000000000000,2152497.679999999701977,2085118.600000000093132,2086057.839999999850988,2099395.100000000093132,10572712.219999998807907
20190315,2177606.000000000000000,2174912.540000000037253,2114670.500000000000000,2109116.399999999441206,2117065.340000000316650,10693370.779999999329448
