訓練日期,20130829 - 20131129
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11599550.129999998956919
真實報酬,1599550.129999998956919

夏普值報酬,0.151255013000000
夏普值風險,0.042255705941579
夏普值,3.579516887236928

預期報酬,24725.876170608011307
風險,78284.271022580534918
趨勢值,0.315847306842469
找到最佳解世代,5097
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](21),MSFT[18](16),NKE[19](1),PFE[20](8),UNH[23](28),WBA[27](5),
Stock#,AAPL[0](21),MSFT[18](16),NKE[19](1),PFE[20](8),UNH[23](28),WBA[27](5),
張數,23765,50474,52592,59080,23296,35408,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,26.550000000046566,14.519999999785796,25.520000000018626,19.199999999953434,70.159999999916181,11.439999999944121,
20130829,1669280.149999999906868,1693417.219999999739230,1669295.599999999860302,1660167.199999999953434,1687632.399999999906868,1684724.079999999841675,10064520.650000000372529
20130830,1654070.549999999813735,1685846.119999999646097,1651940.239999999990687,1666666.000000000000000,1671325.199999999720603,1702074.000000000000000,10031926.109999999403954
20130903,1658823.550000000046566,1609125.639999999664724,1690858.319999999832362,1654850.000000000000000,1690427.919999999925494,1725797.360000000102445,10029886.789999999105930
20130904,1693045.149999999906868,1574803.319999999832362,1712946.959999999962747,1676118.800000000046566,1708831.759999999776483,1752353.360000000102445,10118103.349999999627471
20130905,1681400.300000000046566,1576822.279999999795109,1719258.000000000000000,1670210.799999999813735,1724906.000000000000000,1777138.959999999962747,10149740.339999999850988
20130906,1691381.600000000093132,1572279.619999999646097,1708739.600000000093132,1670801.600000000093132,1725371.919999999925494,1751291.119999999878928,10119869.459999999031425
20130909,1718473.700000000186265,1598021.359999999869615,1719783.920000000158325,1671983.199999999953434,1729798.159999999916181,1778201.199999999953434,10216265.539999999105930
20130910,1679261.449999999953434,1634867.379999999888241,1757124.239999999757856,1680845.199999999953434,1738650.639999999897555,1794134.800000000046566,10284887.710000000894070
20130911,1588003.849999999860302,1652533.279999999795109,1777635.119999999878928,1693842.800000000046566,1751463.440000000176951,1796967.439999999944121,10260449.929999999701977
20130912,1604877.000000000000000,1650009.579999999608845,1790257.199999999953434,1672573.999999999767169,1741213.199999999720603,1886903.760000000009313,10345838.739999998360872
20130913,1578260.199999999953434,1667170.739999999757856,1786049.840000000083819,1684390.000000000000000,1735156.239999999990687,1892923.119999999878928,10343954.139999998733401
20130916,1528116.050000000046566,1655561.719999999739230,1793412.720000000204891,1696206.000000000000000,1750065.679999999934807,1939661.679999999934807,10363027.849999999627471
20130917,1545939.800000000046566,1662123.339999999850988,1796568.239999999757856,1692070.399999999906868,1731195.919999999925494,1944618.800000000046566,10372520.500000000000000
20130918,1577547.250000000000000,1681808.199999999720603,1827071.600000000093132,1715702.399999999906868,1701610.000000000000000,1969758.479999999981374,10473501.929999999701977
20130919,1603451.100000000093132,1697959.879999999888241,1827597.520000000018626,1703886.399999999906868,1650358.800000000046566,1982505.360000000102445,10465763.060000000521541
20130920,1586815.599999999860302,1655056.979999999748543,1824442.000000000000000,1711566.799999999813735,1644068.879999999655411,1965863.600000000093132,10387817.859999999403954
20130923,1665715.400000000139698,1652533.279999999795109,1813923.600000000093132,1701523.199999999953434,1673188.879999999655411,1991003.279999999795109,10497891.639999998733401
20130924,1660487.100000000093132,1638400.559999999823049,1826019.760000000009313,1696206.000000000000000,1684836.879999999655411,1961260.560000000055879,10467214.859999999403954
20130925,1634820.900000000139698,1640924.259999999776483,1812345.840000000083819,1683208.399999999906868,1676916.239999999990687,1942140.239999999990687,10390359.880000000819564
20130926,1650743.449999999953434,1654047.500000000000000,1849686.160000000149012,1684980.799999999813735,1681109.519999999785796,1937891.279999999795109,10458462.709999999031425
20130927,1638860.949999999953434,1679284.500000000000000,1936462.959999999962747,1706249.599999999860302,1677149.199999999720603,1930101.519999999785796,10568112.729999998584390
20130930,1618660.699999999953434,1679789.239999999757856,1910166.959999999962747,1697387.600000000093132,1668296.719999999972060,1904961.839999999850988,10479267.060000000521541
20131001,1656684.699999999953434,1694931.439999999711290,1904381.840000000083819,1706840.399999999906868,1690893.839999999850988,1991357.360000000102445,10645093.579999998211861
20131002,1662150.649999999906868,1712092.599999999860302,1890707.920000000158325,1713930.000000000000000,1690660.879999999655411,2001625.679999999934807,10671171.729999998584390
20131003,1641237.450000000186265,1709064.159999999683350,1883870.959999999962747,1699750.799999999813735,1689496.079999999841675,1981443.119999999878928,10604866.569999998435378
20131004,1639811.550000000046566,1710073.639999999897555,1897018.959999999962747,1713339.199999999953434,1700445.199999999720603,1975423.760000000009313,10636116.310000000521541
20131007,1655971.750000000232831,1680798.719999999739230,1875982.160000000149012,1690888.800000000046566,1681342.479999999981374,1954178.959999999962747,10539166.870000001043081
20131008,1632919.699999999953434,1666161.259999999776483,1848108.400000000139698,1668438.399999999906868,1665268.239999999990687,1942494.319999999832362,10423394.320000000298023
20131009,1651931.700000000186265,1669189.699999999720603,1864411.920000000158325,1671392.399999999906868,1662938.639999999897555,1947805.519999999785796,10467673.880000000819564
20131010,1662388.300000000046566,1704016.759999999776483,1931203.760000000009313,1699750.799999999813735,1723508.239999999990687,1982859.439999999944121,10703731.299999998882413
20131011,1673082.550000000279397,1722692.139999999897555,1931729.679999999934807,1696796.799999999813735,1730264.079999999841675,1981443.119999999878928,10736012.369999999180436
20131014,1684014.449999999953434,1738843.819999999832362,1947507.280000000027940,1734017.199999999953434,1740747.279999999795109,2007645.040000000037253,10852779.070000000298023
20131015,1693045.149999999906868,1740862.779999999795109,1938040.720000000204891,1722792.000000000000000,1720945.679999999934807,1993481.839999999850988,10809172.169999999925494
20131016,1701362.900000000139698,1748433.879999999888241,1959603.439999999944121,1760603.199999999953434,1751696.399999999906868,2039158.160000000149012,10960861.980000000447035
20131017,1712770.099999999860302,1762566.599999999860302,1960129.360000000102445,1787780.000000000000000,1662705.679999999934807,2080585.519999999785796,10966541.259999999776483
20131018,1727742.050000000046566,1764585.559999999823049,1996943.760000000009313,1802550.000000000000000,1601903.120000000111759,2074566.160000000149012,10968294.650000000372529
20131021,1770043.750000000232831,1766099.779999999795109,2001151.119999999878928,1796051.199999999953434,1588857.359999999869615,2067130.479999999981374,10989337.690000001341105
20131022,1765053.099999999860302,1745405.439999999711290,1997469.679999999934807,1812593.599999999860302,1604232.719999999972060,2078106.959999999962747,11002865.500000000000000
20131023,1782163.899999999906868,1704016.759999999776483,1986951.280000000027940,1807867.199999999953434,1584431.120000000111759,2081647.760000000009313,10947082.019999999552965
20131024,1805928.899999999906868,1701997.799999999813735,1985899.439999999944121,1808458.000000000000000,1575112.719999999972060,2097935.439999999944121,10975336.299999998882413
20131025,1785728.650000000139698,1803450.539999999571592,1990632.720000000204891,1808458.000000000000000,1575345.679999999934807,2095810.959999999962747,11059430.550000000745058
20131028,1799037.050000000046566,1795374.699999999720603,1985899.439999999944121,1816138.399999999906868,1559504.399999999906868,2103600.719999999739230,11059558.710000000894070
20131029,1754121.200000000186265,1792851.000000000000000,1996417.840000000083819,1846269.199999999953434,1586061.839999999850988,2115993.520000000018626,11091718.599999999627471
20131030,1782163.899999999906868,1793860.479999999748543,2002202.959999999962747,1827363.599999999860302,1584431.120000000111759,2093332.399999999906868,11083358.459999999031425
20131031,1774559.100000000093132,1787298.859999999636784,1992210.480000000214204,1813184.400000000139698,1590255.120000000111759,2097581.359999999869615,11055093.320000000298023
20131101,1765528.400000000139698,1793355.739999999757856,2000099.280000000027940,1841542.800000000046566,1598874.639999999897555,2142903.600000000093132,11142308.459999999031425
