訓練日期,20180504 - 20180806
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11217750.919999999925494
真實報酬,1217750.919999999925494

夏普值報酬,0.113075092000000
夏普值風險,0.030046815364117
夏普值,3.763297062591106

預期報酬,16705.993598355838913
風險,67415.315268092046608
趨勢值,0.247807097421717
找到最佳解世代,1681
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
HD[9](11),NKE[19](3),PFE[20](8),PG[21](1),VZ[26](12),WMT[28](23),
Stock#,HD[9](11),NKE[19](3),PFE[20](8),PG[21](1),VZ[26](12),WMT[28](23),
張數,9098,24912,47947,23355,34838,19328,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,3.380000000121072,53.199999999953434,28.280000000027940,53.199999999953434,16.079999999841675,12.559999999823049,
20180504,1683406.320000000065193,1696560.399999999906868,1670501.760000000242144,1691655.850000000093132,1678859.299999999813735,1691792.399999999906868,10112780.029999999329448
20180507,1670032.260000000242144,1727451.280000000027940,1674816.989999999990687,1681146.100000000093132,1662833.819999999832362,1651976.719999999739230,10068261.170000001788139
20180508,1683497.300000000046566,1705528.719999999739230,1677214.339999999850988,1668534.399999999906868,1638098.839999999850988,1657195.279999999795109,10030072.879999998956919
20180509,1695506.660000000149012,1692823.600000000093132,1686324.270000000018626,1690254.550000000046566,1615802.520000000018626,1605396.239999999757856,9986111.839999999850988
20180510,1702785.060000000055879,1692076.239999999990687,1680091.159999999916181,1708471.450000000186265,1644369.679999999934807,1598244.879999999888241,10026042.469999998807907
20180511,1731443.760000000242144,1704781.360000000102445,1702146.780000000027940,1713609.550000000046566,1693839.639999999664724,1611581.199999999720603,10157406.289999999105930
20180514,1738449.220000000204891,1714995.280000000027940,1719407.699999999953434,1711507.600000000093132,1689310.699999999953434,1631102.479999999748543,10204776.980000000447035
20180515,1710245.419999999925494,1731437.199999999953434,1711256.709999999962747,1703800.449999999953434,1664924.099999999860302,1633615.119999999646097,10155283.000000000000000
