訓練日期,20141121 - 20150226
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11441554.220000000670552
真實報酬,1441554.220000000670552

夏普值報酬,0.135455422000000
夏普值風險,0.035622851892962
夏普值,3.802486741011381

預期報酬,20294.728700795400073
風險,118308.050846429599915
趨勢值,0.171541400230988
找到最佳解世代,2062
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,6
DIS[6](6),HD[9](1),MRK[17](14),UNH[23](3),UTX[24](2),WBA[27](4),
Stock#,DIS[6](6),HD[9](1),MRK[17](14),UNH[23](3),UTX[24](2),WBA[27](4),
張數,18747,17081,28067,17208,15315,24750,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,57.699999999953434,72.830000000074506,47.540000000037253,71.200000000186265,87.700000000186265,1.000000000000000,
20141121,1667790.819999999832362,1678793.510000000009313,1674524.760000000009313,1664256.880000000121072,1689332.200000000186265,1672853.500000000000000,10047555.669999999925494
20141124,1698160.959999999962747,1680843.230000000214204,1663017.290000000037253,1667526.400000000372529,1666206.550000000279397,1676318.500000000000000,10052076.930000001564622
20141125,1718220.250000000000000,1657100.640000000130385,1665543.320000000065193,1684734.400000000372529,1710926.350000000093132,1678298.500000000000000,10114827.460000000894070
20141126,1723281.939999999944121,1668886.530000000027940,1677050.790000000037253,1688348.080000000074506,1687188.100000000093132,1694633.500000000000000,10139392.939999999478459
20141128,1734342.670000000158325,1697924.230000000214204,1695294.340000000083819,1697296.240000000223517,1685962.900000000139698,1698098.500000000000000,10208922.880000000819564
20141201,1737904.600000000093132,1689042.110000000102445,1698662.380000000121072,1704695.680000000167638,1679990.050000000046566,1677308.500000000000000,10187607.320000000298023
20141202,1752339.790000000037253,1676743.790000000037253,1705959.800000000046566,1717945.840000000083819,1679836.900000000372529,1652063.500000000000000,10184893.620000001043081
20141203,1745590.869999999878928,1684088.620000000111759,1700346.399999999906868,1734637.600000000093132,1699899.550000000046566,1667656.000000000000000,10232223.040000000968575
20141204,1747840.510000000009313,1690237.780000000027940,1709889.180000000167638,1715192.560000000288710,1703268.850000000093132,1680526.000000000232831,10246958.880000000819564
20141205,1757776.420000000158325,1702023.670000000158325,1725887.370000000111759,1726549.840000000083819,1704494.050000000279397,1697850.999999999767169,10314586.350000001490116
20141208,1758526.299999999813735,1715517.660000000149012,1736833.500000000000000,1719494.560000000288710,1731448.450000000186265,1676318.500000000000000,10338142.970000000670552
20141209,1742403.879999999888241,1702023.670000000158325,1684348.209999999962747,1738423.360000000102445,1761159.550000000046566,1697603.500000000000000,10325966.169999999925494
20141210,1717845.309999999823049,1690066.969999999972060,1683506.199999999953434,1705211.920000000158325,1738340.200000000186265,1686713.500000000232831,10221688.099999999627471
20141211,1720094.949999999953434,1712784.699999999953434,1665543.320000000065193,1716225.040000000270084,1746610.300000000279397,1806998.500000000232831,10368260.810000000521541
20141212,1715220.729999999748543,1704415.010000000009313,1620074.780000000027940,1699533.280000000260770,1717664.950000000186265,1843876.000000000000000,10300788.750000000000000
20141215,1704160.000000000000000,1709026.880000000121072,1598463.190000000176951,1691101.360000000102445,1713989.350000000093132,1817641.000000000000000,10234385.780000001192093
20141216,1690474.689999999944121,1657954.690000000176951,1594253.139999999897555,1649458.000000000000000,1734205.150000000139698,1791653.500000000000000,10118003.169999999925494
20141217,1713158.559999999823049,1690066.969999999972060,1617548.750000000000000,1706072.320000000298023,1744466.200000000186265,1781753.499999999767169,10253070.300000000745058
20141218,1736217.369999999878928,1719617.100000000093132,1655439.199999999953434,1759417.120000000111759,1791330.100000000093132,1840906.000000000000000,10502930.890000000596046
20141219,1741466.530000000027940,1741139.160000000149012,1672279.399999999906868,1763719.120000000111759,1770348.550000000279397,1812443.500000000000000,10501400.259999999776483
20141222,1766025.100000000093132,1767956.330000000074506,1654877.860000000102445,1773183.520000000251457,1794086.800000000279397,1838183.500000000000000,10594317.110000001266599
20141223,1775211.129999999888241,1772397.390000000130385,1605760.610000000102445,1769914.000000000000000,1795158.850000000093132,1893623.500000000232831,10612069.480000000447035
20141224,1770149.439999999944121,1768981.190000000176951,1612777.360000000102445,1766988.640000000363216,1790564.350000000093132,1897583.500000000000000,10607048.480000000447035
20141226,1781585.109999999869615,1772226.580000000074506,1621758.800000000046566,1764751.600000000093132,1795618.300000000046566,1892385.999999999767169,10628330.390000000596046
20141229,1790396.199999999953434,1785549.760000000009313,1620355.449999999953434,1760965.840000000083819,1789798.600000000093132,1900553.500000000232831,10647623.349999999627471
20141230,1775398.600000000093132,1781108.699999999953434,1618110.090000000083819,1769914.000000000000000,1779690.700000000186265,1882238.500000000000000,10606464.589999999850988
20141231,1765837.629999999888241,1793065.400000000139698,1593972.469999999972060,1739627.920000000158325,1761312.700000000186265,1885951.000000000000000,10539771.120000001043081
20150102,1757588.949999999953434,1766760.660000000149012,1605199.270000000018626,1734293.440000000176951,1761925.300000000279397,1881001.000000000000000,10506772.620000001043081
20150105,1731905.559999999823049,1729694.890000000130385,1629056.219999999972060,1705728.160000000149012,1732520.500000000232831,1843876.000000000000000,10372785.330000000074506
20150106,1722719.530000000027940,1724399.780000000027940,1693048.979999999981374,1702286.560000000288710,1708016.500000000232831,1848578.500000000000000,10399053.850000001490116
20150107,1740341.709999999962747,1783500.040000000037253,1729255.409999999916181,1719666.640000000363216,1726547.650000000139698,1895850.999999999767169,10595166.450000001117587
20150108,1758338.830000000074506,1822957.150000000139698,1764058.489999999990687,1801748.800000000279397,1755952.450000000186265,1919363.500000000000000,10822423.220000002533197
20150109,1766962.449999999953434,1791698.920000000158325,1755919.060000000055879,1784884.960000000195578,1746304.000000000232831,1872833.500000000000000,10718606.890000000596046
20150112,1770899.319999999832362,1783670.850000000093132,1748621.639999999897555,1764751.600000000093132,1752889.450000000186265,1873576.000000000000000,10694412.859999999403954
20150113,1784584.629999999888241,1771884.960000000195578,1745534.270000000018626,1773699.760000000009313,1751204.800000000279397,1862686.000000000232831,10689598.419999999925494
20150114,1766587.510000000009313,1753266.670000000158325,1758164.420000000158325,1778173.840000000083819,1738646.500000000232831,1856003.499999999767169,10650846.440000001341105
20150115,1768837.149999999906868,1725424.640000000130385,1736833.500000000000000,1797618.880000000121072,1738646.500000000232831,1850806.000000000000000,10618170.669999999925494
20150116,1784397.160000000149012,1778546.550000000046566,1769110.550000000046566,1820161.360000000102445,1778924.950000000186265,1881743.500000000000000,10812888.070000000298023
20150120,1776148.479999999748543,1763686.080000000074506,1757322.409999999916181,1817580.160000000149012,1800059.650000000139698,1882238.500000000000000,10797039.279999999329448
20150121,1765462.689999999944121,1768468.760000000009313,1744692.260000000009313,1881249.760000000009313,1823032.150000000139698,1870853.500000000000000,10853763.119999999180436
20150122,1783834.750000000000000,1811854.500000000000000,1756761.070000000065193,1959202.000000000000000,1844779.450000000186265,1881496.000000000000000,11037931.769999999552965
20150123,1775773.540000000037253,1799897.800000000046566,1753954.370000000111759,1927367.200000000186265,1837581.400000000139698,1870853.500000000000000,10965431.810000000521541
20150126,1780460.290000000037253,1816807.989999999990687,1763216.479999999981374,1920656.080000000074506,1818743.950000000186265,1877041.000000000000000,10976929.789999999105930
20150127,1761713.290000000037253,1796310.790000000037253,1755919.060000000055879,1893123.280000000260770,1825023.100000000093132,1854518.500000000232831,10886612.020000001415610
20150128,1737342.189999999944121,1789136.770000000018626,1724764.690000000176951,1866450.880000000121072,1790717.500000000232831,1825808.500000000000000,10734224.530000001192093
20150129,1747653.040000000037253,1838330.050000000046566,1742727.570000000065193,1882454.320000000298023,1783519.450000000186265,1845608.499999999767169,10840296.929999999701977
20150130,1705284.819999999832362,1783670.850000000093132,1691926.300000000046566,1828421.200000000186265,1757943.400000000139698,1825313.500000000000000,10592564.070000000298023
20150202,1723469.410000000149012,1783841.660000000149012,1708766.500000000000000,1846317.520000000251457,1785510.400000000139698,1853528.500000000000000,10701437.990000000223517
20150203,1764150.399999999906868,1831839.270000000018626,1712695.880000000121072,1855265.680000000167638,1820888.050000000279397,1851053.500000000232831,10835896.780000001192093
20150204,1898753.859999999869615,1851824.040000000037253,1657403.889999999897555,1857158.560000000288710,1804041.550000000279397,1848083.500000000000000,10917269.400000000372529
20150205,1924249.780000000027940,1861731.020000000018626,1660771.930000000167638,1872645.760000000009313,1839572.350000000093132,1851053.500000000232831,11010028.339999999850988
20150206,1912626.639999999897555,1862585.070000000065193,1650106.469999999972060,1851652.000000000000000,1834977.850000000325963,1884713.500000000232831,10996665.529999999329448
20150209,1907190.010000000009313,1850628.370000000111759,1637195.649999999906868,1832551.120000000111759,1827473.500000000000000,1890901.000000000232831,10945943.649999998509884
20150210,1910751.939999999944121,1890427.100000000093132,1651790.489999999990687,1875226.960000000195578,1828698.700000000186265,1898078.500000000000000,11054977.690000001341105
