訓練日期,20121219 - 20130325
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11364728.089999999850988
真實報酬,1364728.089999999850988

夏普值報酬,0.127772809000000
夏普值風險,0.036507747266594
夏普值,3.499882040569405

預期報酬,19953.447216569689772
風險,70811.429558830932365
趨勢值,0.281782861056239
找到最佳解世代,2704
找到最佳解實驗#,3
找到最佳解次數,40

stock[index](rank)
投資組合檔數,5
JNJ[12](3),JPM[13](4),NKE[19](14),UTX[24](2),VZ[26](21),
Stock#,JNJ[12](3),JPM[13](4),NKE[19](14),UTX[24](2),VZ[26](21),
張數,28188,45589,80873,24322,45589,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,61.399999999906868,10.570000000065193,10.709999999962747,1.939999999944121,10.570000000065193,
20121219,1990979.839999999850988,1984499.740000000223517,1977355.559999999823049,2019457.599999999860302,1977661.390000000130385,9949954.129999998956919
20121220,1994362.399999999906868,2030088.740000000223517,2001617.459999999962747,2022862.679999999934807,1997264.660000000149012,10046195.939999999478459
20121221,1980832.159999999683350,2005926.570000000065193,2125353.149999999906868,2007539.820000000065193,1986323.300000000046566,10105975.000000000000000
20121224,1973785.159999999683350,2002279.450000000186265,2135057.909999999683350,2000243.219999999739230,1984955.630000000121072,10096321.369999999180436
20121226,1978013.359999999869615,2004103.010000000009313,2076020.620000000111759,1997081.359999999869615,1980852.620000000111759,10036070.969999998807907
20121227,1975758.320000000065193,1989058.640000000130385,2093003.949999999953434,1996108.479999999748543,1982220.290000000037253,10036149.679999999701977
20121228,1958563.640000000130385,1971278.930000000167638,2062272.209999999962747,1965462.760000000009313,1955778.669999999925494,9913356.210000000894070
20121231,1976040.199999999720603,2004558.899999999906868,2086534.110000000102445,1994649.160000000149012,1972646.600000000093132,10034428.970000000670552
20130102,1996899.320000000065193,2036015.309999999823049,2096238.870000000111759,2043049.939999999944121,2018235.600000000093132,10190439.039999999105930
20130103,1994080.519999999785796,2031912.300000000046566,2118074.580000000074506,2050589.760000000009313,2008661.910000000149012,10203319.070000000298023
20130104,2016912.799999999813735,2067927.610000000102445,2138292.830000000074506,2066885.500000000000000,2019603.270000000018626,10309622.009999999776483
20130107,2012684.600000000093132,2070207.059999999823049,2141527.750000000000000,2056913.479999999748543,2037382.979999999981374,10318715.869999999180436
20130108,2012966.479999999748543,2074310.070000000065193,2118883.310000000055879,2032105.039999999804422,1964896.470000000204891,10203161.369999999180436
20130109,2021986.640000000130385,2072942.399999999906868,2121309.500000000000000,2056427.039999999804422,1960337.570000000065193,10233003.150000000372529
20130110,2034953.119999999878928,2103942.919999999925494,2125353.149999999906868,2066642.280000000027940,1987235.080000000307336,10318126.550000000745058
20130111,2039463.199999999720603,2103487.030000000260770,2147188.859999999869615,2071749.900000000139698,1974014.270000000018626,10335903.259999999776483
20130114,2045382.679999999934807,2091633.890000000130385,2151232.510000000242144,2086829.539999999804422,1941646.080000000307336,10316724.700000001117587
20130115,2040026.959999999962747,2113060.719999999739230,2169024.569999999832362,2090721.059999999823049,1913380.899999999906868,10326214.210000000894070
20130116,2045946.439999999944121,2134487.549999999813735,2173068.220000000204891,2081235.479999999748543,1892409.959999999962747,10327147.649999998509884
20130117,2054966.600000000093132,2117163.729999999515712,2162554.729999999981374,2101422.740000000223517,1920675.140000000130385,10356782.940000001341105
20130118,2064268.640000000130385,2118075.509999999776483,2155276.159999999683350,2114799.839999999850988,1939366.630000000121072,10391786.779999999329448
20130122,2049047.119999999878928,2121722.629999999888241,2162554.729999999981374,2127447.279999999795109,1957602.229999999981374,10418373.990000000223517
20130123,2053557.199999999720603,2107590.040000000037253,2147188.859999999869615,2142040.479999999981374,1950763.880000000121072,10401140.460000000894070
20130124,2060604.199999999720603,2113972.500000000000000,2177920.600000000093132,2162714.180000000167638,1941646.080000000307336,10456857.560000000521541
20130125,2083718.359999999869615,2149987.809999999590218,2246662.649999999906868,2183874.320000000298023,1945293.200000000186265,10609536.339999999850988
20130128,2075261.959999999962747,2126281.530000000260770,2203799.959999999962747,2184117.540000000037253,1949852.100000000093132,10539313.089999999850988
20130129,2097530.479999999981374,2148164.250000000000000,2180346.790000000037253,2183144.660000000149012,1983132.070000000065193,10592318.250000000000000
20130130,2088510.320000000065193,2148620.140000000596046,2168215.839999999850988,2167092.139999999664724,1988146.860000000102445,10560585.300000000745058
20130131,2083718.359999999869615,2144973.019999999552965,2186007.899999999906868,2129879.479999999981374,1988146.860000000102445,10532725.619999999180436
20130201,2091047.239999999990687,2181444.219999999739230,2171450.760000000242144,2185090.419999999925494,2031456.410000000149012,10660489.050000000745058
20130204,2089074.079999999841675,2173694.089999999850988,2169833.299999999813735,2177793.820000000298023,2029632.850000000093132,10640028.139999998733401
20130205,2104577.479999999981374,2224297.879999999888241,2179538.060000000055879,2170983.660000000149012,2031456.410000000149012,10710853.490000000223517
20130206,2125154.719999999739230,2216091.860000000335276,2190051.549999999813735,2173659.080000000074506,2040118.320000000065193,10745075.530000001192093
20130207,2115852.680000000167638,2198768.040000000037253,2211078.529999999795109,2187765.839999999850988,2026897.510000000009313,10740362.599999999627471
20130208,2127691.640000000130385,2217003.640000000596046,2207843.609999999869615,2191170.919999999925494,2021882.720000000204891,10765592.530000001192093
20130211,2125718.479999999981374,2218371.309999999590218,2232914.239999999757856,2179496.359999999869615,2020515.050000000046566,10777015.439999999478459
20130212,2136711.799999999813735,2240254.030000000260770,2228061.859999999869615,2188495.500000000000000,2025985.729999999981374,10819508.919999999925494
20130213,2132765.479999999981374,2219283.089999999850988,2206226.149999999906868,2176820.939999999944121,2029632.850000000093132,10764728.509999999776483
20130214,2136993.680000000167638,2243901.150000000372529,2208652.339999999850988,2181442.120000000111759,2020970.939999999944121,10791960.229999998584390
20130215,2146859.479999999981374,2228400.890000000596046,2222400.750000000000000,2207953.100000000093132,2024162.169999999925494,10829776.390000000596046
20130219,2169409.879999999888241,2254386.620000000111759,2202991.229999999981374,2213790.379999999888241,2028721.070000000065193,10869299.179999999701977
20130220,2160671.600000000093132,2216091.860000000335276,2184390.439999999944121,2192873.459999999962747,2047868.450000000186265,10801895.809999998658895
20130221,2166872.959999999962747,2199679.820000000298023,2205417.419999999925494,2174631.959999999962747,2056986.250000000000000,10803588.410000000149012
20130222,2149396.399999999906868,2229768.559999999590218,2202991.229999999981374,2200899.719999999739230,2069751.169999999925494,10852807.080000000074506
20130225,2130228.559999999590218,2174605.870000000111759,2185199.169999999925494,2149337.080000000074506,2084339.649999999906868,10723710.330000000074506
20130226,2135302.399999999906868,2170046.969999999739230,2194903.930000000167638,2169524.339999999850988,2102575.250000000000000,10772352.889999998733401
20130227,2151369.559999999590218,2246636.490000000223517,2197330.120000000111759,2202845.479999999981374,2113060.719999999739230,10911242.370000001043081
20130228,2145450.080000000074506,2230224.450000000186265,2202182.500000000000000,2202359.040000000037253,2121266.740000000223517,10901482.810000000521541
20130301,2162081.000000000000000,2229768.559999999590218,2216739.640000000130385,2192143.799999999813735,2129928.650000000372529,10930661.650000000372529
20130304,2176175.000000000000000,2238430.469999999739230,2213504.720000000204891,2167821.799999999813735,2147708.360000000335276,10943640.349999997764826
20130305,2189141.479999999981374,2256210.179999999701977,2219974.560000000055879,2213790.379999999888241,2174149.979999999515712,11053266.580000001937151
20130306,2181530.719999999739230,2280828.240000000223517,2236149.159999999683350,2215006.479999999981374,2155458.490000000223517,11068973.089999999850988
20130307,2191678.399999999906868,2308181.640000000596046,2232914.239999999757856,2230572.559999999590218,2164576.290000000037253,11127923.129999998956919
20130308,2204081.119999999646097,2288578.370000000111759,2211887.260000000242144,2239328.479999999981374,2186459.009999999776483,11130334.240000000223517
20130311,2211128.119999999646097,2301343.290000000037253,2205417.419999999925494,2259758.959999999962747,2179620.660000000149012,11157268.449999999254942
20130312,2214510.680000000167638,2292225.490000000223517,2163363.459999999962747,2265353.020000000018626,2204694.610000000335276,11140147.260000001639128
20130313,2214228.799999999813735,2286754.809999999590218,2218357.100000000093132,2263893.699999999720603,2185547.229999999515712,11168781.639999996870756
20130314,2229732.199999999720603,2325049.570000000298023,2211887.260000000242144,2272892.839999999850988,2210165.290000000037253,11249727.160000000149012
20130315,2232269.119999999646097,2280372.350000000558794,2215122.180000000167638,2268758.100000000093132,2189194.350000000558794,11185716.100000001490116
20130318,2221557.680000000167638,2257121.959999999962747,2190051.549999999813735,2256353.879999999888241,2222474.320000000298023,11147559.390000000596046
20130319,2222967.080000000074506,2242989.370000000111759,2177111.870000000111759,2264623.359999999869615,2231592.120000000111759,11139283.800000000745058
20130320,2239598.000000000000000,2239342.250000000000000,2217548.370000000111759,2272892.839999999850988,2215635.969999999739230,11185017.429999999701977
20130321,2227195.280000000260770,2204238.719999999739230,2167407.109999999869615,2248084.399999999906868,2224753.769999999552965,11071679.279999999329448
20130322,2247772.519999999552965,2223841.990000000223517,2407599.919999999925494,2276297.919999999925494,2234783.350000000558794,11390295.699999999254942
20130325,2246081.240000000223517,2211988.850000000558794,2408408.649999999906868,2257083.540000000037253,2241165.809999999590218,11364728.089999999850988
