訓練日期,20121004 - 20130109
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11334148.960000000894070
真實報酬,1334148.960000000894070

夏普值報酬,0.124714896000000
夏普值風險,0.032546294357269
夏普值,3.831923064142842

預期報酬,15946.320584636752756
風險,134778.975083829893265
趨勢值,0.118314600439115
找到最佳解世代,2314
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),V[25](1),
Stock#,BA[2](2),V[25](1),
張數,71571,144383,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,49.940000000409782,16.709999999962747,
20121004,5005725.680000000633299,5041871.070000000298023,10047596.750000000000000
20121005,5073718.130000000819564,5063528.519999999552965,10137246.650000000372529
20121008,5050815.410000000149012,5007219.150000000372529,10058034.560000000521541
20121009,5055825.380000000819564,4936471.479999999515712,9992296.859999999403954
20121010,5034354.080000001005828,4959572.759999999776483,9993926.839999999850988
20121011,5069423.870000000111759,5018769.790000000037253,10088193.660000000149012
20121012,5142426.290000000037253,5021657.450000000186265,10164083.740000000223517
20121015,5171054.690000000409782,5049090.219999999739230,10220144.910000000149012
20121016,5259087.020000000484288,5095292.780000000260770,10354379.800000000745058
20121017,5269822.669999999925494,5145826.830000000074506,10415649.500000000000000
20121018,5314912.400000000372529,5121281.719999999739230,10436194.120000001043081
20121019,5297019.650000000372529,5051977.879999999888241,10348997.530000001192093
20121022,5274832.640000000596046,5017325.959999999962747,10292158.600000001490116
20121023,5211850.160000000149012,4932139.989999999292195,10143990.149999998509884
20121024,5203977.349999999627471,4926364.669999999925494,10130342.019999999552965
20121025,5120239.280000001192093,4965348.080000000074506,10085587.360000001266599
20121026,5089463.750000000000000,4992780.849999999627471,10082244.599999999627471
20121031,5041511.180000000633299,5008662.979999999515712,10050174.160000000149012
20121101,5066561.030000001192093,5193473.219999999739230,10260034.250000000000000
20121102,5013598.490000000223517,5176147.259999999776483,10189745.750000000000000
20121105,5039364.049999999813735,5108287.250000000000000,10147651.300000000745058
20121106,5154593.360000000335276,5193473.219999999739230,10348066.580000000074506
20121107,5017892.750000000000000,5145826.830000000074506,10163719.580000000074506
20121108,5080159.520000000484288,5128500.870000000111759,10208660.390000000596046
20121109,5242625.690000000409782,5158821.299999999813735,10401446.990000000223517
20121112,5274116.930000000633299,5170371.940000000409782,10444488.870000001043081
20121113,5250498.500000000000000,5141495.339999999850988,10391993.839999999850988
20121114,5102346.530000001192093,5051977.879999999888241,10154324.410000000149012
20121115,5084453.780000001192093,5053421.709999999962747,10137875.490000002086163
20121116,5065129.610000000335276,5151602.150000000372529,10216731.760000001639128
20121119,5150299.099999999627471,5257001.739999999292195,10407300.839999999850988
20121120,5191810.280000001192093,5282990.680000000633299,10474800.960000000894070
20121121,5235468.590000000782311,5294541.320000000298023,10530009.910000000149012
20121123,5277695.480000000447035,5346519.200000000186265,10624214.679999999701977
20121126,5315628.110000000335276,5314754.940000000409782,10630383.050000000745058
20121127,5331373.730000000447035,5298872.810000000521541,10630246.540000000968575
20121128,5302745.330000001005828,5316198.769999999552965,10618944.100000001490116
20121129,5304892.460000000894070,5349406.859999999403954,10654299.320000000298023
20121130,5316343.820000000298023,5404272.400000000372529,10720616.220000000670552
20121203,5297735.360000000335276,5365288.989999999292195,10663024.349999999627471
20121204,5299882.490000000223517,5327749.410000000149012,10627631.900000000372529
20121205,5286999.710000000894070,5345075.370000000111759,10632075.080000001937151
20121206,5294872.520000000484288,5359513.669999999925494,10654386.190000001341105
20121207,5342109.380000000819564,5362401.330000000074506,10704510.710000000894070
20121210,5405807.570000000298023,5366732.820000000298023,10772540.390000000596046
20121211,5426563.160000000149012,5375395.799999999813735,10801958.960000000894070
20121212,5401513.310000000521541,5337856.219999999739230,10739369.530000001192093
20121213,5319206.660000000149012,5313311.109999999403954,10632517.769999999552965
20121214,5297735.360000000335276,5300316.639999999664724,10598052.000000000000000
20121217,5342825.090000000782311,5382614.950000000186265,10725440.040000000968575
20121218,5405091.860000000335276,5440368.150000000372529,10845460.010000001639128
20121219,5404376.150000000372529,5384058.780000000260770,10788434.929999999701977
20121220,5453760.140000000596046,5503896.669999999925494,10957656.810000000521541
20121221,5451613.010000000707805,5441811.979999999515712,10893424.990000000223517
20121224,5437298.810000000521541,5457694.109999999403954,10894992.919999999925494
20121226,5440877.360000000335276,5405716.229999999515712,10846593.589999999850988
20121227,5427278.870000000111759,5392721.759999999776483,10820000.629999998956919
20121228,5345687.930000000633299,5365288.989999999292195,10710976.919999999925494
20121231,5393640.500000000000000,5472132.410000000149012,10865772.910000000149012
20130102,5516026.910000000149012,5609296.259999999776483,11125323.169999999925494
20130103,5544655.310000000521541,5613627.750000000000000,11158283.060000000521541
20130104,5560400.930000000633299,5658386.479999999515712,11218787.410000000149012
20130107,5448750.169999999925494,5698813.719999999739230,11147563.890000000596046
20130108,5305608.169999999925494,5752235.430000000633299,11057843.600000001490116
20130109,5493839.900000000372529,5840309.060000000521541,11334148.960000000894070
