訓練日期,20151006 - 20160107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10831053.870000001043081
真實報酬,831053.870000001043081

夏普值報酬,0.074405387000000
夏普值風險,0.033972500590464
夏普值,2.190165154368591

預期報酬,22173.127810601607052
風險,177750.376463368709665
趨勢值,0.124743070882728
找到最佳解世代,2587
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),PG[21](4),
Stock#,HD[9](2),MCD[15](1),PG[21](4),
張數,27964,32947,45524,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.199999999720603,85.009999999776483,65.720000000204891,
20151006,3318791.719999999739230,3357384.310000000055879,3341527.320000000298023,10017704.349999999627471
20151007,3345916.799999999813735,3353101.199999999720603,3356095.000000000000000,10055114.000000000000000
20151008,3385346.039999999571592,3391978.659999999683350,3387051.320000000298023,10164377.019999999552965
20151009,3392896.319999999832362,3385718.729999999981374,3390693.240000000223517,10169309.289999999105930
20151012,3408835.799999999813735,3401533.289999999571592,3383864.640000000130385,10194234.730000000447035
20151013,3400726.239999999757856,3406145.869999999646097,3373849.360000000335276,10180722.469999998807907
20151014,3363254.479999999515712,3387695.549999999348074,3378401.759999999776483,10129352.789999999105930
20151015,3406319.039999999571592,3415371.029999999795109,3381133.200000000186265,10202824.269999999552965
20151016,3432325.559999999590218,3453589.549999999348074,3409813.320000000298023,10295729.429999999701977
20151019,3442392.599999999627471,3442717.039999999571592,3421649.560000000055879,10306760.199999999254942
20151020,3435401.599999999627471,3421301.489999999757856,3388417.040000000502914,10245121.130000000819564
20151021,3447985.399999999441206,3378470.390000000130385,3350176.880000000353903,10176633.669999999925494
20151022,3477627.239999999757856,3652918.899999999906868,3407537.120000000111759,10538084.259999999776483
20151023,3484618.239999999757856,3709587.739999999757856,3506779.440000000409782,10700986.419999999925494
20151026,3495803.839999999850988,3696079.470000000204891,3527720.479999999981374,10719604.790000000968575
20151027,3480703.279999999795109,3678288.089999999850988,3518615.680000000633299,10677608.050000000745058
20151028,3462526.679999999701977,3721119.189999999478459,3483106.960000000428408,10666753.830000000074506
20151029,3457213.519999999552965,3710576.149999999906868,3506324.200000000186265,10674114.870000001043081
20151030,3457493.159999999683350,3698385.759999999776483,3477188.839999999850988,10633068.759999999776483
20151102,3479025.439999999478459,3693773.179999999701977,3487204.120000000111759,10660003.739999998360872
20151103,3513980.439999999478459,3692784.769999999552965,3507689.919999999925494,10714456.129999998956919
20151104,3506150.519999999552965,3703327.810000000055879,3508145.160000000149012,10717624.490000000223517
20151105,3515658.279999999795109,3718153.959999999497086,3477644.080000000074506,10711457.320000000298023
20151106,3522928.919999999925494,3733309.580000000074506,3440314.399999999906868,10696553.900000000372529
