訓練日期,20111115 - 20120217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11696099.699999999254942
真實報酬,1696099.699999999254942

夏普值報酬,0.160909970000000
夏普值風險,0.049191383782132
夏普值,3.271100701551045

預期報酬,22918.085815512724366
風險,154889.697785438067513
趨勢值,0.147963913308554
找到最佳解世代,2131
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),HD[9](1),MCD[15](5),WBA[27](13),
Stock#,AAPL[0](2),HD[9](1),MCD[15](5),WBA[27](13),
張數,46142,65359,26578,77089,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,26.439999999944121,18.250000000000000,73.319999999832362,3.729999999981374,
20111115,2563214.540000000037253,2488235.379999999888241,2510896.979999999981374,2509250.679999999701977,10071597.580000000074506
20111116,2536452.179999999701977,2473202.810000000055879,2475814.020000000018626,2483811.310000000055879,9969280.320000000298023
20111117,2488003.080000000074506,2458823.829999999608845,2452956.939999999944121,2488436.649999999906868,9888220.500000000000000
20111118,2471391.959999999962747,2475817.170000000391155,2464917.039999999571592,2515417.800000000279397,9927543.970000000670552
20111121,2432632.679999999701977,2422222.790000000037253,2452691.159999999683350,2412118.540000000037253,9719665.169999998062849
20111122,2482004.620000000111759,2424837.149999999906868,2462525.020000000018626,2369719.589999999850988,9739086.379999998956919
20111123,2419251.500000000000000,2386928.930000000167638,2441794.180000000167638,2473789.740000000223517,9721764.349999999627471
20111125,2396641.919999999925494,2383660.979999999981374,2447907.119999999646097,2503083.560000000055879,9731293.580000000074506
20111128,2479236.099999999627471,2437908.949999999720603,2492026.600000000093132,2527752.040000000037253,9936923.689999997615814
20111129,2459856.459999999962747,2546404.890000000130385,2484053.199999999720603,2508479.790000000037253,9998794.339999999850988
20111130,2519379.640000000130385,2563398.229999999981374,2538803.879999999888241,2599444.810000000055879,10221026.560000000521541
20111201,2557216.080000000074506,2571241.310000000055879,2538272.319999999832362,2611779.050000000279397,10278508.760000001639128
20111202,2568751.580000000074506,2610456.709999999962747,2543587.919999999925494,2553191.409999999683350,10275987.619999999180436
20111205,2590438.319999999832362,2629410.819999999832362,2534285.619999999646097,2649552.659999999683350,10403687.419999999925494
20111206,2577057.140000000130385,2635293.129999999888241,2551827.100000000093132,2621800.619999999646097,10385977.989999998360872
20111207,2564598.799999999813735,2662090.319999999832362,2563521.419999999925494,2660345.119999999646097,10450555.659999998286366
20111208,2575211.459999999962747,2608495.939999999944121,2576013.080000000074506,2611779.050000000279397,10371499.530000001192093
20111209,2594591.099999999627471,2629410.819999999832362,2605514.659999999683350,2637989.310000000055879,10467505.890000000596046
