訓練日期,20180917 - 20181218
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10897391.620000001043081
真實報酬,897391.620000001043081

夏普值報酬,0.081039162000000
夏普值風險,0.044683479546228
夏普值,1.813626933778957

預期報酬,21819.939286820041161
風險,187441.340002960670972
趨勢值,0.116409428605639
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),MRK[17](3),
Stock#,MCD[15](1),MRK[17](3),
張數,31086,71448,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,127.759999999776483,68.959999999962747,
20180917,4916067.799999999813735,5031437.120000000111759,9947504.919999999925494
20180918,4904565.980000000447035,5031437.120000000111759,9936003.100000001490116
20180919,4948397.240000000223517,5000000.000000000000000,9948397.240000000223517
20180920,4998445.699999999254942,5057158.400000000372529,10055604.099999999627471
20180921,5138643.560000000521541,5080021.759999999776483,10218665.320000000298023
20180924,5076782.419999999925494,5057158.400000000372529,10133940.820000000298023
20180925,5173149.019999999552965,5047870.160000000149012,10221019.179999999701977
20180926,5152943.119999999180436,5025006.799999999813735,10177949.919999998062849
20180927,5176879.339999999850988,5052871.519999999552965,10229750.859999999403954
20180928,5200504.699999999254942,5068590.080000000074506,10269094.779999999329448
20181001,5181231.379999998956919,5110744.400000000372529,10291975.779999999329448
20181002,5134913.240000000223517,5126462.959999999962747,10261376.199999999254942
20181003,5118748.519999999552965,5099312.720000000670552,10218061.240000000223517
20181004,5154186.560000000521541,5088595.519999999552965,10242782.080000000074506
20181005,5178122.779999999329448,5075020.400000000372529,10253143.179999999701977
20181008,5215425.980000000447035,5105743.039999999105930,10321169.019999999552965
20181009,5279463.140000000596046,5168617.280000000260770,10448080.420000001788139
20181010,5234077.580000000074506,5033580.560000000521541,10267658.140000000596046
20181011,5066213.179999999701977,4884968.720000000670552,9951181.900000000372529
20181012,5092636.279999999329448,4987853.839999999850988,10080490.119999999180436
20181015,5087973.379999998956919,4962847.039999999105930,10050820.419999998062849
20181016,5100407.779999999329448,5088595.519999999552965,10189003.299999998882413
20181017,5184339.980000000447035,5131464.319999999366701,10315804.300000000745058
20181018,5185583.419999999925494,5159329.039999999105930,10344912.459999999031425
20181019,5206721.900000000372529,5169331.759999999776483,10376053.660000000149012
20181022,5179987.939999999478459,5185050.319999999366701,10365038.259999997913837
20181023,5507012.660000000149012,5151469.759999999776483,10658482.419999999925494
20181024,5513229.859999999403954,5040010.880000000819564,10553240.740000000223517
20181025,5449814.419999999925494,4998571.039999999105930,10448385.459999999031425
20181026,5388575.000000000000000,5030008.160000000149012,10418583.160000000149012
20181029,5385155.539999999105930,5105028.560000000521541,10490184.099999999627471
20181030,5548667.900000000372529,5206484.720000000670552,10755152.620000001043081
20181031,5499241.160000000149012,5259356.240000000223517,10758597.400000000372529
20181101,5436447.439999999478459,5224346.720000000670552,10660794.160000000149012
20181102,5494578.259999999776483,5163615.919999999925494,10658194.179999999701977
20181105,5607731.299999999813735,5224346.720000000670552,10832078.019999999552965
20181106,5679850.820000000298023,5237921.839999999850988,10917772.660000000149012
20181107,5727723.259999999776483,5364384.799999999813735,11092108.059999998658895
20181108,5765959.039999999105930,5392964.000000000000000,11158923.039999999105930
20181109,5780258.599999999627471,5348666.240000000223517,11128924.839999999850988
20181112,5731453.580000000074506,5336520.080000000074506,11067973.660000000149012
20181113,5720262.619999999180436,5330804.240000000223517,11051066.859999999403954
20181114,5715288.859999999403954,5293651.280000000260770,11008940.140000000596046
20181115,5706273.919999999925494,5347237.280000000260770,11053511.199999999254942
20181116,5831550.500000000000000,5434403.839999999850988,11265954.339999999850988
20181119,5804505.679999999701977,5455123.759999999776483,11259629.439999999478459
20181120,5710936.820000000298023,5342950.400000000372529,11053887.220000000670552
20181121,5680161.679999999701977,5343664.880000000819564,11023826.560000000521541
20181123,5655603.740000000223517,5335091.120000000111759,10990694.859999999403954
20181126,5716532.299999999813735,5390106.080000000074506,11106638.379999998956919
20181127,5739535.939999999478459,5454409.280000000260770,11193945.219999998807907
20181128,5839632.859999999403954,5517998.000000000000000,11357630.859999999403954
20181129,5883464.119999999180436,5566582.639999999664724,11450046.759999997913837
20181130,5860149.619999999180436,5668753.280000000260770,11528902.899999998509884
20181203,5762539.580000000074506,5660179.519999999552965,11422719.099999999627471
20181204,5752281.199999999254942,5588017.039999999105930,11340298.239999998360872
20181206,5765026.459999999031425,5599448.720000000670552,11364475.179999999701977
20181207,5687622.320000000298023,5481559.519999999552965,11169181.839999999850988
20181210,5740157.660000000149012,5531573.120000000111759,11271730.780000001192093
20181211,5707206.500000000000000,5509424.240000000223517,11216630.740000000223517
20181212,5703787.039999999105930,5573727.440000000409782,11277514.480000000447035
20181213,5795490.740000000223517,5645175.440000000409782,11440666.179999999701977
20181214,5697880.699999999254942,5464412.000000000000000,11162292.699999999254942
20181217,5620165.699999999254942,5375102.000000000000000,10995267.699999999254942
20181218,5586592.820000000298023,5310798.799999999813735,10897391.620000001043081
