訓練日期,20180808 - 20181107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11631935.699999999254942
真實報酬,1631935.699999999254942

夏普值報酬,0.154493570000000
夏普值風險,0.036414121874579
夏普值,4.242682839699400

預期報酬,19714.851875513795676
風險,120483.836640371635440
趨勢值,0.163630677983471
找到最佳解世代,2077
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PFE[20](4),WBA[27](1),
Stock#,MCD[15](3),PFE[20](4),WBA[27](1),
張數,21362,81619,49714,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,6.520000000018626,13.039999999571592,9.300000000279397,
20180808,3394855.559999999590218,3379855.829999999143183,3305493.160000000149012,10080205.549999998882413
20180809,3402973.120000000111759,3346392.039999999571592,3289584.680000000167638,10038950.839999999850988
20180810,3389728.680000000167638,3340678.709999999497086,3305493.160000000149012,10035901.550000000745058
20180813,3378193.199999999720603,3330884.429999999701977,3304996.020000000484288,10014074.649999998509884
20180814,3430743.719999999739230,3322722.529999999795109,3413372.540000000037253,10166839.789999999105930
20180815,3415363.080000000074506,3359451.079999999143183,3416852.520000000484288,10191667.679999999701977
20180816,3454882.779999999795109,3380672.019999999552965,3461097.980000000447035,10296653.779999999329448
20180817,3442492.820000000298023,3435356.750000000000000,3479492.160000000149012,10357342.730000000447035
20180820,3453814.680000000167638,3454945.309999999590218,3479492.160000000149012,10388253.150000000372529
20180821,3440143.000000000000000,3441070.079999999143183,3492417.800000000279397,10373631.879999998956919
20180822,3429675.620000000111759,3433724.369999999646097,3462092.260000000242144,10325493.250000000000000
20180823,3397632.620000000111759,3444334.839999999850988,3444195.220000000204891,10286163.679999999701977
20180824,3404682.080000000074506,3460658.639999999664724,3440715.239999999757856,10306056.959999999031425
20180827,3428180.279999999795109,3393731.059999999590218,3452149.459999999962747,10274061.800000000745058
20180828,3452960.199999999720603,3387201.539999999571592,3444195.220000000204891,10284357.959999999031425
20180829,3484362.340000000316650,3387201.539999999571592,3413372.540000000037253,10284937.419999999925494
20180830,3477740.120000000111759,3387201.539999999571592,3370618.500000000000000,10235561.160000000149012
20180831,3465563.779999999795109,3388833.919999999925494,3408401.140000000596046,10262799.839999999850988
20180904,3454669.160000000149012,3376591.069999999366701,3361669.980000000447035,10192931.210000000894070
20180905,3487139.400000000372529,3415768.189999999478459,3392492.660000000149012,10295401.250000000000000
20180906,3497820.400000000372529,3410054.859999999869615,3382052.720000000204891,10289928.980000000447035
20180907,3501238.320000000298023,3444334.839999999850988,3390006.959999999962747,10335581.120000001043081
20180910,3526231.859999999869615,3432908.179999999701977,3420332.500000000000000,10379473.539999999105930
20180911,3516618.959999999962747,3453312.929999999701977,3417349.660000000149012,10387282.550000000745058
20180912,3519182.400000000372529,3461474.829999999143183,3498880.620000000111759,10479538.849999999627471
20180913,3469195.320000000298023,3497387.189999999478459,3503852.020000000484288,10470435.530000001192093
20180914,3435870.600000000093132,3506365.279999999795109,3493909.220000000204891,10436146.099999999627471
20180917,3378193.199999999720603,3510446.229999999515712,3502360.600000000558794,10391001.030000001192093
20180918,3370289.260000000242144,3551255.729999999515712,3523737.620000000111759,10445283.609999999403954
20180919,3400409.680000000167638,3530850.979999999515712,3543623.220000000204891,10474884.880000000819564
20180920,3434802.500000000000000,3570844.289999999571592,3623662.760000000242144,10629310.549999998882413
20180921,3531145.120000000111759,3596146.179999999701977,3629131.300000000279397,10756423.599999999627471
20180924,3488634.740000000223517,3585535.709999999497086,3589360.100000000558794,10663531.550000000745058
20180925,3554856.939999999944121,3574109.049999999348074,3589857.239999999757856,10718824.229999998584390
20180926,3540971.639999999664724,3565130.959999999497086,3627142.739999999757856,10733246.339999999850988
20180927,3557420.379999999888241,3583087.139999999664724,3669399.640000000596046,10809908.160000000149012
20180928,3573655.500000000000000,3596962.369999999646097,3624159.900000000372529,10794778.769999999552965
20181001,3560411.059999999590218,3613286.169999999925494,3602285.739999999757856,10775983.969999998807907
20181002,3528581.680000000167638,3609205.219999999273568,3653491.160000000149012,10791279.059999998658895
20181003,3517473.439999999944121,3657360.429999999701977,3668902.500000000000000,10843737.369999999180436
20181004,3541826.120000000111759,3648382.339999999850988,3646034.060000000521541,10836243.519999999552965
20181005,3558274.859999999869615,3665522.329999999143183,3604771.440000000409782,10828569.629999998956919
20181008,3583909.260000000242144,3695721.359999999869615,3686302.400000000372529,10965934.019999999552965
