訓練日期,20150128 - 20150430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10950677.309999998658895
真實報酬,950677.309999998658895

夏普值報酬,0.086367731000000
夏普值風險,0.034407249591186
夏普值,2.510160853488408

預期報酬,19809.796285699034343
風險,137737.906742780993227
趨勢值,0.143822399760241
找到最佳解世代,2595
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](2),IBM[10](5),NKE[19](12),WBA[27](1),
Stock#,GS[8](2),IBM[10](5),NKE[19](12),WBA[27](1),
張數,14165,16268,52910,33364,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.149999999906868,96.440000000409782,2.500000000000000,35.479999999981374,
20150128,2451272.399999999906868,2465511.840000000782311,2468783.099999999627471,2461297.759999999776483,9846865.099999999627471
20150129,2492917.500000000000000,2529445.080000000074506,2510052.899999999906868,2487988.959999999962747,10020404.440000001341105
20150130,2442206.799999999813735,2494143.520000000484288,2440740.800000000279397,2460630.479999999981374,9837721.600000001490116
20150202,2485835.000000000000000,2516105.320000000298023,2431746.100000000093132,2498665.439999999944121,9932351.859999999403954
20150203,2553118.750000000000000,2578086.400000000372529,2469841.299999999813735,2495329.040000000037253,10096375.490000000223517
20150204,2532437.850000000093132,2553521.720000000670552,2448148.200000000186265,2491325.359999999869615,10025433.130000000819564
20150205,2560626.200000000186265,2568976.320000000298023,2469312.200000000186265,2495329.040000000037253,10094243.760000001639128
20150206,2598305.100000000093132,2549617.400000000372529,2428571.500000000000000,2540704.080000000074506,10117198.080000000074506
20150209,2581165.449999999720603,2533837.440000000409782,2412169.400000000372529,2549045.080000000074506,10076217.370000001043081
20150210,2614311.549999999813735,2579550.520000000484288,2453968.300000000279397,2558720.640000000130385,10206551.010000001639128
20150211,2658081.399999999906868,2573694.040000000037253,2415873.099999999627471,2653474.399999999906868,10301122.939999999478459
20150212,2688252.850000000093132,2578899.800000000745058,2433862.500000000000000,2667820.919999999925494,10368836.070000000298023
20150213,2677204.149999999906868,2609483.640000000596046,2434920.700000000186265,2626783.200000000186265,10348391.690000001341105
20150217,2691652.450000000186265,2618593.720000000670552,2430158.799999999813735,2602427.479999999981374,10342832.450000001117587
20150218,2672529.699999999720603,2638603.360000000335276,2476719.600000000093132,2595421.040000000037253,10383273.699999999254942
20150219,2678762.300000000279397,2666258.959999999962747,2478836.000000000000000,2572399.879999999888241,10396257.140000000596046
20150220,2712758.299999999813735,2662354.640000000596046,2511640.199999999720603,2573400.799999999813735,10460153.940000001341105
20150223,2695760.299999999813735,2650316.320000000298023,2513756.600000000093132,2622112.240000000223517,10481945.460000000894070
20150224,2722815.449999999720603,2681550.880000000819564,2524338.600000000093132,2682167.439999999944121,10610872.369999999180436
20150225,2715732.949999999720603,2648689.520000000484288,2561375.599999999627471,2669489.120000000111759,10595287.190000001341105
20150226,2722532.149999999906868,2617129.600000000558794,2566137.500000000000000,2724206.080000000074506,10630005.330000000074506
20150227,2688394.500000000000000,2634536.360000000335276,2569312.100000000093132,2771916.600000000093132,10664159.560000000521541
20150302,2716724.500000000000000,2610785.080000000074506,2612698.300000000279397,2789933.160000000149012,10730141.040000000968575
20150303,2709358.700000000186265,2619732.480000000447035,2592063.399999999906868,2776253.919999999925494,10697408.500000000000000
20150304,2686694.699999999720603,2593541.000000000000000,2579894.100000000093132,2769914.759999999776483,10630044.559999998658895
20150305,2692502.350000000093132,2622172.680000000633299,2604761.799999999813735,2775920.280000000260770,10695357.110000001266599
20150306,2647599.299999999813735,2578574.440000000409782,2564021.100000000093132,2747560.879999999888241,10537755.719999998807907
20150309,2662047.600000000093132,2615502.800000000745058,2577777.699999999720603,2785929.479999999981374,10641257.580000000074506
20150310,2588106.299999999813735,2567349.520000000484288,2553439.100000000093132,2759905.560000000055879,10468800.480000000447035
