訓練日期,20180301 - 20180601
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11323178.419999999925494
真實報酬,1323178.419999999925494

夏普值報酬,0.123617842000000
夏普值風險,0.041376258208919
夏普值,2.987651550699019

預期報酬,21138.358321251271263
風險,189297.275676579301944
趨勢值,0.111667525302196
找到最佳解世代,2263
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](1),INTC[11](2),
Stock#,CVX[5](1),INTC[11](2),
張數,44674,101440,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,85.919999999925494,22.400000000372529,
20180301,5005360.879999999888241,4852912.000000000931323,9858272.880000000819564
20180302,4987491.280000000260770,4968553.599999999627471,9956044.879999998956919
20180305,5054949.020000000484288,5046662.400000000372529,10101611.420000001788139
20180306,5077286.020000000484288,5144044.800000000745058,10221330.820000000298023
20180307,5085774.080000000074506,5205923.200000000186265,10291697.280000001192093
20180308,5063883.819999999366701,5147088.000000000931323,10210971.820000000298023
20180309,5236772.200000000186265,5294176.000000000000000,10530948.199999999254942
20180312,5217562.379999999888241,5226211.200000001117587,10443773.580000001937151
20180313,5202819.959999999962747,5252585.600000000558794,10455405.560000000521541
20180314,5143403.540000000037253,5260700.800000000745058,10404104.339999999850988
20180315,5163506.839999999850988,5161289.600000000558794,10324796.440000001341105
20180316,5155465.520000000484288,5190707.200000000186265,10346172.720000000670552
20180319,5088007.780000000260770,5156217.600000000558794,10244225.380000000819564
20180320,5115258.919999999925494,5229254.400000000372529,10344513.320000000298023
20180321,5228730.879999999888241,5230268.800000000745058,10458999.679999999701977
20180322,5079519.719999999739230,5156217.600000000558794,10235737.320000000298023
20180323,5047354.440000000409782,5007100.800000000745058,10054455.240000002086163
20180326,5153231.819999999366701,5323593.599999999627471,10476825.419999998062849
20180327,5122406.759999999776483,5192736.000000000000000,10315142.759999999776483
20180328,5008041.319999999366701,5031446.400000000372529,10039487.719999998807907
20180329,5094708.879999999888241,5283017.600000000558794,10377726.480000000447035
20180402,5014295.679999999701977,4962467.200000000186265,9976762.879999998956919
20180403,5130001.339999999850988,5046662.400000000372529,10176663.740000000223517
20180404,5114365.440000000409782,5071008.000000000931323,10185373.440000001341105
20180405,5239899.379999999888241,5110569.600000000558794,10350468.980000000447035
20180406,5126874.160000000149012,4949280.000000000000000,10076154.160000000149012
20180409,5181376.440000000409782,5026374.400000000372529,10207750.839999999850988
20180410,5309590.819999999366701,5200851.200000001117587,10510442.019999999552965
20180411,5327460.419999999925494,5183606.400000000372529,10511066.820000000298023
20180412,5326566.940000000409782,5347939.200000000186265,10674506.140000000596046
20180413,5357392.000000000000000,5260700.800000000745058,10618092.800000000745058
20180416,5392237.719999999739230,5315478.400000000372529,10707716.120000001043081
20180417,5392237.719999999739230,5431120.000000000000000,10823357.719999998807907
20180418,5531620.599999999627471,5438220.800000000745058,10969841.400000000372529
20180419,5526706.459999999962747,5297219.200000000186265,10823925.660000000149012
20180420,5464162.860000000335276,5227225.600000000558794,10691388.460000000894070
20180423,5520898.839999999850988,5183606.400000000372529,10704505.240000000223517
20180424,5474437.879999999888241,5219110.400000000372529,10693548.280000001192093
20180425,5482479.200000000186265,5212009.600000000558794,10694488.800000000745058
20180426,5549490.200000000186265,5381414.400000000372529,10930904.600000001490116
20180427,5656707.799999999813735,5348953.599999999627471,11005661.399999998509884
20180430,5589250.059999999590218,5236355.200000000186265,10825605.259999999776483
20180501,5578081.559999999590218,5409817.600000000558794,10987899.160000000149012
20180502,5606226.179999999701977,5306348.800000000745058,10912574.980000000447035
20180503,5629456.660000000149012,5303305.600000000558794,10932762.260000001639128
20180504,5608013.139999999664724,5354025.600000000558794,10962038.740000000223517
20180507,5581655.479999999515712,5409817.600000000558794,10991473.080000000074506
20180508,5654474.099999999627471,5440249.600000000558794,11094723.699999999254942
20180509,5750523.200000000186265,5512272.000000000931323,11262795.200000001117587
20180510,5754990.599999999627471,5577193.599999999627471,11332184.199999999254942
20180511,5800558.080000000074506,5545747.200000000186265,11346305.280000001192093
20180514,5825128.779999999329448,5569078.400000000372529,11394207.179999999701977
20180515,5796090.680000000633299,5469667.200000000186265,11265757.880000000819564
20180516,5788049.360000000335276,5542704.000000000000000,11330753.359999999403954
20180517,5783581.959999999962747,5559948.800000000745058,11343530.760000001639128
20180518,5712103.559999999590218,5559948.800000000745058,11272052.359999999403954
20180521,5779561.299999999813735,5510243.200000000186265,11289804.500000000000000
20180522,5728632.939999999478459,5523430.400000000372529,11252063.339999999850988
20180523,5749629.719999999739230,5600524.800000000745058,11350154.519999999552965
20180524,5656261.059999999590218,5553862.400000000372529,11210123.460000000894070
20180525,5458801.979999999515712,5623856.000000000000000,11082657.980000000447035
20180529,5423062.780000000260770,5611683.200000000186265,11034745.980000000447035
20180530,5591483.759999999776483,5648201.600000000558794,11239685.359999999403954
20180531,5553064.120000000111759,5599510.400000000372529,11152574.519999999552965
20180601,5532960.819999999366701,5790217.600000000558794,11323178.419999999925494
