訓練日期,20190503 - 20190805
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10743807.299999998882413
真實報酬,743807.299999998882413

夏普值報酬,0.065680730000000
夏普值風險,0.030575422981420
夏普值,2.148154419316228

預期報酬,16460.099660385418247
風險,100810.045028131644358
趨勢值,0.163278368299430
找到最佳解世代,1964
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](2),MCD[15](1),
Stock#,KO[14](2),MCD[15](1),
張數,103327,25692,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.469999999739230,79.879999999888241,
20190503,5034097.909999999217689,5074763.719999999739230,10108861.629999998956919
20190506,5008266.159999999217689,5110218.679999999701977,10118484.839999999850988
20190507,4959702.469999999739230,5088123.559999999590218,10047826.029999999329448
20190508,4944203.419999999925494,5087866.639999999664724,10032070.059999998658895
20190509,4897706.269999999552965,5080159.040000000037253,9977865.309999998658895
20190510,4979334.599999999627471,5138222.959999999962747,10117557.559999998658895
20190513,4964868.819999999366701,5113558.639999999664724,10078427.459999999031425
20190514,5030998.099999999627471,5087352.799999999813735,10118350.899999998509884
20190515,5081628.330000000074506,5114586.319999999366701,10196214.649999998509884
20190516,5122959.129999999888241,5138222.959999999962747,10261182.089999999850988
20190517,5083694.870000000111759,5118440.120000000111759,10202134.990000000223517
20190520,5047530.419999999925494,5112530.959999999962747,10160061.379999998956919
20190521,5021698.669999999925494,5134369.160000000149012,10156067.830000000074506
20190522,5130192.019999999552965,5137452.200000000186265,10267644.219999998807907
20190523,5150857.419999999925494,5112017.120000000111759,10262874.539999999105930
20190524,5126058.939999999478459,5081186.719999999739230,10207245.660000000149012
20190528,5073362.169999999925494,5052925.519999999552965,10126287.689999999478459
20190529,5022731.939999999478459,5036225.719999999739230,10058957.660000000149012
20190530,5088861.219999999739230,5118953.959999999962747,10207815.179999999701977
20190531,5076461.980000000447035,5094032.719999999739230,10170494.699999999254942
20190603,5164289.929999999701977,5107135.639999999664724,10271425.570000000298023
20190604,5166356.469999999739230,5128973.839999999850988,10295330.309999998658895
20190605,5246951.530000000260770,5141819.839999999850988,10388771.370000001043081
20190606,5311014.269999999552965,5216840.480000000447035,10527854.750000000000000
20190607,5320313.700000000186265,5279272.040000000037253,10599585.740000000223517
20190610,5308947.730000000447035,5171879.480000000447035,10480827.210000000894070
20190611,5303781.379999999888241,5222235.799999999813735,10526017.179999999701977
20190612,5335812.750000000000000,5265141.440000000409782,10600954.190000001341105
20190613,5283115.980000000447035,5253836.959999999962747,10536952.940000001341105
20190614,5301714.839999999850988,5274390.559999999590218,10576105.399999998509884
20190617,5256250.959999999031425,5236366.400000000372529,10492617.359999999403954
20190618,5232485.750000000000000,5254350.799999999813735,10486836.550000000745058
20190619,5282082.709999999031425,5255378.480000000447035,10537461.189999999478459
20190620,5337879.289999999105930,5270022.919999999925494,10607902.209999999031425
20190621,5326513.319999999366701,5247927.799999999813735,10574441.119999999180436
20190624,5364744.309999999590218,5239192.519999999552965,10603936.829999998211861
20190625,5348211.989999999292195,5285181.200000000186265,10633393.189999999478459
20190626,5282082.709999999031425,5255378.480000000447035,10537461.189999999478459
20190627,5277949.629999999888241,5299568.719999999739230,10577518.349999999627471
20190628,5261417.309999999590218,5335280.599999999627471,10596697.910000000149012
20190701,5331679.669999999925494,5300339.480000000447035,10632019.150000000372529
20190702,5370943.929999999701977,5384609.240000000223517,10755553.169999999925494
20190703,5383343.169999999925494,5467594.400000000372529,10850937.570000000298023
20190705,5384376.439999999478459,5427257.959999999962747,10811634.399999998509884
20190708,5373010.469999999739230,5450894.599999999627471,10823905.070000000298023
20190709,5330646.400000000372529,5449096.160000000149012,10779742.560000000521541
20190710,5354411.609999999403954,5472475.879999999888241,10826887.489999998360872
20190711,5377143.549999999813735,5464511.359999999403954,10841654.910000000149012
20190712,5385409.709999999031425,5472218.959999999962747,10857628.669999998062849
20190715,5386442.980000000447035,5503563.200000000186265,10890006.179999999701977
20190716,5387476.250000000000000,5490974.120000000111759,10878450.370000001043081
20190717,5391609.330000000074506,5490717.200000000186265,10882326.530000001192093
20190718,5376110.280000000260770,5547239.599999999627471,10923349.879999998956919
20190719,5309981.000000000000000,5494827.919999999925494,10804808.919999999925494
20190722,5292415.409999999217689,5523859.879999999888241,10816275.289999999105930
20190723,5613762.379999999888241,5506132.400000000372529,11119894.780000001192093
20190724,5556932.530000000260770,5466823.639999999664724,11023756.169999999925494
20190725,5483570.359999999403954,5509472.359999999403954,10993042.719999998807907
20190726,5597230.059999999590218,5538761.240000000223517,11135991.300000000745058
20190729,5578631.200000000186265,5523346.040000000037253,11101977.240000000223517
20190730,5550732.909999999217689,5455519.160000000149012,11006252.070000000298023
20190731,5438106.480000000447035,5413898.120000000111759,10852004.600000001490116
20190801,5376110.280000000260770,5427514.879999999888241,10803625.160000000149012
20190802,5407108.379999999888241,5510500.040000000037253,10917608.419999999925494
20190805,5336846.019999999552965,5406961.279999999329448,10743807.299999998882413
