訓練日期,20111212 - 20120315
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12208128.340000001713634
真實報酬,2208128.340000001713634

夏普值報酬,0.212112834000000
夏普值風險,0.056954548696037
夏普值,3.724247471997984

預期報酬,32345.500917845514778
風險,92920.977879388272413
趨勢值,0.348096863119866
找到最佳解世代,2270
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),HD[9](2),MRK[17](14),MSFT[18](1),PFE[20](23),V[25](7),
Stock#,AAPL[0](4),HD[9](2),MRK[17](14),MSFT[18](1),PFE[20](23),V[25](7),
張數,29640,41428,46711,64850,81063,68587,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,8.800000000046566,17.560000000055879,17.520000000018626,21.000000000000000,10.720000000204891,1.899999999906868,
20111212,1659256.000000000000000,1659208.959999999962747,1654054.029999999795109,1654344.500000000000000,1652885.290000000270084,1661864.909999999916181,9941617.689999999478459
20111213,1646214.399999999906868,1636837.840000000083819,1634435.410000000149012,1670557.000000000000000,1682878.600000000325963,1644718.159999999916181,9915645.410000000149012
20111214,1609757.200000000186265,1621509.479999999981374,1661060.680000000167638,1659532.500000000000000,1690984.900000000139698,1652262.729999999981374,9895111.490000000223517
20111215,1604422.000000000232831,1633109.320000000065193,1698429.479999999981374,1657587.000000000000000,1713682.540000000270084,1643346.419999999925494,9950580.760000001639128
20111216,1613314.000000000000000,1674537.320000000065193,1693291.270000000018626,1686121.000000000000000,1704765.610000000335276,1670781.219999999972060,10042814.419999999925494
20111219,1618352.800000000046566,1665423.160000000149012,1703567.689999999944121,1655641.500000000000000,1713682.540000000270084,1690671.449999999720603,10047343.140000000596046
20111220,1676447.200000000186265,1737922.160000000149012,1731594.290000000037253,1688066.500000000000000,1739622.700000000186265,1737996.479999999981374,10311653.330000001937151
20111221,1678818.400000000139698,1739993.560000000055879,1743739.149999999906868,1670557.000000000000000,1757456.560000000288710,1727022.559999999823049,10317591.230000000447035
20111222,1687710.399999999906868,1736679.320000000065193,1754482.680000000167638,1673799.500000000000000,1753403.410000000149012,1724279.079999999841675,10330358.390000000596046
20111223,1707865.599999999860302,1743722.080000000307336,1770364.419999999925494,1688066.500000000000000,1769616.010000000009313,1757200.840000000083819,10436839.449999999254942
20111227,1721500.000000000000000,1749107.719999999972060,1763357.770000000018626,1688715.000000000000000,1764752.230000000214204,1747598.659999999916181,10435035.380000000819564
20111228,1704901.600000000093132,1720522.400000000139698,1748410.250000000000000,1674448.000000000000000,1745297.110000000335276,1727022.559999999823049,10320605.919999999925494
20111229,1715275.599999999860302,1740407.840000000083819,1762423.549999999813735,1687418.000000000000000,1759888.450000000186265,1768860.629999999888241,10434278.070000000298023
