代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10771626.662400000000
真實報酬,771626.662399999800

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,4017.968661292961
風險,116306.209158888450
起點值,0.034546467384
找到最佳解世代,1440
找到最佳解實驗#,3
找到最佳解次數,4

投資組合檔數,3
2412(24)[1],2884(33)[3],9999(49)[22],
Stock#,2412(24)[1],2884(33)[3],9999(49)[22],
張數,41,240,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,26683.000000000000,9333.000000000000,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3315292.999999999500,3254132.999999999500,3333333.000000000000,9902760.000000000000
FS( 3 ),3315292.999999999500,3254132.999999999500,3333333.000000000000,9902760.000000000000
FS( 4 ),3325953.000000000000,3323733.000000000000,3333333.000000000000,9983020.000000000000
FS( 5 ),3333333.000000000000,3340533.000000000500,3333333.000000000000,10007200.000000000000
FS( 6 ),3357933.000000000000,3323733.000000000000,3333333.000000000000,10015000.000000000000
FS( 7 ),3372283.000000000000,3357333.000000000000,3333333.000000000000,10062950.000000000000
FS( 8 ),3365313.000000000000,3350133.000000000000,3333333.000000000000,10048780.000000000000
FS( 9 ),3350962.999999999500,3306933.000000000000,3333333.000000000000,9991230.000000000000
FS( 10 ),3361623.000000000000,3263733.000000000000,3333333.000000000000,9958690.000000000000
FS( 11 ),3365313.000000000000,3263733.000000000000,3333333.000000000000,9962380.000000000000
FS( 12 ),3382942.999999999500,3246933.000000000000,3333333.000000000000,9963210.000000000000
FS( 13 ),3404263.000000000000,3280533.000000000500,3333333.000000000000,10018130.000000000000
FS( 14 ),3414923.000000000500,3280533.000000000500,3333333.000000000000,10028790.000000000000
FS( 15 ),3421893.000000000000,3280533.000000000500,3333333.000000000000,10035760.000000000000
FS( 16 ),3414923.000000000500,3273333.000000000000,3333333.000000000000,10021590.000000000000
FS( 17 ),3421893.000000000000,3306933.000000000000,3333333.000000000000,10062160.000000000000
FS( 18 ),3421893.000000000000,3314132.999999999500,3333333.000000000000,10069360.000000000000
FS( 19 ),3404263.000000000000,3306933.000000000000,3333333.000000000000,10044530.000000000000
FS( 20 ),3421893.000000000000,3340533.000000000500,3333333.000000000000,10095760.000000000000
FS( 21 ),3418613.000000000500,3350133.000000000000,3333333.000000000000,10102080.000000000000
FS( 22 ),3421893.000000000000,3366933.000000000000,3333333.000000000000,10122160.000000000000
FS( 23 ),3432553.000000000000,3383733.000000000000,3333333.000000000000,10149620.000000000000
FS( 24 ),3439933.000000000000,3376533.000000000000,3333333.000000000000,10149800.000000000000
FS( 25 ),3439933.000000000000,3350133.000000000000,3333333.000000000000,10123400.000000000000
FS( 26 ),3425583.000000000000,3333333.000000000000,3333333.000000000000,10092250.000000000000
FS( 27 ),3439933.000000000000,3376533.000000000000,3333333.000000000000,10149800.000000000000
FS( 28 ),3439933.000000000000,3376533.000000000000,3333333.000000000000,10149800.000000000000
FS( 29 ),3457563.000000000000,3376533.000000000000,3333333.000000000000,10167430.000000000000
FS( 30 ),3471913.000000000000,3383733.000000000000,3333333.000000000000,10188980.000000000000
FS( 31 ),3532183.000000000000,3400533.000000000500,3333333.000000000000,10266050.000000000000
FS( 32 ),3542843.000000000500,3400533.000000000500,3333333.000000000000,10276710.000000000000
FS( 33 ),3518243.000000000000,3376533.000000000000,3333333.000000000000,10228110.000000000000
FS( 34 ),3510863.000000000500,3340533.000000000500,3333333.000000000000,10184730.000000000000
FS( 35 ),3510863.000000000500,3340533.000000000500,3333333.000000000000,10184730.000000000000
FS( 36 ),3510863.000000000500,3383733.000000000000,3333333.000000000000,10227930.000000000000
FS( 37 ),3510863.000000000500,3323733.000000000000,3333333.000000000000,10167930.000000000000
FS( 38 ),3510863.000000000500,3333333.000000000000,3333333.000000000000,10177530.000000000000
FS( 39 ),3482573.000000000500,3306933.000000000000,3333333.000000000000,10122840.000000000000
FS( 40 ),3486263.000000000000,3297333.000000000000,3333333.000000000000,10116930.000000000000
