代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12951030.000000000000
真實報酬,2951030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11663.391950624633
風險,167128.152070507700
起點值,0.069787117288
找到最佳解世代,1472
找到最佳解實驗#,1
找到最佳解次數,20

投資組合檔數,8
1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
Stock#,1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
張數,48,38,47,18,54,2,17,-1,
FS( 18 ),1261040.000000000200,1296740.000000000000,1223680.000000000000,1259359.999999999800,1255940.000000000000,1226520.000000000000,1267680.000000000000,1250000.000000000000,10040960.000000000000
FS( 19 ),1266320.000000000200,1290280.000000000000,1213810.000000000200,1248200.000000000000,1260260.000000000000,1231940.000000000000,1271590.000000000000,1250000.000000000000,10032400.000000000000
FS( 20 ),1311440.000000000200,1303199.999999999800,1257990.000000000000,1245320.000000000000,1284560.000000000000,1257220.000000000000,1274140.000000000000,1250000.000000000000,10183870.000000000000
FS( 21 ),1320560.000000000000,1322580.000000000200,1251410.000000000000,1249460.000000000000,1282400.000000000000,1262640.000000000000,1291310.000000000000,1250000.000000000000,10230360.000000000000
FS( 22 ),1313360.000000000200,1332840.000000000000,1254700.000000000000,1272140.000000000000,1296440.000000000000,1264440.000000000000,1306950.000000000000,1250000.000000000000,10290870.000000000000
FS( 23 ),1345040.000000000200,1368940.000000000200,1282900.000000000000,1256660.000000000000,1300760.000000000000,1278880.000000000000,1320040.000000000000,1250000.000000000000,10403220.000000000000
FS( 24 ),1346960.000000000200,1374260.000000000000,1257990.000000000000,1264940.000000000000,1286180.000000000000,1273460.000000000000,1379030.000000000000,1250000.000000000000,10432820.000000000000
FS( 25 ),1343120.000000000200,1400100.000000000200,1250000.000000000000,1264940.000000000000,1304540.000000000000,1222920.000000000000,1372400.000000000000,1250000.000000000000,10408020.000000000000
FS( 26 ),1343120.000000000200,1428600.000000000200,1260339.999999999800,1257920.000000000000,1311020.000000000000,1231940.000000000000,1379030.000000000000,1250000.000000000000,10461970.000000000000
FS( 27 ),1335920.000000000200,1441520.000000000000,1276320.000000000000,1252340.000000000000,1316960.000000000000,1233740.000000000000,1385490.000000000000,1250000.000000000000,10492290.000000000000
FS( 28 ),1346960.000000000200,1470020.000000000000,1280080.000000000200,1269260.000000000000,1373120.000000000000,1285780.000000000000,1385490.000000000000,1250000.000000000000,10660710.000000000000
FS( 29 ),1346960.000000000200,1444559.999999999800,1283370.000000000000,1270700.000000000000,1364480.000000000000,1270920.000000000000,1365940.000000000000,1250000.000000000000,10596930.000000000000
FS( 30 ),1354640.000000000200,1433160.000000000000,1280080.000000000200,1272140.000000000000,1364480.000000000000,1287640.000000000000,1359310.000000000000,1250000.000000000000,10601450.000000000000
FS( 31 ),1328240.000000000000,1461280.000000000000,1287130.000000000000,1274840.000000000000,1373120.000000000000,1295080.000000000000,1398750.000000000000,1250000.000000000000,10668440.000000000000
FS( 32 ),1332080.000000000200,1438860.000000000000,1280080.000000000200,1280420.000000000000,1362320.000000000000,1283920.000000000000,1411840.000000000000,1250000.000000000000,10639520.000000000000
FS( 33 ),1317200.000000000200,1438860.000000000000,1273030.000000000000,1277720.000000000200,1358000.000000000000,1300640.000000000000,1438020.000000000000,1250000.000000000000,10653470.000000000000
FS( 34 ),1309520.000000000200,1419100.000000000200,1255170.000000000000,1272140.000000000000,1353139.999999999800,1296940.000000000000,1470660.000000000000,1250000.000000000000,10626670.000000000000
FS( 35 ),1292720.000000000500,1416440.000000000200,1251880.000000000000,1267820.000000000000,1342340.000000000000,1296940.000000000000,1438020.000000000000,1250000.000000000000,10556160.000000000000
FS( 36 ),1296560.000000000000,1470020.000000000000,1283370.000000000000,1276280.000000000000,1364480.000000000000,1296940.000000000000,1444480.000000000000,1250000.000000000000,10682130.000000000000
FS( 37 ),1285040.000000000200,1470020.000000000000,1280080.000000000200,1279160.000000000000,1366639.999999999800,1295080.000000000000,1431390.000000000000,1250000.000000000000,10657410.000000000000
FS( 38 ),1279760.000000000200,1458620.000000000000,1280080.000000000200,1280420.000000000000,1366639.999999999800,1295080.000000000000,1451110.000000000000,1250000.000000000000,10661710.000000000000
FS( 39 ),1275920.000000000200,1470020.000000000000,1269270.000000000000,1273400.000000000000,1348820.000000000000,1298780.000000000000,1431390.000000000000,1250000.000000000000,10617600.000000000000
FS( 40 ),1274000.000000000000,1434680.000000000000,1262220.000000000000,1273400.000000000000,1346660.000000000000,1337820.000000000000,1424930.000000000000,1250000.000000000000,10603710.000000000000
FS( 41 ),1259120.000000000200,1389460.000000000000,1246710.000000000000,1272140.000000000000,1329380.000000000200,1304360.000000000000,1405209.999999999800,1250000.000000000000,10456380.000000000000
FS( 42 ),1243760.000000000200,1385280.000000000000,1242950.000000000000,1274840.000000000000,1329380.000000000200,1311800.000000000000,1411840.000000000000,1250000.000000000000,10449850.000000000000
FS( 43 ),1226960.000000000200,1382620.000000000000,1241070.000000000000,1279160.000000000000,1313719.999999999800,1306220.000000000000,1411840.000000000000,1250000.000000000000,10411590.000000000000
FS( 44 ),1225040.000000000200,1381100.000000000200,1288540.000000000000,1279160.000000000000,1327219.999999999800,1311800.000000000000,1464200.000000000000,1250000.000000000000,10527060.000000000000
FS( 45 ),1225040.000000000200,1364000.000000000000,1276320.000000000000,1273400.000000000000,1329380.000000000200,1348960.000000000000,1457570.000000000200,1250000.000000000000,10524670.000000000000
FS( 46 ),1243760.000000000200,1361340.000000000000,1280080.000000000200,1272140.000000000000,1318040.000000000000,1334100.000000000000,1405209.999999999800,1250000.000000000000,10464670.000000000000
FS( 47 ),1225040.000000000200,1351460.000000000000,1262220.000000000000,1272140.000000000000,1302919.999999999800,1341540.000000000000,1379030.000000000000,1250000.000000000000,10384350.000000000000
FS( 48 ),1223120.000000000200,1383760.000000000000,1257050.000000000000,1277720.000000000200,1305080.000000000000,1347100.000000000000,1359310.000000000000,1250000.000000000000,10403140.000000000000
FS( 49 ),1270160.000000000500,1376920.000000000200,1280080.000000000200,1279160.000000000000,1329380.000000000200,1348960.000000000000,1385490.000000000000,1250000.000000000000,10520150.000000000000
FS( 50 ),1320560.000000000000,1400860.000000000000,1280080.000000000200,1280420.000000000000,1333700.000000000000,1369400.000000000000,1385490.000000000000,1250000.000000000000,10620510.000000000000
FS( 51 ),1313360.000000000200,1400860.000000000000,1280080.000000000200,1280420.000000000000,1344500.000000000000,1347100.000000000000,1392120.000000000000,1250000.000000000000,10608440.000000000000
FS( 52 ),1322480.000000000500,1410740.000000000000,1280080.000000000200,1284739.999999999800,1362320.000000000000,1363840.000000000000,1424930.000000000000,1250000.000000000000,10699130.000000000000
FS( 53 ),1332080.000000000200,1427460.000000000000,1287130.000000000000,1284739.999999999800,1358000.000000000000,1352680.000000000000,1411840.000000000000,1250000.000000000000,10703930.000000000000
FS( 54 ),1380560.000000000000,1452920.000000000200,1301230.000000000000,1300220.000000000200,1403900.000000000000,1365700.000000000000,1418300.000000000000,1250000.000000000000,10872830.000000000000
FS( 55 ),1380560.000000000000,1438860.000000000000,1304520.000000000000,1307239.999999999800,1421719.999999999800,1380560.000000000000,1392120.000000000000,1250000.000000000000,10875580.000000000000
FS( 56 ),1350800.000000000200,1447219.999999999800,1294180.000000000000,1307239.999999999800,1419560.000000000000,1378700.000000000000,1398750.000000000000,1250000.000000000000,10846450.000000000000
FS( 57 ),1352720.000000000500,1455960.000000000000,1315330.000000000200,1317140.000000000000,1432520.000000000000,1373120.000000000000,1431390.000000000000,1250000.000000000000,10928180.000000000000
FS( 58 ),1326320.000000000200,1444559.999999999800,1297470.000000000000,1307239.999999999800,1414700.000000000000,1369400.000000000000,1405209.999999999800,1250000.000000000000,10814900.000000000000
FS( 59 ),1350800.000000000200,1444559.999999999800,1304520.000000000000,1314260.000000000000,1417400.000000000000,1367560.000000000000,1392120.000000000000,1250000.000000000000,10841220.000000000000
FS( 60 ),1365680.000000000200,1450260.000000000000,1316740.000000000000,1312820.000000000000,1426040.000000000000,1365700.000000000000,1431390.000000000000,1250000.000000000000,10918630.000000000000
FS( 61 ),1354640.000000000200,1466980.000000000000,1325670.000000000000,1317140.000000000000,1419560.000000000000,1335960.000000000000,1424930.000000000000,1250000.000000000000,10894880.000000000000
FS( 62 ),1346960.000000000200,1486740.000000000000,1321910.000000000000,1317140.000000000000,1408219.999999999800,1261620.000000000000,1418300.000000000000,1250000.000000000000,10810890.000000000000
FS( 63 ),1356560.000000000000,1486740.000000000000,1313450.000000000000,1324160.000000000000,1417400.000000000000,1282060.000000000000,1405209.999999999800,1250000.000000000000,10835580.000000000000
FS( 64 ),1365680.000000000200,1495100.000000000200,1344940.000000000000,1326859.999999999800,1421719.999999999800,1282060.000000000000,1411840.000000000000,1250000.000000000000,10898200.000000000000
FS( 65 ),1352720.000000000500,1478380.000000000000,1339770.000000000000,1318580.000000000200,1412540.000000000000,1256040.000000000000,1411840.000000000000,1250000.000000000000,10819870.000000000000
FS( 66 ),1345040.000000000200,1472680.000000000000,1332720.000000000000,1321280.000000000000,1412540.000000000000,1287640.000000000000,1431390.000000000000,1250000.000000000000,10853290.000000000000
FS( 67 ),1339280.000000000200,1447219.999999999800,1315330.000000000200,1311379.999999999800,1403900.000000000000,1291360.000000000000,1438020.000000000000,1250000.000000000000,10796490.000000000000
FS( 68 ),1361840.000000000200,1470020.000000000000,1304520.000000000000,1314260.000000000000,1426040.000000000000,1287640.000000000000,1477290.000000000000,1250000.000000000000,10891610.000000000000
FS( 69 ),1365680.000000000200,1464320.000000000000,1320500.000000000000,1314260.000000000000,1441160.000000000000,1315520.000000000000,1457570.000000000200,1250000.000000000000,10929010.000000000000
FS( 70 ),1365680.000000000200,1475340.000000000000,1323790.000000000000,1310120.000000000000,1432520.000000000000,1291360.000000000000,1464200.000000000000,1250000.000000000000,10913010.000000000000
FS( 71 ),1380560.000000000000,1509160.000000000000,1343060.000000000200,1322720.000000000200,1448180.000000000000,1272780.000000000000,1516560.000000000000,1250000.000000000000,11043020.000000000000
FS( 72 ),1352720.000000000500,1461280.000000000000,1332720.000000000000,1319840.000000000000,1434680.000000000000,1289500.000000000000,1490380.000000000000,1250000.000000000000,10931120.000000000000
FS( 73 ),1332080.000000000200,1475340.000000000000,1350109.999999999800,1311379.999999999800,1430360.000000000000,1291360.000000000000,1444480.000000000000,1250000.000000000000,10885110.000000000000
FS( 74 ),1361840.000000000200,1489400.000000000000,1328960.000000000000,1301660.000000000000,1426040.000000000000,1293220.000000000000,1418300.000000000000,1250000.000000000000,10869420.000000000000
FS( 75 ),1378640.000000000200,1495100.000000000200,1332720.000000000000,1304359.999999999800,1432520.000000000000,1300640.000000000000,1418300.000000000000,1250000.000000000000,10912280.000000000000
FS( 76 ),1388240.000000000000,1492440.000000000200,1348700.000000000000,1297340.000000000000,1428200.000000000000,1283920.000000000000,1365940.000000000000,1250000.000000000000,10854780.000000000000
FS( 77 ),1384400.000000000200,1484080.000000000200,1332720.000000000000,1305800.000000000000,1439000.000000000000,1289500.000000000000,1392120.000000000000,1250000.000000000000,10877620.000000000000
FS( 78 ),1414640.000000000200,1495100.000000000200,1332720.000000000000,1300220.000000000200,1426040.000000000000,1278340.000000000000,1379030.000000000000,1250000.000000000000,10876090.000000000000
FS( 79 ),1421840.000000000200,1481039.999999999800,1325670.000000000000,1301660.000000000000,1414700.000000000000,1261620.000000000000,1372400.000000000000,1250000.000000000000,10828930.000000000000
FS( 80 ),1414640.000000000200,1475340.000000000000,1332720.000000000000,1303100.000000000200,1397419.999999999800,1256040.000000000000,1372400.000000000000,1250000.000000000000,10801660.000000000000
FS( 81 ),1416560.000000000000,1466980.000000000000,1343060.000000000200,1303100.000000000200,1406060.000000000000,1254180.000000000000,1385490.000000000000,1250000.000000000000,10825430.000000000000
FS( 82 ),1427600.000000000200,1475340.000000000000,1325670.000000000000,1300220.000000000200,1390940.000000000000,1259760.000000000000,1398750.000000000000,1250000.000000000000,10828280.000000000000
