代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13943530.000000000000
真實報酬,3943530.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15571.391155251087
風險,126809.368641111430
起點值,0.122793696729
找到最佳解世代,1695
找到最佳解實驗#,3
找到最佳解次數,8

投資組合檔數,7
1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
Stock#,1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
張數,49,70,32,29,5,10,130,
FS( 34 ),1570180.999999999800,1519571.000000000000,1512411.000000000000,1449451.000000000500,1528521.000000000000,1308071.000000000000,1497471.000000000000,10385680.000000000000
FS( 35 ),1580470.999999999800,1537771.000000000500,1523931.000000000000,1454091.000000000200,1528521.000000000000,1312371.000000000000,1501371.000000000200,10438530.000000000000
FS( 36 ),1574590.999999999800,1549671.000000000200,1529691.000000000000,1465981.000000000500,1591871.000000000200,1316771.000000000000,1501371.000000000200,10529950.000000000000
FS( 37 ),1554500.999999999800,1544071.000000000200,1543131.000000000000,1458731.000000000500,1570771.000000000000,1286571.000000000000,1505271.000000000000,10463050.000000000000
FS( 38 ),1582430.999999999800,1531471.000000000500,1554651.000000000000,1468301.000000000200,1562321.000000000000,1308071.000000000000,1505271.000000000000,10512520.000000000000
FS( 39 ),1572140.999999999800,1537771.000000000500,1550811.000000000000,1477581.000000000200,1558071.000000000000,1299471.000000000000,1505271.000000000000,10501120.000000000000
FS( 40 ),1580470.999999999800,1549671.000000000200,1566171.000000000000,1465981.000000000500,1560220.999999999800,1282270.999999999800,1514371.000000000200,10519160.000000000000
FS( 41 ),1544210.999999999800,1537771.000000000500,1541211.000000000000,1465981.000000000500,1560220.999999999800,1269371.000000000000,1510470.999999999800,10429240.000000000000
FS( 42 ),1560380.999999999500,1549671.000000000200,1527771.000000000000,1465981.000000000500,1553871.000000000000,1286571.000000000000,1510470.999999999800,10454720.000000000000
FS( 43 ),1574590.999999999800,1549671.000000000200,1537371.000000000000,1465981.000000000500,1543321.000000000000,1318071.000000000000,1510470.999999999800,10499480.000000000000
FS( 44 ),1602520.999999999800,1544071.000000000200,1564251.000000000000,1479901.000000000200,1558071.000000000000,1331470.999999999800,1527371.000000000000,10607660.000000000000
FS( 45 ),1600560.999999999800,1553171.000000000200,1571931.000000000000,1498461.000000000200,1520071.000000000200,1326971.000000000000,1532571.000000000200,10603740.000000000000
FS( 46 ),1590270.999999999800,1562271.000000000200,1579291.000000000000,1503101.000000000200,1543321.000000000000,1385371.000000000000,1554671.000000000000,10718300.000000000000
FS( 47 ),1602520.999999999800,1570671.000000000200,1579291.000000000000,1535871.000000000200,1549621.000000000000,1371970.999999999800,1562471.000000000000,10772420.000000000000
FS( 48 ),1610360.999999999800,1586071.000000000000,1583131.000000000000,1577921.000000000500,1560220.999999999800,1385371.000000000000,1562471.000000000000,10865550.000000000000
FS( 49 ),1612810.999999999800,1570671.000000000200,1596571.000000000000,1591841.000000000200,1568621.000000000000,1367471.000000000000,1558571.000000000000,10866560.000000000000
FS( 50 ),1612810.999999999800,1583271.000000000200,1660891.000000000000,1566321.000000000000,1570771.000000000000,1362970.999999999800,1562471.000000000000,10919510.000000000000
FS( 51 ),1622610.999999999800,1586071.000000000000,1660891.000000000000,1570961.000000000200,1566521.000000000000,1371970.999999999800,1575470.999999999800,10954500.000000000000
FS( 52 ),1622610.999999999800,1586071.000000000000,1639451.000000000000,1568641.000000000200,1570771.000000000000,1376371.000000000000,1584571.000000000000,10948490.000000000000
FS( 53 ),1651030.999999999800,1586071.000000000000,1613851.000000000000,1559361.000000000200,1587671.000000000000,1394371.000000000000,1584571.000000000000,10976930.000000000000
FS( 54 ),1630941.000000000000,1583271.000000000200,1618011.000000000000,1559361.000000000200,1572871.000000000200,1376371.000000000000,1575470.999999999800,10916300.000000000000
FS( 55 ),1598600.999999999500,1567871.000000000200,1613851.000000000000,1559361.000000000200,1553871.000000000000,1353971.000000000000,1567671.000000000000,10815200.000000000000
FS( 56 ),1669160.999999999500,1583271.000000000200,1639451.000000000000,1594451.000000000500,1570771.000000000000,1380871.000000000200,1584571.000000000000,11022550.000000000000
