代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13658790.000000000000
真實報酬,3658790.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15880.704116667070
風險,205021.233985834670
起點值,0.077458826132
找到最佳解世代,2302
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,5
1326(5)[3],2412(24)[8],2891(37)[5],3045(40)[12],9999(49)[43],
Stock#,1326(5)[3],2412(24)[8],2891(37)[5],3045(40)[12],9999(49)[43],
張數,39,38,250,43,-1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,43760.000000000233,50219.999999999767,2500.000000000000,17700.000000000000,2000000.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2013260.000000000200,2024320.000000000000,2125000.000000000000,2057190.000000000000,2000000.000000000000,10219770.000000000000
FS( 3 ),2058890.000000000200,2036480.000000000000,2177500.000000000000,2002579.999999999800,2000000.000000000000,10275450.000000000000
FS( 4 ),2120510.000000000000,2054719.999999999800,2177500.000000000000,2002579.999999999800,2000000.000000000000,10355310.000000000000
FS( 5 ),2096330.000000000500,2045599.999999999500,2155000.000000000000,2009030.000000000200,2000000.000000000000,10305960.000000000000
FS( 6 ),2099060.000000000500,2054719.999999999800,2125000.000000000000,2012470.000000000000,2000000.000000000000,10291250.000000000000
FS( 7 ),2087750.000000000000,2054719.999999999800,2155000.000000000000,2012470.000000000000,2000000.000000000000,10309940.000000000000
FS( 8 ),2059280.000000000200,2054719.999999999800,2177500.000000000000,2006020.000000000200,2000000.000000000000,10297520.000000000000
FS( 9 ),2050700.000000000200,2054719.999999999800,2165000.000000000000,1992690.000000000000,2000000.000000000000,10263110.000000000000
FS( 10 ),2116220.000000000000,2066879.999999999800,2212500.000000000000,1996129.999999999800,2000000.000000000000,10391730.000000000000
FS( 11 ),2099060.000000000500,2048639.999999999800,2265000.000000000000,1989680.000000000000,2000000.000000000000,10402380.000000000000
FS( 12 ),2070590.000000000200,2051679.999999999800,2292500.000000000000,2012470.000000000000,2000000.000000000000,10427240.000000000000
FS( 13 ),2070590.000000000200,2057759.999999999800,2270000.000000000000,2038700.000000000000,2000000.000000000000,10437050.000000000000
FS( 14 ),2104910.000000000000,2063840.000000000000,2275000.000000000000,2045150.000000000000,2000000.000000000000,10488900.000000000000
FS( 15 ),2110370.000000000500,2076000.000000000000,2257500.000000000000,2048589.999999999800,2000000.000000000000,10492460.000000000000
FS( 16 ),2099060.000000000500,2072959.999999999500,2230000.000000000000,2045150.000000000000,2000000.000000000000,10447170.000000000000
FS( 17 ),2107640.000000000000,2097280.000000000000,2247500.000000000000,2067939.999999999800,2000000.000000000000,10520360.000000000000
FS( 18 ),2070590.000000000200,2091199.999999999800,2275000.000000000000,2087720.000000000000,2000000.000000000000,10524510.000000000000
FS( 19 ),2024960.000000000000,2082079.999999999800,2235000.000000000000,2084280.000000000000,2000000.000000000000,10426320.000000000000
FS( 20 ),2073710.000000000000,2082079.999999999800,2235000.000000000000,2084280.000000000000,2000000.000000000000,10475070.000000000000
FS( 21 ),2050700.000000000200,2100320.000000000000,2257500.000000000000,2091160.000000000000,2000000.000000000000,10499680.000000000000
FS( 22 ),2028080.000000000500,2112480.000000000000,2287500.000000000000,2084280.000000000000,2000000.000000000000,10512340.000000000000
