代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12933725.708799999000
真實報酬,2933725.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11349.313836861073
風險,148168.040771236120
起點值,0.076597583243
找到最佳解世代,1501
找到最佳解實驗#,3
找到最佳解次數,22

投資組合檔數,7
1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
Stock#,1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
張數,22,47,11,61,10,1,-1,
FS( 35 ),1432311.000000000000,1638190.999999999500,1310321.000000000000,1693921.000000000200,1502471.000000000000,1398841.000000000000,1428571.000000000000,10404630.000000000000
FS( 36 ),1441331.000000000200,1631140.999999999800,1319781.000000000200,1714661.000000000200,1506870.999999999800,1414631.000000000000,1428571.000000000000,10456990.000000000000
FS( 37 ),1390511.000000000000,1638190.999999999500,1315051.000000000500,1703071.000000000000,1511171.000000000000,1406271.000000000000,1428571.000000000000,10392840.000000000000
FS( 38 ),1399531.000000000000,1655581.000000000000,1305591.000000000200,1765901.000000000200,1502471.000000000000,1412771.000000000000,1428571.000000000000,10470420.000000000000
FS( 39 ),1417791.000000000000,1699760.999999999800,1253451.000000000200,1757361.000000000200,1498171.000000000000,1372821.000000000000,1428571.000000000000,10427930.000000000000
FS( 40 ),1421311.000000000000,1674850.999999999500,1262911.000000000200,1845201.000000000200,1493771.000000000000,1365391.000000000000,1428571.000000000000,10492010.000000000000
FS( 41 ),1432311.000000000000,1681900.999999999500,1253451.000000000200,1885461.000000000200,1519871.000000000000,1365391.000000000000,1428571.000000000000,10566960.000000000000
FS( 42 ),1435831.000000000200,1657460.999999999800,1239261.000000000500,1889731.000000000200,1519871.000000000000,1363531.000000000000,1428571.000000000000,10534260.000000000000
FS( 43 ),1430331.000000000200,1646650.999999999500,1281831.000000000000,1826901.000000000200,1532971.000000000200,1344941.000000000000,1428571.000000000000,10492200.000000000000
FS( 44 ),1403271.000000000000,1639600.999999999500,1272371.000000000000,1845201.000000000200,1519871.000000000000,1343091.000000000000,1428571.000000000000,10451980.000000000000
FS( 45 ),1388751.000000000000,1660751.000000000000,1281831.000000000000,1831171.000000000200,1498171.000000000000,1347731.000000000000,1428571.000000000000,10436980.000000000000
FS( 46 ),1401291.000000000000,1666390.999999999800,1281831.000000000000,1797621.000000000200,1463371.000000000000,1379321.000000000000,1428571.000000000000,10418400.000000000000
FS( 47 ),1374231.000000000000,1671560.999999999800,1258181.000000000200,1750651.000000000200,1441570.999999999800,1360741.000000000000,1428571.000000000000,10285510.000000000000
FS( 48 ),1366971.000000000000,1673440.999999999500,1258181.000000000200,1801891.000000000200,1463371.000000000000,1353311.000000000000,1428571.000000000000,10345740.000000000000
FS( 49 ),1339690.999999999800,1710100.999999999500,1267641.000000000200,1849471.000000000200,1450271.000000000000,1353311.000000000000,1428571.000000000000,10399060.000000000000
FS( 50 ),1339690.999999999800,1731251.000000000000,1248721.000000000200,1824461.000000000200,1458971.000000000000,1353311.000000000000,1428571.000000000000,10384980.000000000000
FS( 51 ),1335951.000000000000,1713860.999999999500,1253451.000000000200,1817751.000000000500,1463371.000000000000,1352381.000000000000,1428571.000000000000,10365340.000000000000
FS( 52 ),1345190.999999999800,1724201.000000000000,1258181.000000000200,1851911.000000000200,1498171.000000000000,1347731.000000000000,1428571.000000000000,10453960.000000000000
FS( 53 ),1323411.000000000000,1715270.999999999800,1267641.000000000200,1851911.000000000200,1519871.000000000000,1370031.000000000000,1428571.000000000000,10476710.000000000000
FS( 54 ),1305150.999999999800,1738300.999999999800,1286671.000000000200,1874481.000000000200,1511171.000000000000,1382111.000000000000,1428571.000000000000,10526460.000000000000
FS( 55 ),1274351.000000000000,1735010.999999999800,1310321.000000000000,1849471.000000000200,1502471.000000000000,1380251.000000000000,1428571.000000000000,10480450.000000000000
FS( 56 ),1308671.000000000000,1724201.000000000000,1329241.000000000200,1845201.000000000200,1519871.000000000000,1383041.000000000000,1428571.000000000000,10538800.000000000000
FS( 57 ),1321431.000000000000,1710100.999999999500,1367081.000000000000,1809211.000000000200,1528571.000000000000,1372821.000000000000,1428571.000000000000,10537790.000000000000
FS( 58 ),1337931.000000000000,1764620.999999999800,1371811.000000000500,1793351.000000000000,1537271.000000000200,1364461.000000000000,1428571.000000000000,10598020.000000000000
FS( 59 ),1308671.000000000000,1822900.999999999500,1404921.000000000200,1809211.000000000200,1550271.000000000000,1378391.000000000000,1428571.000000000000,10702940.000000000000
FS( 60 ),1277871.000000000200,1790940.999999999500,1423841.000000000200,1754921.000000000200,1528571.000000000000,1367241.000000000000,1428571.000000000000,10571960.000000000000
FS( 61 ),1277871.000000000200,1787650.999999999500,1395461.000000000200,1748211.000000000200,1528571.000000000000,1371891.000000000000,1428571.000000000000,10538230.000000000000
FS( 62 ),1274351.000000000000,1797990.999999999500,1409651.000000000200,1761631.000000000200,1550271.000000000000,1378391.000000000000,1428571.000000000000,10600860.000000000000
FS( 63 ),1285131.000000000200,1837001.000000000000,1433411.000000000200,1752481.000000000200,1589471.000000000200,1390471.000000000000,1428571.000000000000,10716540.000000000000
FS( 64 ),1294150.999999999800,1833240.999999999500,1395461.000000000200,1739061.000000000000,1663371.000000000000,1372821.000000000000,1428571.000000000000,10726680.000000000000
FS( 65 ),1283371.000000000200,1826190.999999999500,1404921.000000000200,1714661.000000000200,1676471.000000000000,1366311.000000000000,1428571.000000000000,10700500.000000000000
FS( 66 ),1277871.000000000200,1783890.999999999800,1438141.000000000200,1718931.000000000200,1685171.000000000000,1357021.000000000000,1428571.000000000000,10689600.000000000000
FS( 67 ),1279631.000000000200,1812091.000000000000,1433411.000000000200,1689651.000000000200,1685171.000000000000,1348661.000000000000,1428571.000000000000,10677190.000000000000
FS( 68 ),1272371.000000000200,1790940.999999999500,1452331.000000000200,1678671.000000000200,1650370.999999999800,1326361.000000000000,1428571.000000000000,10599620.000000000000
FS( 69 ),1283371.000000000200,1801751.000000000000,1457061.000000000200,1734791.000000000500,1641671.000000000000,1320781.000000000000,1428571.000000000000,10668000.000000000000
FS( 70 ),1290631.000000000200,1826190.999999999500,1428571.000000000000,1750651.000000000200,1632971.000000000200,1313351.000000000000,1428571.000000000000,10670940.000000000000
FS( 71 ),1294150.999999999800,1837001.000000000000,1395461.000000000200,1736621.000000000200,1641671.000000000000,1302201.000000000000,1428571.000000000000,10635680.000000000000
FS( 72 ),1323411.000000000000,1837001.000000000000,1414381.000000000200,1745771.000000000500,1685171.000000000000,1311491.000000000000,1428571.000000000000,10745800.000000000000
FS( 73 ),1326931.000000000000,1865201.000000000000,1428571.000000000000,1736621.000000000200,1685171.000000000000,1294771.000000000000,1428571.000000000000,10765840.000000000000
FS( 74 ),1321431.000000000000,1893400.999999999500,1404921.000000000200,1739061.000000000000,1667771.000000000000,1339371.000000000000,1428571.000000000000,10794530.000000000000
FS( 75 ),1316150.999999999800,1879300.999999999800,1423841.000000000200,1752481.000000000200,1659070.999999999800,1386761.000000000000,1428571.000000000000,10846180.000000000000
FS( 76 ),1314171.000000000000,1896690.999999999500,1457061.000000000200,1788471.000000000200,1659070.999999999800,1404411.000000000000,1428571.000000000000,10948450.000000000000
FS( 77 ),1310650.999999999800,1861440.999999999500,1471251.000000000500,1820191.000000000200,1672071.000000000000,1409991.000000000000,1428571.000000000000,10974170.000000000000
FS( 78 ),1306911.000000000000,1900451.000000000000,1471251.000000000500,1826901.000000000200,1732971.000000000200,1408131.000000000000,1428571.000000000000,11075190.000000000000
