代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13442260.000000000000
真實報酬,3442260.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13708.935088273451
風險,205120.023693193480
起點值,0.066833724185
找到最佳解世代,1971
找到最佳解實驗#,3
找到最佳解次數,48

投資組合檔數,6
2002(7)[21],2354(20)[5],2881(30)[2],2892(39)[11],3045(42)[3],4938(46)[1],
Stock#,2002(7)[21],2354(20)[5],2881(30)[2],2892(39)[11],3045(42)[3],4938(46)[1],
張數,76,27,44,128,21,36,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,14426.000000000233,8866.000000000000,29865.999999999767,7786.000000000000,14385.999999999767,35146.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1666666.000000000000,1695825.999999999800,1670186.000000000000,1674346.000000000000,1677375.999999999800,1672426.000000000000,10056830.000000000000
FS( 3 ),1662866.000000000200,1700146.000000000000,1656985.999999999800,1661546.000000000000,1657635.999999999800,1695826.000000000000,10035010.000000000000
FS( 4 ),1656786.000000000200,1680166.000000000000,1666666.000000000000,1661546.000000000000,1634325.999999999800,1701946.000000000000,10001440.000000000000
FS( 5 ),1662866.000000000200,1659916.000000000000,1666666.000000000000,1648746.000000000000,1652175.999999999800,1736866.000000000000,10027240.000000000000
FS( 6 ),1669706.000000000500,1664506.000000000000,1683825.999999999800,1666666.000000000000,1650495.999999999800,1777905.999999999800,10113110.000000000000
FS( 7 ),1666666.000000000000,1686916.000000000000,1729145.999999999800,1670506.000000000000,1655745.999999999800,1736866.000000000000,10145850.000000000000
FS( 8 ),1662866.000000000200,1691236.000000000200,1769186.000000000000,1687146.000000000000,1648605.999999999500,1777905.999999999800,10236950.000000000000
FS( 9 ),1656786.000000000200,1668825.999999999800,1765666.000000000000,1679466.000000000000,1650495.999999999800,1789426.000000000000,10210670.000000000000
FS( 10 ),1652986.000000000200,1680166.000000000000,1818905.999999999800,1692266.000000000000,1639575.999999999800,1772146.000000000000,10256050.000000000000
FS( 11 ),1652986.000000000200,1733896.000000000000,1877865.999999999800,1705066.000000000000,1634325.999999999800,1827586.000000000000,10431730.000000000000
FS( 12 ),1656786.000000000200,1702575.999999999800,1818905.999999999800,1705066.000000000000,1639575.999999999800,1789426.000000000000,10312340.000000000000
FS( 13 ),1662866.000000000200,1702575.999999999800,1833865.999999999800,1721706.000000000000,1645035.999999999800,1757386.000000000200,10323440.000000000000
FS( 14 ),1656786.000000000200,1702575.999999999800,1836065.999999999500,1714026.000000000000,1666666.000000000000,1780786.000000000000,10356910.000000000000
FS( 15 ),1682626.000000000200,1716075.999999999800,1845305.999999999500,1721706.000000000000,1670235.999999999800,1792306.000000000000,10428260.000000000000
FS( 16 ),1686426.000000000200,1713646.000000000000,1864666.000000000000,1726826.000000000000,1673805.999999999500,1795545.999999999800,10460920.000000000000
FS( 17 ),1689466.000000000200,1727146.000000000000,1883585.999999999800,1743466.000000000000,1673805.999999999500,1830466.000000000000,10547940.000000000000
FS( 18 ),1696306.000000000000,1716075.999999999800,1906465.999999999800,1752426.000000000000,1670235.999999999800,1786545.999999999800,10528060.000000000000
FS( 19 ),1712266.000000000200,1702575.999999999800,1913945.999999999800,1803626.000000000000,1670235.999999999800,1742626.000000000000,10545280.000000000000
FS( 20 ),1728986.000000000200,1691236.000000000200,1837825.999999999800,1774186.000000000000,1680945.999999999800,1672426.000000000000,10385610.000000000000
FS( 21 ),1738866.000000000200,1693666.000000000000,1879625.999999999800,1786986.000000000000,1680945.999999999800,1704826.000000000000,10484920.000000000000
FS( 22 ),1719106.000000000200,1686916.000000000000,1837825.999999999800,1774186.000000000000,1670235.999999999800,1716346.000000000000,10404620.000000000000
FS( 23 ),1719106.000000000200,1668825.999999999800,1796025.999999999800,1779306.000000000000,1673805.999999999500,1748746.000000000200,10385820.000000000000
FS( 24 ),1725186.000000000500,1670986.000000000200,1796025.999999999800,1751146.000000000000,1679265.999999999800,1783666.000000000000,10406280.000000000000
FS( 25 ),1705426.000000000200,1632916.000000000000,1725625.999999999800,1703786.000000000000,1654065.999999999800,1710586.000000000000,10132410.000000000000
FS( 26 ),1699346.000000000200,1624006.000000000000,1752025.999999999800,1708906.000000000000,1655745.999999999800,1695826.000000000000,10135860.000000000000
FS( 27 ),1712266.000000000200,1632916.000000000000,1763465.999999999800,1708906.000000000000,1688295.999999999500,1678545.999999999800,10184400.000000000000
FS( 28 ),1699346.000000000200,1624006.000000000000,1759945.999999999800,1698666.000000000000,1691865.999999999800,1695826.000000000000,10169660.000000000000
FS( 29 ),1709226.000000000200,1619416.000000000000,1796025.999999999800,1717866.000000000000,1704466.000000000000,1731106.000000000000,10278110.000000000000
FS( 30 ),1722146.000000000000,1632916.000000000000,1794265.999999999800,1703786.000000000000,1693545.999999999500,1775025.999999999800,10321690.000000000000
FS( 31 ),1732026.000000000500,1693666.000000000000,1807465.999999999800,1722986.000000000000,1697325.999999999800,1792306.000000000000,10445780.000000000000
FS( 32 ),1742666.000000000000,1704736.000000000200,1836065.999999999500,1737066.000000000000,1706145.999999999800,1798426.000000000000,10525110.000000000000
FS( 33 ),1749506.000000000200,1716075.999999999800,1810985.999999999800,1731946.000000000000,1715175.999999999800,1801306.000000000000,10525000.000000000000
FS( 34 ),1749506.000000000200,1742806.000000000000,1780625.999999999800,1712746.000000000000,1715175.999999999800,1892025.999999999800,10592890.000000000000
FS( 35 ),1770026.000000000500,1733896.000000000000,1803505.999999999800,1731946.000000000000,1722315.999999999800,1865746.000000000200,10627440.000000000000
FS( 36 ),1787506.000000000200,1729306.000000000000,1876105.999999999800,1746026.000000000000,1724205.999999999800,1883025.999999999800,10746180.000000000000
FS( 37 ),1783706.000000000500,1724986.000000000200,1876105.999999999800,1751146.000000000000,1729666.000000000000,1842346.000000000000,10707960.000000000000
FS( 38 ),1797386.000000000200,1738486.000000000200,1895025.999999999800,1793386.000000000000,1740375.999999999800,1892025.999999999800,10856690.000000000000
FS( 39 ),1797386.000000000200,1738486.000000000200,1885345.999999999800,1793386.000000000000,1733235.999999999800,1865746.000000000200,10813590.000000000000
FS( 40 ),1797386.000000000200,1731736.000000000200,1879625.999999999800,1779306.000000000000,1738695.999999999800,1865746.000000000200,10792500.000000000000
FS( 41 ),1804226.000000000200,1736056.000000000000,1915705.999999999800,1789546.000000000000,1754865.999999999800,1888786.000000000000,10889190.000000000000
FS( 42 ),1804226.000000000200,1793836.000000000000,1917905.999999999800,1789546.000000000000,1758435.999999999800,1894905.999999999800,10958860.000000000000
FS( 43 ),1790546.000000000500,1798696.000000000200,1887105.999999999800,1761386.000000000000,1729666.000000000000,1888786.000000000000,10856190.000000000000
FS( 44 ),1801186.000000000500,1808146.000000000000,1909985.999999999800,1793386.000000000000,1675695.999999999800,1918306.000000000000,10906710.000000000000
FS( 45 ),1801186.000000000500,1796266.000000000000,1892825.999999999800,1789546.000000000000,1645035.999999999800,1883025.999999999800,10807890.000000000000
FS( 46 ),1804226.000000000200,1798696.000000000200,1932865.999999999800,1826666.000000000000,1654065.999999999800,1874386.000000000200,10890910.000000000000
FS( 47 ),1804226.000000000200,1786815.999999999800,1929345.999999999800,1822826.000000000000,1663095.999999999800,1883025.999999999800,10889340.000000000000
FS( 48 ),1808026.000000000500,1779525.999999999800,1927145.999999999800,1817706.000000000000,1655745.999999999800,1823986.000000000000,10812140.000000000000
FS( 49 ),1814866.000000000200,1801125.999999999800,1940785.999999999800,1831786.000000000000,1652175.999999999800,1866826.000000000000,10907570.000000000000
FS( 50 ),1808026.000000000500,1779525.999999999800,1932865.999999999800,1826666.000000000000,1652175.999999999800,1830106.000000000000,10829370.000000000000
FS( 51 ),1817906.000000000200,1767646.000000000000,1917905.999999999800,1831786.000000000000,1641466.000000000000,1863946.000000000000,10840660.000000000000
FS( 52 ),1811066.000000000200,1753336.000000000000,1895025.999999999800,1808746.000000000000,1652175.999999999800,1851706.000000000000,10772060.000000000000
FS( 53 ),1811066.000000000200,1758196.000000000200,1876105.999999999800,1798506.000000000000,1645035.999999999800,1842346.000000000000,10731260.000000000000
FS( 54 ),1794346.000000000200,1734166.000000000000,1868186.000000000000,1775466.000000000000,1634325.999999999800,1793386.000000000200,10599880.000000000000
FS( 55 ),1817906.000000000200,1750906.000000000000,1873905.999999999800,1798506.000000000000,1645035.999999999800,1787266.000000000200,10673530.000000000000
FS( 56 ),1846026.000000000500,1789245.999999999800,1895025.999999999800,1803626.000000000000,1643145.999999999800,1821106.000000000000,10798180.000000000000
FS( 57 ),1838426.000000000200,1789245.999999999800,1900745.999999999800,1798506.000000000000,1648605.999999999500,1839466.000000000000,10815000.000000000000
