代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10339690.000000000000
真實報酬,339690.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,3423.756136322505
風險,92632.653328524335
起點值,0.036960575060
找到最佳解世代,1638
找到最佳解實驗#,1
找到最佳解次數,21

投資組合檔數,2
2412(24)[1],9999(49)[9],
Stock#,2412(24)[1],9999(49)[9],
張數,58,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,71160.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5005219.999999999100,5000000.000000000000,10005220.000000000000
FS( 3 ),5015080.000000000000,5000000.000000000000,10015080.000000000000
FS( 4 ),5015080.000000000000,5000000.000000000000,10015080.000000000000
FS( 5 ),5035380.000000000000,5000000.000000000000,10035380.000000000000
FS( 6 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 7 ),4984920.000000000000,5000000.000000000000,9984920.000000000000
FS( 8 ),5010440.000000000000,5000000.000000000000,10010440.000000000000
FS( 9 ),5010440.000000000000,5000000.000000000000,10010440.000000000000
FS( 10 ),5010440.000000000000,5000000.000000000000,10010440.000000000000
FS( 11 ),5092800.000000000000,5000000.000000000000,10092800.000000000000
FS( 12 ),5103240.000000000000,5000000.000000000000,10103240.000000000000
FS( 13 ),5098020.000000000000,5000000.000000000000,10098020.000000000000
FS( 14 ),5103240.000000000000,5000000.000000000000,10103240.000000000000
FS( 15 ),5113679.999999999100,5000000.000000000000,10113680.000000000000
FS( 16 ),5118900.000000000000,5000000.000000000000,10118900.000000000000
FS( 17 ),5124120.000000000000,5000000.000000000000,10124120.000000000000
FS( 18 ),5150800.000000000000,5000000.000000000000,10150800.000000000000
FS( 19 ),5124120.000000000000,5000000.000000000000,10124120.000000000000
FS( 20 ),5150800.000000000000,5000000.000000000000,10150800.000000000000
FS( 21 ),5177480.000000000900,5000000.000000000000,10177480.000000000000
FS( 22 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 23 ),5245920.000000000000,5000000.000000000000,10245920.000000000000
FS( 24 ),5304500.000000000000,5000000.000000000000,10304500.000000000000
FS( 25 ),5325380.000000000000,5000000.000000000000,10325380.000000000000
FS( 26 ),5288260.000000000000,5000000.000000000000,10288260.000000000000
FS( 27 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 28 ),5267380.000000000000,5000000.000000000000,10267380.000000000000
FS( 29 ),5293480.000000000900,5000000.000000000000,10293480.000000000000
FS( 30 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 31 ),5277820.000000000000,5000000.000000000000,10277820.000000000000
FS( 32 ),5230260.000000000000,5000000.000000000000,10230260.000000000000
FS( 33 ),5225040.000000000000,5000000.000000000000,10225040.000000000000
FS( 34 ),5277820.000000000000,5000000.000000000000,10277820.000000000000
FS( 35 ),5277820.000000000000,5000000.000000000000,10277820.000000000000
FS( 36 ),5251140.000000000900,5000000.000000000000,10251140.000000000000
FS( 37 ),5230260.000000000000,5000000.000000000000,10230260.000000000000
FS( 38 ),5103240.000000000000,5000000.000000000000,10103240.000000000000
FS( 39 ),5113679.999999999100,5000000.000000000000,10113680.000000000000
FS( 40 ),5103240.000000000000,5000000.000000000000,10103240.000000000000
FS( 41 ),5156020.000000000000,5000000.000000000000,10156020.000000000000
FS( 42 ),5156020.000000000000,5000000.000000000000,10156020.000000000000
FS( 43 ),5298700.000000000000,5000000.000000000000,10298700.000000000000
FS( 44 ),5225040.000000000000,5000000.000000000000,10225040.000000000000
FS( 45 ),5203580.000000000000,5000000.000000000000,10203580.000000000000
FS( 46 ),5219820.000000000000,5000000.000000000000,10219820.000000000000
FS( 47 ),5230260.000000000000,5000000.000000000000,10230260.000000000000
FS( 48 ),5230260.000000000000,5000000.000000000000,10230260.000000000000
FS( 49 ),5177480.000000000900,5000000.000000000000,10177480.000000000000
FS( 50 ),5230260.000000000000,5000000.000000000000,10230260.000000000000
FS( 51 ),5230260.000000000000,5000000.000000000000,10230260.000000000000
FS( 52 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 53 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 54 ),5277820.000000000000,5000000.000000000000,10277820.000000000000
FS( 55 ),5277820.000000000000,5000000.000000000000,10277820.000000000000
FS( 56 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 57 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 58 ),5230260.000000000000,5000000.000000000000,10230260.000000000000
FS( 59 ),5272600.000000000900,5000000.000000000000,10272600.000000000000
FS( 60 ),5240700.000000000000,5000000.000000000000,10240700.000000000000
FS( 61 ),5262160.000000000000,5000000.000000000000,10262160.000000000000
FS( 62 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 63 ),5298700.000000000000,5000000.000000000000,10298700.000000000000
FS( 64 ),5293480.000000000900,5000000.000000000000,10293480.000000000000
FS( 65 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 66 ),5288260.000000000000,5000000.000000000000,10288260.000000000000
FS( 67 ),5288260.000000000000,5000000.000000000000,10288260.000000000000
FS( 68 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 69 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 70 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 71 ),5304500.000000000000,5000000.000000000000,10304500.000000000000
FS( 72 ),5304500.000000000000,5000000.000000000000,10304500.000000000000
FS( 73 ),5325380.000000000000,5000000.000000000000,10325380.000000000000
FS( 74 ),5293480.000000000900,5000000.000000000000,10293480.000000000000
FS( 75 ),5352060.000000000000,5000000.000000000000,10352060.000000000000
FS( 76 ),5362500.000000000000,5000000.000000000000,10362500.000000000000
FS( 77 ),5352060.000000000000,5000000.000000000000,10352060.000000000000
FS( 78 ),5357280.000000000000,5000000.000000000000,10357280.000000000000
FS( 79 ),5362500.000000000000,5000000.000000000000,10362500.000000000000
FS( 80 ),5388600.000000000900,5000000.000000000000,10388600.000000000000
FS( 81 ),5388600.000000000900,5000000.000000000000,10388600.000000000000
FS( 82 ),5388600.000000000900,5000000.000000000000,10388600.000000000000
FS( 83 ),5388600.000000000900,5000000.000000000000,10388600.000000000000
FS( 84 ),5346260.000000000000,5000000.000000000000,10346260.000000000000
FS( 85 ),5388600.000000000900,5000000.000000000000,10388600.000000000000
FS( 86 ),5362500.000000000000,5000000.000000000000,10362500.000000000000
FS( 87 ),5362500.000000000000,5000000.000000000000,10362500.000000000000
FS( 88 ),5362500.000000000000,5000000.000000000000,10362500.000000000000
FS( 89 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 90 ),5320160.000000000000,5000000.000000000000,10320160.000000000000
FS( 91 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 92 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 93 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 94 ),5262160.000000000000,5000000.000000000000,10262160.000000000000
FS( 95 ),5219820.000000000000,5000000.000000000000,10219820.000000000000
FS( 96 ),5335820.000000000000,5000000.000000000000,10335820.000000000000
FS( 97 ),5298700.000000000000,5000000.000000000000,10298700.000000000000
FS( 98 ),5362500.000000000000,5000000.000000000000,10362500.000000000000
FS( 99 ),5325380.000000000000,5000000.000000000000,10325380.000000000000
FS( 100 ),5330600.000000000900,5000000.000000000000,10330600.000000000000
FS( 101 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 102 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 103 ),5325380.000000000000,5000000.000000000000,10325380.000000000000
FS( 104 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 105 ),5352060.000000000000,5000000.000000000000,10352060.000000000000
FS( 106 ),5357280.000000000000,5000000.000000000000,10357280.000000000000
FS( 107 ),5314940.000000000000,5000000.000000000000,10314940.000000000000
FS( 108 ),5293480.000000000900,5000000.000000000000,10293480.000000000000
FS( 109 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 110 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 111 ),5288260.000000000000,5000000.000000000000,10288260.000000000000
FS( 112 ),5277820.000000000000,5000000.000000000000,10277820.000000000000
FS( 113 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 114 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 115 ),5245920.000000000000,5000000.000000000000,10245920.000000000000
FS( 116 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 117 ),5256360.000000000900,5000000.000000000000,10256360.000000000000
FS( 118 ),5277820.000000000000,5000000.000000000000,10277820.000000000000
FS( 119 ),5283040.000000000000,5000000.000000000000,10283040.000000000000
FS( 120 ),5267380.000000000000,5000000.000000000000,10267380.000000000000
FS( 121 ),5330600.000000000900,5000000.000000000000,10330600.000000000000
FS( 122 ),5330600.000000000900,5000000.000000000000,10330600.000000000000
FS( 123 ),5330600.000000000900,5000000.000000000000,10330600.000000000000
FS( 124 ),5335820.000000000000,5000000.000000000000,10335820.000000000000
FS( 125 ),5335820.000000000000,5000000.000000000000,10335820.000000000000
FS( 126 ),5309719.999999999100,5000000.000000000000,10309720.000000000000
FS( 127 ),5314940.000000000000,5000000.000000000000,10314940.000000000000
FS( 128 ),5314940.000000000000,5024750.000000000000,10339690.000000000000
