代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12172110.000000000000
真實報酬,2172110.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18378.909355160649
風險,140606.041829385880
起點值,0.130712088300
找到最佳解世代,1424
找到最佳解實驗#,1
找到最佳解次數,34

投資組合檔數,7
1216(2)[15],2354(18)[24],2474(26)[2],2881(30)[4],2891(38)[9],3008(41)[1],9904(48)[18],
Stock#,1216(2)[15],2354(18)[24],2474(26)[2],2881(30)[4],2891(38)[9],3008(41)[1],9904(48)[18],
張數,32,18,6,32,93,0,41,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,37851.000000000000,63450.999999999767,60871.000000000233,33371.000000000000,4740.999999999767,1428571.000000000000,5460.999999999767,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1390491.000000000000,1393470.999999999800,1392991.000000000500,1376091.000000000000,1400670.999999999800,1428571.000000000000,1378551.000000000000,9760840.000000000000
FS( 3 ),1385051.000000000000,1391850.999999999500,1412131.000000000200,1389851.000000000000,1400670.999999999800,1428571.000000000000,1384291.000000000000,9792420.000000000000
FS( 4 ),1415771.000000000000,1406250.999999999800,1450531.000000000200,1414811.000000000000,1422060.999999999800,1428571.000000000000,1457680.999999999800,9995680.000000000000
FS( 5 ),1436891.000000000000,1446030.999999999800,1458751.000000000000,1407771.000000000000,1428571.000000000000,1428571.000000000000,1456041.000000000000,10062630.000000000000
FS( 6 ),1419931.000000000000,1407870.999999999800,1447771.000000000200,1394011.000000000000,1424850.999999999800,1428571.000000000000,1459730.999999999800,9982740.000000000000
FS( 7 ),1455131.000000000000,1434870.999999999800,1461511.000000000000,1425691.000000000000,1436010.999999999800,1428571.000000000000,1463420.999999999800,10105210.000000000000
FS( 8 ),1424091.000000000000,1431630.999999999800,1447771.000000000200,1413211.000000000000,1418340.999999999800,1428571.000000000000,1526150.999999999800,10089770.000000000000
FS( 9 ),1452251.000000000000,1420470.999999999800,1483411.000000000200,1406491.000000000000,1424850.999999999800,1428571.000000000000,1492940.999999999800,10108990.000000000000
FS( 10 ),1455131.000000000000,1398330.999999999500,1472431.000000000200,1398171.000000000000,1408110.999999999800,1428571.000000000000,1505650.999999999800,10066400.000000000000
FS( 11 ),1441051.000000000000,1376010.999999999800,1480651.000000000200,1396571.000000000000,1422060.999999999800,1428571.000000000000,1544190.999999999800,10089110.000000000000
FS( 12 ),1438171.000000000000,1393470.999999999800,1524511.000000000000,1407771.000000000000,1418340.999999999800,1428571.000000000000,1551571.000000000000,10162410.000000000000
