代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11099649.998350000000
真實報酬,1099649.998350000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8413.230170093619
風險,185577.875991112170
起點值,0.045335308022
找到最佳解世代,1373
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1326(5)[3],2912(39)[1],9999(49)[9],
Stock#,1326(5)[3],2912(39)[1],9999(49)[9],
張數,70,55,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,19533.000000000000,17383.000000000000,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3366933.000000000000,3346533.000000000000,3333333.000000000000,10046800.000000000000
FS( 3 ),3593033.000000000000,3350933.000000000000,3333333.000000000000,10277300.000000000000
FS( 4 ),3564333.000000000000,3363583.000000000500,3333333.000000000000,10261250.000000000000
FS( 5 ),3482433.000000000000,3376783.000000000000,3333333.000000000000,10192550.000000000000
FS( 6 ),3530733.000000000000,3381182.999999999500,3333333.000000000000,10245250.000000000000
FS( 7 ),3482433.000000000000,3337733.000000000000,3333333.000000000000,10153500.000000000000
FS( 8 ),3420133.000000000000,3333333.000000000000,3333333.000000000000,10086800.000000000000
FS( 9 ),3415233.000000000000,3350933.000000000000,3333333.000000000000,10099500.000000000000
FS( 10 ),3434133.000000000000,3324533.000000000000,3333333.000000000000,10092000.000000000000
FS( 11 ),3400533.000000000000,3333333.000000000000,3333333.000000000000,10067200.000000000000
FS( 12 ),3385833.000000000000,3315733.000000000000,3333333.000000000000,10034900.000000000000
FS( 13 ),3385833.000000000000,3306933.000000000000,3333333.000000000000,10026100.000000000000
FS( 14 ),3400533.000000000000,3294283.000000000000,3333333.000000000000,10028150.000000000000
FS( 15 ),3390733.000000000000,3281083.000000000500,3333333.000000000000,10005150.000000000000
FS( 16 ),3366933.000000000000,3272283.000000000000,3333333.000000000000,9972550.000000000000
FS( 17 ),3318633.000000000500,3171633.000000000000,3333333.000000000000,9823600.000000000000
FS( 18 ),3362033.000000000000,3202432.999999999500,3333333.000000000000,9897800.000000000000
FS( 19 ),3333333.000000000000,3202432.999999999500,3333333.000000000000,9869100.000000000000
FS( 20 ),3352233.000000000000,3224433.000000000000,3333333.000000000000,9910000.000000000000
FS( 21 ),3289933.000000000000,3254683.000000000000,3333333.000000000000,9877950.000000000000
FS( 22 ),3266133.000000000500,3289883.000000000000,3333333.000000000000,9889350.000000000000
FS( 23 ),3261233.000000000500,3289883.000000000000,3333333.000000000000,9884450.000000000000
FS( 24 ),3333333.000000000000,3276682.999999999500,3333333.000000000000,9943350.000000000000
FS( 25 ),3289933.000000000000,3184833.000000000500,3333333.000000000000,9808100.000000000000
FS( 26 ),3294832.999999999500,3206833.000000000500,3333333.000000000000,9835000.000000000000
FS( 27 ),3246533.000000000000,3180432.999999999500,3333333.000000000000,9760300.000000000000
FS( 28 ),3275233.000000000000,3180432.999999999500,3333333.000000000000,9789000.000000000000
FS( 29 ),3289933.000000000000,3180432.999999999500,3333333.000000000000,9803700.000000000000
FS( 30 ),3376733.000000000500,3320133.000000000000,3333333.000000000000,10030200.000000000000
FS( 31 ),3482433.000000000000,3294283.000000000000,3333333.000000000000,10110050.000000000000
FS( 32 ),3424333.000000000000,3324533.000000000000,3333333.000000000000,10082200.000000000000
FS( 33 ),3462832.999999999500,3315733.000000000000,3333333.000000000000,10111900.000000000000
FS( 34 ),3506233.000000000500,3306933.000000000000,3333333.000000000000,10146500.000000000000
FS( 35 ),3516033.000000000000,3333333.000000000000,3333333.000000000000,10182700.000000000000
FS( 36 ),3501333.000000000000,3337733.000000000000,3333333.000000000000,10172400.000000000000
FS( 37 ),3516033.000000000000,3337733.000000000000,3333333.000000000000,10187100.000000000000
FS( 38 ),3549633.000000000000,3342133.000000000000,3333333.000000000000,10225100.000000000000
FS( 39 ),3578333.000000000000,3342133.000000000000,3333333.000000000000,10253800.000000000000
FS( 40 ),3616833.000000000000,3342133.000000000000,3333333.000000000000,10292300.000000000000
FS( 41 ),3616833.000000000000,3337733.000000000000,3333333.000000000000,10287900.000000000000
FS( 42 ),3593033.000000000000,3285483.000000000000,3333333.000000000000,10211850.000000000000
FS( 43 ),3588133.000000000000,3337733.000000000000,3333333.000000000000,10259200.000000000000
FS( 44 ),3583233.000000000000,3342133.000000000000,3333333.000000000000,10258700.000000000000
FS( 45 ),3539832.999999999500,3298682.999999999500,3333333.000000000000,10171850.000000000000
FS( 46 ),3539832.999999999500,3337733.000000000000,3333333.000000000000,10210900.000000000000
FS( 47 ),3602832.999999999500,3346533.000000000000,3333333.000000000000,10282700.000000000000
FS( 48 ),3646233.000000000500,3337733.000000000000,3333333.000000000000,10317300.000000000000
FS( 49 ),3636433.000000000000,3342133.000000000000,3333333.000000000000,10311900.000000000000
FS( 50 ),3573433.000000000000,3359733.000000000500,3333333.000000000000,10266500.000000000000
FS( 51 ),3559433.000000000000,3355333.000000000000,3333333.000000000000,10248100.000000000000
FS( 52 ),3588133.000000000000,3389983.000000000000,3333333.000000000000,10311450.000000000000
FS( 53 ),3569233.000000000500,3381182.999999999500,3333333.000000000000,10283750.000000000000
FS( 54 ),3583233.000000000000,3407583.000000000000,3333333.000000000000,10324150.000000000000
FS( 55 ),3597932.999999999500,3451033.000000000000,3333333.000000000000,10382300.000000000000
FS( 56 ),3626633.000000000000,3473033.000000000000,3333333.000000000000,10433000.000000000000
FS( 57 ),3593033.000000000000,3473033.000000000000,3333333.000000000000,10399400.000000000000
FS( 58 ),3621733.000000000500,3481833.000000000500,3333333.000000000000,10436900.000000000000
FS( 59 ),3611933.000000000000,3464233.000000000000,3333333.000000000000,10409500.000000000000
FS( 60 ),3641333.000000000000,3473033.000000000000,3333333.000000000000,10447700.000000000000
FS( 61 ),3674933.000000000000,3490633.000000000000,3333333.000000000000,10498900.000000000000
FS( 62 ),3660233.000000000000,3446633.000000000000,3333333.000000000000,10440200.000000000000
FS( 63 ),3674933.000000000000,3486233.000000000000,3333333.000000000000,10494500.000000000000
FS( 64 ),3679832.999999999500,3507683.000000000000,3333333.000000000000,10520850.000000000000
FS( 65 ),3684033.000000000000,3516483.000000000000,3333333.000000000000,10533850.000000000000
FS( 66 ),3708533.000000000000,3734833.000000000500,3333333.000000000000,10776700.000000000000
FS( 67 ),3770833.000000000000,3660583.000000000000,3333333.000000000000,10764750.000000000000
FS( 68 ),3770833.000000000000,3726033.000000000500,3333333.000000000000,10830200.000000000000
FS( 69 ),3718333.000000000000,3673783.000000000000,3333333.000000000000,10725450.000000000000
FS( 70 ),3674933.000000000000,3721632.999999999500,3333333.000000000000,10729900.000000000000
FS( 71 ),3665133.000000000000,3695233.000000000500,3333333.000000000000,10693700.000000000000
FS( 72 ),3650432.999999999500,3664982.999999999500,3333333.000000000000,10648750.000000000000
FS( 73 ),3626633.000000000000,3682583.000000000000,3333333.000000000000,10642550.000000000000
FS( 74 ),3742133.000000000000,3721632.999999999500,3333333.000000000000,10797100.000000000000
FS( 75 ),3819133.000000000000,3795883.000000000000,3333333.000000000000,10948350.000000000000
FS( 76 ),3775733.000000000000,3917983.000000000000,3333333.000000000000,11027050.000000000000
FS( 77 ),3780633.000000000000,3904783.000000000500,3333333.000000000000,11018750.000000000000
FS( 78 ),3842932.999999999500,3944383.000000000500,3333333.000000000000,11120650.000000000000
FS( 79 ),3790432.999999999500,3813483.000000000000,3333333.000000000000,10937250.000000000000
FS( 80 ),3770833.000000000000,3778282.999999999500,3333333.000000000000,10882450.000000000000
FS( 81 ),3655332.999999999500,3743633.000000000000,3333333.000000000000,10732300.000000000000
