代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13201870.000000000000
真實報酬,3201870.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24489.851813933605
風險,130657.244747490610
起點值,0.187435850658
找到最佳解世代,1391
找到最佳解實驗#,3
找到最佳解次數,21

投資組合檔數,10
1216(2)[5],1301(3)[1],1326(5)[14],1722(7)[9],2308(12)[8],2347(18)[3],2412(24)[2],2892(38)[19],3045(40)[7],9999(49)[47],
Stock#,1216(2)[5],1301(3)[1],1326(5)[14],1722(7)[9],2308(12)[8],2347(18)[3],2412(24)[2],2892(38)[19],3045(40)[7],9999(49)[47],
張數,50,21,19,15,12,24,19,111,21,-1,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,16000.000000000000,41560.000000000000,46960.000000000000,46750.000000000000,65319.999999999884,33520.000000000000,25109.999999999884,4329.999999999884,31900.000000000000,1000000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1035999.999999999900,1002940.000000000000,1006460.000000000000,1004350.000000000000,1022199.999999999800,1016800.000000000000,1012160.000000000000,1033299.999999999900,1027930.000000000000,1000000.000000000000,10162140.000000000000
FS( 3 ),1058000.000000000000,1021840.000000000000,1028690.000000000000,1008850.000000000000,1053400.000000000000,1021119.999999999900,1018240.000000000000,1029970.000000000000,1001259.999999999900,1000000.000000000000,10241370.000000000000
FS( 4 ),1055500.000000000000,1050820.000000000000,1058710.000000000000,1022350.000000000100,1053400.000000000000,1046560.000000000000,1027359.999999999900,1052169.999999999800,1001259.999999999900,1000000.000000000000,10368130.000000000000
FS( 5 ),1043000.000000000000,1055020.000000000000,1046930.000000000000,1020100.000000000000,1057840.000000000000,1059040.000000000000,1022799.999999999800,1038849.999999999900,1004410.000000000000,1000000.000000000000,10347990.000000000000
FS( 6 ),1051500.000000000000,1073920.000000000000,1048260.000000000100,1033450.000000000000,1084600.000000000000,1046560.000000000000,1027359.999999999900,1035519.999999999800,1006090.000000000000,1000000.000000000000,10407260.000000000000
FS( 7 ),1050000.000000000000,1088410.000000000000,1042750.000000000000,1035700.000000000000,1124680.000000000000,1053520.000000000000,1027359.999999999900,1038849.999999999900,1006090.000000000000,1000000.000000000000,10467360.000000000000
FS( 8 ),1045500.000000000000,1091350.000000000000,1028880.000000000000,1034650.000000000000,1080159.999999999800,1049200.000000000000,1027359.999999999900,1035519.999999999800,1002940.000000000100,1000000.000000000000,10395560.000000000000
