代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,15656510.000000000000
真實報酬,5656510.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,49734.394448064195
風險,460103.798755755880
起點值,0.108093857479
找到最佳解世代,1481
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1301(3)[4],2347(18)[1],2412(25)[25],2454(26)[2],3231(42)[3],
Stock#,1301(3)[4],2347(18)[1],2412(25)[25],2454(26)[2],3231(42)[3],
張數,74,111,45,12,195,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,3480.000000000000,8659.999999999767,17750.000000000233,87440.000000000000,3200.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2083619.999999999800,2102120.000000000000,1976600.000000000500,2052800.000000000200,2079950.000000000000,10295090.000000000000
FS( 3 ),2229400.000000000000,2122100.000000000000,1972550.000000000200,2178680.000000000000,2224250.000000000000,10726980.000000000000
FS( 4 ),2180560.000000000000,1988899.999999999800,1953200.000000000000,2060960.000000000000,2099450.000000000000,10283070.000000000000
FS( 5 ),2213120.000000000000,1988899.999999999800,1964900.000000000200,2101520.000000000000,2048750.000000000000,10317190.000000000000
FS( 6 ),2182779.999999999500,1956710.000000000000,1984250.000000000500,2085320.000000000000,2015600.000000000000,10224660.000000000000
FS( 7 ),2222000.000000000000,1924520.000000000000,2015300.000000000200,2125880.000000000000,2068250.000000000200,10355950.000000000000
FS( 8 ),2222000.000000000000,1985569.999999999500,2030600.000000000200,2231480.000000000000,2048750.000000000000,10518400.000000000000
FS( 9 ),2187220.000000000500,2034409.999999999800,2011250.000000000000,2101520.000000000000,2103350.000000000000,10437750.000000000000
FS( 10 ),2102120.000000000000,1973359.999999999500,1988300.000000000200,1995920.000000000000,1964900.000000000000,10024600.000000000000
FS( 11 ),2090279.999999999800,2107670.000000000000,2000000.000000000000,2040560.000000000000,1908349.999999999800,10146860.000000000000
FS( 12 ),2143560.000000000000,2118770.000000000000,2000000.000000000000,2016199.999999999800,1920050.000000000000,10198580.000000000000
FS( 13 ),2196840.000000000000,2183150.000000000000,1995950.000000000200,2117720.000000000000,1923950.000000000000,10417610.000000000000
FS( 14 ),2143560.000000000000,2139860.000000000000,1995950.000000000200,2069000.000000000000,1855700.000000000000,10204070.000000000000
FS( 15 ),2201279.999999999500,2186480.000000000000,1995950.000000000200,2036600.000000000000,1863499.999999999800,10283810.000000000000
FS( 16 ),2222000.000000000000,2089909.999999999800,1988300.000000000200,2134040.000000000000,1859599.999999999800,10293850.000000000000
FS( 17 ),2222000.000000000000,2186480.000000000000,1991900.000000000000,2117720.000000000000,1939550.000000000000,10457650.000000000000
FS( 18 ),2194620.000000000000,2217559.999999999100,2003600.000000000500,2085320.000000000000,1984400.000000000000,10485500.000000000000
FS( 19 ),2157620.000000000000,2172050.000000000000,1984250.000000000500,2085320.000000000000,1927849.999999999800,10327090.000000000000
FS( 20 ),2190180.000000000500,2150960.000000000000,1995950.000000000200,2162480.000000000000,1992199.999999999800,10491770.000000000000
FS( 21 ),2213120.000000000000,2136530.000000000000,1984250.000000000500,2304560.000000000000,2120900.000000000000,10759360.000000000000
FS( 22 ),2236060.000000000000,2285270.000000000000,1988300.000000000200,2320760.000000000000,2159900.000000000500,10990290.000000000000
FS( 23 ),2266400.000000000000,2360750.000000000000,1995950.000000000200,2385800.000000000000,2200850.000000000000,11209750.000000000000
FS( 24 ),2194620.000000000000,2217559.999999999100,1984250.000000000500,2300480.000000000000,2120900.000000000000,10817810.000000000000
FS( 25 ),2231620.000000000000,2366300.000000000000,2003600.000000000500,2450719.999999999500,2200850.000000000000,11253090.000000000000
FS( 26 ),2222000.000000000000,2362970.000000000000,1988300.000000000200,2442680.000000000500,2159900.000000000500,11175850.000000000000
FS( 27 ),2231620.000000000000,2267510.000000000000,2000000.000000000000,2328920.000000000000,2068250.000000000200,10896300.000000000000
FS( 28 ),2226440.000000000000,2229770.000000000000,2011250.000000000000,2381719.999999999500,2111150.000000000500,10960330.000000000000
FS( 29 ),2222000.000000000000,2316350.000000000000,2022950.000000000200,2426360.000000000000,2144300.000000000000,11131960.000000000000
FS( 30 ),2180560.000000000000,2253080.000000000000,2019350.000000000200,2369480.000000000000,2095550.000000000000,10918020.000000000000
FS( 31 ),2199060.000000000000,2270840.000000000000,2038700.000000000000,2454800.000000000000,2159900.000000000500,11123300.000000000000
FS( 32 ),2166500.000000000000,2258630.000000000000,2046350.000000000200,2458880.000000000000,2132600.000000000000,11062960.000000000000
FS( 33 ),2185000.000000000000,2258630.000000000000,2069300.000000000500,2450719.999999999500,2128700.000000000000,11092350.000000000000
FS( 34 ),2203500.000000000000,2299700.000000000000,2088650.000000000200,2458880.000000000000,2132600.000000000000,11183330.000000000000
